model,train_rel_score,val_rel_score,test_rel_score,train_minus_val,val_minus_test,train_minus_test,train_directional_accuracy,val_directional_accuracy,test_directional_accuracy
lstm,0.0015473558765771722,-0.0135728609424699,0.010247407648840579,0.015120216819047072,-0.02382026859131048,-0.008700051772263406,0.42379039969401416,0.41759352881698686,0.45492142266335817
linear_regression,-0.01418366211195643,-0.04412554950110992,-0.050367277997765525,0.029941887389153488,0.0062417284966556075,0.036183615885809095,0.42522470835723847,0.4277047522750253,0.40281224152191897
arima,-0.0018624209224249455,-0.0067726602042517126,-0.006666353626827881,0.004910239281826767,-0.00010630657742383143,0.004803932704402936,0.41814878561866514,0.39838220424671383,0.4218362282878412
lstm_ensemble,0.005254287069621055,0.0023547780969287446,0.015916367119853336,0.0028995089726923107,-0.013561589022924592,-0.010662080050232281,0.4424364123159304,0.4378159757330637,0.4681555004135649
lstm_seed_42,-0.0017137607770885133,0.008470118869172594,0.012273408932488628,-0.010183879646261107,-0.003803290063316034,-0.01398716970957714,0.44205393000573723,0.44691607684529827,0.47559966914805624
lstm_seed_52,0.0034270471891668652,0.008502268641254584,-0.0023555139324202834,-0.005075221452087719,0.010857782573674868,0.005782561121587149,0.43536048957735707,0.4256825075834176,0.4507857733664185
lstm_seed_62,0.00034028381444317635,0.007777935421363957,0.00151522964820483,-0.007437651606920781,0.006262705773159127,-0.0011749458337616536,0.4293363931918149,0.4378159757330637,0.42431761786600497
lstm_seed_72,0.003699606631132224,0.01169703427302049,0.0093970240387935,-0.007997427641888266,0.00230001023422699,-0.005697417407661276,0.43354369860393954,0.416582406471183,0.4441687344913151
lstm_seed_82,0.005335710311451081,0.006368765867691417,0.004625052519761641,-0.0010330555562403365,0.0017437133479297762,0.0007106577916894397,0.4415758271179958,0.4368048533872599,0.4574028122415219
lstm_seed_92,0.004339592955994398,0.009061732929785737,0.00693338011317024,-0.004722139973791339,0.0021283528166154975,-0.002593787157175842,0.4424364123159304,0.43073811931243683,0.46567411083540117
lstm_seed_102,0.0015473558765771722,-0.0135728609424699,0.010247407648840579,0.015120216819047072,-0.02382026859131048,-0.008700051772263406,0.42379039969401416,0.41759352881698686,0.45492142266335817
lstm_seed_112,-0.006382524629380049,0.008726569413568752,-0.0022726078756116763,-0.0151090940429488,0.010999177289180428,-0.004109916753768372,0.41719257984318225,0.4378159757330637,0.42762613730355664
lstm_best_by_val,0.003699606631132224,0.01169703427302049,0.0093970240387935,-0.007997427641888266,0.00230001023422699,-0.005697417407661276,0.43354369860393954,0.416582406471183,0.4441687344913151
lstm_top2_by_val,0.003128952034911925,-0.005605565377085897,0.015425519817344191,0.008734517411997822,-0.021031085194430088,-0.012296567782432266,0.4364123159303882,0.42163801820020225,0.4731182795698925
lstm_signmag,0.0009966390278213222,-0.008491384767943533,0.011373775231116379,0.009488023795764855,-0.01986515999905991,-0.010377136203295056,0.42704149933065594,0.39737108190091003,0.44830438378825477
lstm_signmag_ensemble,0.006493821247716136,-0.0020965981275815615,0.015679331980490208,0.008590419375297698,-0.01777593010807177,-0.009185510732774071,0.44320137693631667,0.4236602628918099,0.47146401985111663
lstm_signmag_seed_42,0.0007847079041684024,-0.0031338460554579672,0.017987965530805505,0.00391855395962637,-0.021121811586263473,-0.017203257626637103,0.4373685217058711,0.43174924165824063,0.47146401985111663
lstm_signmag_seed_52,0.002254718074875428,0.004719192652476556,0.01892821611023976,-0.002464474577601128,-0.014209023457763204,-0.01667349803536433,0.43220501051826354,0.416582406471183,0.46898263027295284
lstm_signmag_seed_62,-0.0003185173672044517,0.011202512881458238,0.012418706761106568,-0.01152103024866269,-0.0012161938796483307,-0.01273722412831102,0.434021801491681,0.4398382204246714,0.43672456575682383
lstm_signmag_seed_72,0.0010592163057648873,-0.0022773987108415383,0.012181417810628647,0.0033366150166064257,-0.014458816521470186,-0.01112220150486376,0.4350736278447122,0.4206268958543984,0.45409429280397023
lstm_signmag_seed_82,0.005677287808432241,-0.00741190581260498,0.003852342499300776,0.01308919362103722,-0.011264248311905756,0.001824945309131465,0.43354369860393954,0.40040444893832156,0.45492142266335817
lstm_signmag_seed_92,0.0038615630722003136,0.004075123675292391,0.007686563710404881,-0.0002135606030920778,-0.00361144003511249,-0.0038250006382045676,0.443296997513865,0.4186046511627907,0.4491315136476427
lstm_signmag_seed_102,0.0009966390278213222,-0.008491384767943533,0.011373775231116379,0.009488023795764855,-0.01986515999905991,-0.010377136203295056,0.42704149933065594,0.39737108190091003,0.44830438378825477
lstm_signmag_seed_112,-0.0021880026916829554,0.01601303708763835,-0.015339153810523642,-0.018201039779321304,0.03135219089816199,0.013151151118840687,0.40734366035570857,0.42264914054600605,0.4119106699751861
lstm_signmag_best_by_val,-0.0021880026916829554,0.01601303708763835,-0.015339153810523642,-0.018201039779321304,0.03135219089816199,0.013151151118840687,0.40734366035570857,0.42264914054600605,0.4119106699751861
lstm_signmag_top2_by_val,0.0013570321615872238,0.005135065580416764,0.0052116953843528435,-0.0037780334188295406,-7.66298039360791e-05,-0.0038546632227656197,0.4244597437368522,0.4287158746208291,0.41770057899090157
