gate,fold,signal_date,actual_date,wyckoff_phase,hypothesis,candidate,rebalance_every,gross_return,turnover,cost_return,net_return,n_positions,gross_exposure,is_rebalance_day,policy_changed
train_phase_best,1,2020-11-06,2020-11-09,distribution,h3_rank_committee,committee_h3_rank_committee_top_05,10,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_best,1,2020-11-09,2020-11-10,distribution,h3_rank_committee,committee_h3_rank_committee_top_05,10,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_best,1,2020-11-10,2020-11-11,transition,h0_forecast_abs,committee_h0_forecast_abs_top_20,10,0.010289833393471769,1.0,0.0015,0.00878983339347177,18,1.0,True,True
train_phase_best,1,2020-11-11,2020-11-12,transition,h0_forecast_abs,committee_h0_forecast_abs_top_20,10,0.003644253806366256,0.6874999999999999,0.0010312499999999998,0.002613003806366256,19,1.0,True,False
train_phase_best,2,2020-11-12,2020-11-13,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.007495002145526201,0.9999999999999997,0.0014999999999999994,-0.0089950021455262,23,0.9999999999999996,True,True
train_phase_best,2,2020-11-13,2020-11-16,distribution,h3_rank_committee,committee_h3_rank_committee_top_05,10,0.0,0.9999999999999997,0.0014999999999999994,-0.0014999999999999994,0,0.0,True,True
train_phase_best,2,2020-11-16,2020-11-17,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.002349184248097513,0.9999999999999999,0.0014999999999999998,-0.0038491842480975124,22,0.9999999999999998,True,True
train_phase_best,2,2020-11-17,2020-11-18,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.010520241323060208,0.0,0.0,-0.010520241323060208,22,0.9999999999999998,False,False
train_phase_best,2,2020-11-18,2020-11-19,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.0035442727322723628,0.0,0.0,0.0035442727322723628,22,0.9999999999999998,False,False
train_phase_best,2,2020-11-19,2020-11-20,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.005532802706251726,0.0,0.0,0.005532802706251726,22,0.9999999999999998,False,False
train_phase_best,2,2020-11-20,2020-11-23,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,4.55713348596256e-05,0.0,0.0,4.55713348596256e-05,22,0.9999999999999998,False,False
train_phase_best,2,2020-11-23,2020-11-24,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.006247740579835524,0.0,0.0,-0.006247740579835524,22,0.9999999999999998,False,False
train_phase_best,2,2020-11-24,2020-11-25,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.00421694329790106,0.0,0.0,-0.00421694329790106,22,0.9999999999999998,False,False
train_phase_best,2,2020-11-25,2020-11-26,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.006305980897325614,0.0,0.0,0.006305980897325614,22,0.9999999999999998,False,False
train_phase_best,2,2020-11-26,2020-11-27,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.00510412268340587,1.2916666666666667,0.0019375,-0.00704162268340587,23,0.9999999999999999,True,False
train_phase_best,2,2020-11-27,2020-11-30,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.002083283178702302,0.0,0.0,0.002083283178702302,23,0.9999999999999999,False,False
train_phase_best,2,2020-11-30,2020-12-01,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.012265831375649808,0.0,0.0,0.012265831375649808,23,0.9999999999999999,False,False
train_phase_best,2,2020-12-01,2020-12-02,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.002311807934893304,0.0,0.0,0.002311807934893304,23,0.9999999999999999,False,False
train_phase_best,2,2020-12-02,2020-12-03,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.006459587730932968,0.0,0.0,-0.006459587730932968,23,0.9999999999999999,False,False
train_phase_best,2,2020-12-03,2020-12-04,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.0018647830739306887,0.0,0.0,-0.0018647830739306887,23,0.9999999999999999,False,False
train_phase_best,2,2020-12-04,2020-12-07,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.002292304087313804,0.0,0.0,0.002292304087313804,23,0.9999999999999999,False,False
train_phase_best,2,2020-12-07,2020-12-08,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.006782024592393993,0.0,0.0,0.006782024592393993,23,0.9999999999999999,False,False
train_phase_best,2,2020-12-08,2020-12-09,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.00755463789682834,0.0,0.0,-0.00755463789682834,23,0.9999999999999999,False,False
