gate,phase,n_days,net_equity,gross_equity,net_sharpe,max_drawdown,hit_rate,avg_turnover,avg_positions
aggressive_prior,accumulation,30,0.9634676728950216,0.9733102058224671,-3.1323034796008082,-0.06083103648446586,0.3,0.22615491835921928,24.033333333333335
aggressive_prior,markup,55,1.0669559467031373,1.0782181966471158,2.6343797400831144,-0.04949791739661369,0.32727272727272727,0.12817959817959815,11.8
aggressive_prior,distribution,94,0.984103842742347,1.0037932372831018,-0.17589591805687216,-0.11426706676933118,0.4148936170212766,0.14081423895253678,11.957446808510639
aggressive_prior,markdown,56,0.9986649780832227,1.0200847594909601,0.23481846265245415,-0.21725945053370144,0.5892857142857143,0.25544950719517984,30.375
aggressive_prior,transition,269,1.013410172583326,1.0633544847324716,0.16227702001599192,-0.19999595541536697,0.34944237918215615,0.11881918001561907,10.431226765799256
baseline_all_committee,accumulation,30,0.8192122123375422,0.8209493038250666,-4.775143275085112,-0.22921005491744006,0.26666666666666666,0.04722222222222217,19.733333333333334
baseline_all_committee,markup,55,0.982555262043118,0.9914373036165477,-0.5907440792387777,-0.0753769747976446,0.32727272727272727,0.10909090909090909,10.2
baseline_all_committee,distribution,94,1.0493123536327822,1.061374224128299,1.648115737420461,-0.042035085819750795,0.2872340425531915,0.08116733755031626,6.308510638297872
baseline_all_committee,markdown,56,0.9686276053959556,0.9808328060740111,-0.035747554236619974,-0.2278464388908359,0.5357142857142857,0.15155272267341233,29.946428571428573
baseline_all_committee,transition,269,1.1228873406782456,1.1687761643917964,0.7480605130307604,-0.13417497126523648,0.2936802973977695,0.09907487063074204,8.007434944237918
baseline_all_committee_transition_mr20_nonneg,accumulation,30,0.8192122123375422,0.8209493038250666,-4.775143275085112,-0.22921005491744006,0.26666666666666666,0.04722222222222217,19.733333333333334
baseline_all_committee_transition_mr20_nonneg,markup,55,0.982555262043118,0.9914373036165477,-0.5907440792387777,-0.0753769747976446,0.32727272727272727,0.10909090909090909,10.2
baseline_all_committee_transition_mr20_nonneg,distribution,94,1.0571741947392344,1.074608105333828,1.5692903426637126,-0.04203508581975057,0.2765957446808511,0.11595744680851063,6.25531914893617
baseline_all_committee_transition_mr20_nonneg,markdown,56,0.9957262611124894,1.011859362074227,0.2060770383986375,-0.21725945053370155,0.5535714285714286,0.19526657070211076,30.375
baseline_all_committee_transition_mr20_nonneg,transition,269,1.196679808662347,1.2537193405004547,1.7437558399328,-0.04740884619267527,0.22676579925650558,0.11556850649896791,5.784386617100372
baseline_all_committee_transition_mr20_pressure_nonneg,accumulation,30,0.8192122123375422,0.8209493038250666,-4.775143275085112,-0.22921005491744006,0.26666666666666666,0.04722222222222217,19.733333333333334
baseline_all_committee_transition_mr20_pressure_nonneg,markup,55,0.982555262043118,0.9914373036165477,-0.5907440792387777,-0.0753769747976446,0.32727272727272727,0.10909090909090909,10.2
baseline_all_committee_transition_mr20_pressure_nonneg,distribution,94,1.1401189270673338,1.1611728982708356,3.418710193657059,-0.03423925291304275,0.3191489361702128,0.12993920972644374,6.25531914893617
baseline_all_committee_transition_mr20_pressure_nonneg,markdown,56,0.9957262611124894,1.011859362074227,0.2060770383986375,-0.21725945053370155,0.5535714285714286,0.19526657070211076,30.375
baseline_all_committee_transition_mr20_pressure_nonneg,transition,269,1.1116294454759414,1.1602199799489286,1.2315557200320493,-0.048837732923386334,0.15985130111524162,0.10623119136130288,3.795539033457249
baseline_all_committee_transition_pressure_nonneg,accumulation,30,0.8192122123375422,0.8209493038250666,-4.775143275085112,-0.22921005491744006,0.26666666666666666,0.04722222222222217,19.733333333333334
baseline_all_committee_transition_pressure_nonneg,markup,55,0.982555262043118,0.9914373036165477,-0.5907440792387777,-0.0753769747976446,0.32727272727272727,0.10909090909090909,10.2
baseline_all_committee_transition_pressure_nonneg,distribution,94,1.155840115848217,1.174211562581911,3.970096478554112,-0.03423925291304286,0.3191489361702128,0.11231003039513676,6.25531914893617
baseline_all_committee_transition_pressure_nonneg,markdown,56,0.9957262611124894,1.011859362074227,0.2060770383986375,-0.21725945053370155,0.5535714285714286,0.19526657070211076,30.375
baseline_all_committee_transition_pressure_nonneg,transition,269,1.0860701187204644,1.1284754076359989,0.9632804258164888,-0.048837732923386334,0.16728624535315986,0.09507877500442556,4.278810408921933
baseline_h1,accumulation,30,0.8626603937925809,0.8679790110017067,-3.5160957290786348,-0.21602675866181453,0.4666666666666667,0.13654401154401144,33.0
baseline_h1,markup,55,1.0711258561359462,1.082207464093135,2.780450441720236,-0.04949791739661369,0.34545454545454546,0.12564213564213564,11.872727272727273
baseline_h1,distribution,94,0.984103842742347,1.0037932372831018,-0.17589591805687216,-0.11426706676933118,0.4148936170212766,0.14081423895253678,11.957446808510639
baseline_h1,markdown,56,0.8937171402093574,0.9035446724587957,-0.7244351684963609,-0.2329261277750304,0.5357142857142857,0.13080118249291178,27.160714285714285
baseline_h1,transition,269,1.0164728520393496,1.0649624632010153,0.1769137582732307,-0.1975782216898022,0.34944237918215615,0.11510170789665997,10.449814126394052
baseline_legacy,accumulation,30,0.8406295383278208,0.8424120439999764,-4.442199260814298,-0.21142179836628072,0.26666666666666666,0.04722222222222217,24.066666666666666
baseline_legacy,markup,55,0.9805679444894044,0.9952062934515038,-0.6674201705653241,-0.07979850316623616,0.38181818181818183,0.17918506330271036,12.909090909090908
baseline_legacy,distribution,94,1.1410984874934142,1.164109558597741,3.5526700337072064,-0.024470774092841707,0.5,0.142114281140037,17.27659574468085
baseline_legacy,markdown,56,0.9116800691982186,0.9225848303183659,-0.6356054709371363,-0.2264207419418207,0.5357142857142857,0.14315032188379348,34.94642857142857
baseline_legacy,transition,269,0.8909824151605301,0.9450372455534105,-0.4489110122756799,-0.20355510736700122,0.3828996282527881,0.14540581729113958,15.24907063197026
conservative_prior,accumulation,30,0.9634676728950216,0.9733102058224671,-3.1323034796008082,-0.06083103648446586,0.3,0.22615491835921928,24.033333333333335
conservative_prior,markup,55,0.9598545804646251,0.9843866517481668,-1.3712822411399663,-0.09035631623423968,0.32727272727272727,0.3050982514217809,13.127272727272727
conservative_prior,distribution,94,1.0665730025064164,1.0785375068889516,2.1477631049738073,-0.042035085819750906,0.2872340425531915,0.07920696324951643,6.095744680851064
conservative_prior,markdown,56,0.971254474558352,0.98880598884201,-0.007916079558959439,-0.2278464388908359,0.5714285714285714,0.21465999963437588,29.946428571428573
conservative_prior,transition,269,1.1726815359349543,1.2398467495399281,0.9376138258376803,-0.13417497126523648,0.2825278810408922,0.13785726082358488,7.91449814126394
conservative_prior_transition_mr20_nonneg,accumulation,30,0.9634676728950216,0.9733102058224671,-3.1323034796008082,-0.06083103648446586,0.3,0.22615491835921928,24.033333333333335
conservative_prior_transition_mr20_nonneg,markup,55,0.9598545804646251,0.9843866517481668,-1.3712822411399663,-0.09035631623423968,0.32727272727272727,0.3050982514217809,13.127272727272727
conservative_prior_transition_mr20_nonneg,distribution,94,1.0571741947392344,1.074608105333828,1.5692903426637126,-0.04203508581975057,0.2765957446808511,0.11595744680851063,6.25531914893617
conservative_prior_transition_mr20_nonneg,markdown,56,0.9984266204610488,1.0200847594909601,0.23262896351255655,-0.21725945053370155,0.5892857142857143,0.25837384766307436,30.375
conservative_prior_transition_mr20_nonneg,transition,269,1.2445762324912568,1.3244532257795265,1.7983069441673454,-0.042918008025165655,0.21561338289962825,0.15435089669181074,5.765799256505576
conservative_prior_transition_mr20_pressure_nonneg,accumulation,30,0.9634676728950216,0.9733102058224671,-3.1323034796008082,-0.06083103648446586,0.3,0.22615491835921928,24.033333333333335
conservative_prior_transition_mr20_pressure_nonneg,markup,55,0.9598545804646251,0.9843866517481668,-1.3712822411399663,-0.09035631623423968,0.32727272727272727,0.3050982514217809,13.127272727272727
conservative_prior_transition_mr20_pressure_nonneg,distribution,94,1.1401189270673338,1.1611728982708356,3.418710193657059,-0.03423925291304275,0.3191489361702128,0.12993920972644374,6.25531914893617
conservative_prior_transition_mr20_pressure_nonneg,markdown,56,0.9984266204610488,1.0200847594909601,0.23262896351255655,-0.21725945053370155,0.5892857142857143,0.25837384766307436,30.375
conservative_prior_transition_mr20_pressure_nonneg,transition,269,1.1631152024421765,1.2335494317121298,1.4732408181456396,-0.03939451640471814,0.1524163568773234,0.1459429495838855,3.7769516728624537
conservative_prior_transition_pressure_nonneg,accumulation,30,0.9634676728950216,0.9733102058224671,-3.1323034796008082,-0.06083103648446586,0.3,0.22615491835921928,24.033333333333335
conservative_prior_transition_pressure_nonneg,markup,55,0.9598545804646251,0.9843866517481668,-1.3712822411399663,-0.09035631623423968,0.32727272727272727,0.3050982514217809,13.127272727272727
conservative_prior_transition_pressure_nonneg,distribution,94,1.155840115848217,1.174211562581911,3.970096478554112,-0.03423925291304286,0.3191489361702128,0.11231003039513676,6.25531914893617
conservative_prior_transition_pressure_nonneg,markdown,56,0.9984266204610488,1.0200847594909601,0.23262896351255655,-0.21725945053370155,0.5892857142857143,0.25837384766307436,30.375
conservative_prior_transition_pressure_nonneg,transition,269,1.1363720807711288,1.1997985053246325,1.2474805845978687,-0.057941680302811105,0.15985130111524162,0.13479053322700815,4.260223048327138
oracle_eval_phase_best,accumulation,30,0.9588119868636176,0.9717996004126354,-2.1013876141453536,-0.08867922720017896,0.43333333333333335,0.29842842342842335,33.0
oracle_eval_phase_best,markup,55,1.0455079371603553,1.069575966958322,1.4852378033230806,-0.04199002947711894,0.34545454545454546,0.2759064821668335,12.072727272727272
