loss,val_loss,val_rel_score,learning_rate
0.007350281346589327,0.005593580659478903,0.003411886369950934,0.0003000000142492354
0.007300154771655798,0.005530069582164288,0.0008948750855525267,0.0003000000142492354
0.0072609903290867805,0.00548939174041152,0.003371705302021244,0.0003000000142492354
0.007225834298878908,0.005448781885206699,0.02287254039167752,0.0003000000142492354
0.007194967940449715,0.005422009155154228,0.03278896073455351,0.0003000000142492354
0.007170988246798515,0.0053999172523617744,0.03753078778164065,0.0003000000142492354
0.0071511054411530495,0.005391218233853579,0.041459731987902204,0.0003000000142492354
0.00713418610394001,0.005377639085054398,0.0369110428289956,0.0003000000142492354
0.007118573412299156,0.0053684301674366,0.027653175312035816,0.0003000000142492354
0.00710546737536788,0.005358072929084301,0.020352032717033453,0.0003000000142492354
0.0070932297967374325,0.005353132728487253,0.017990858284732236,0.0003000000142492354
0.007083547301590443,0.0053497483022511005,0.01822298019347901,0.0001500000071246177
0.007077990565448999,0.005348192527890205,0.018712027860006697,0.0001500000071246177
0.0070730517618358135,0.005347043741494417,0.019820613847874258,0.0001500000071246177
0.007068081758916378,0.005343619734048843,0.01826399226495079,0.0001500000071246177
