fold_id,start,end,selected_policy,selected_overlay,train_objective,n_days,active_days,final_equity,sharpe,max_dd,mean_daily_return,daily_vol
0,2020-04-01,2020-05-04,full_none_r10_k10_m1,dd_stop_t8_p5,,21,21,1.1580988360388045,6.32153376595643,-0.043800282990559825,0.007167827029600272,0.017999702410682182
1,2020-05-05,2020-06-02,full_none_r10_k10_m1,dd_stop_t8_p5,,21,21,1.1812994545363666,9.489984873382449,-0.023265829592221232,0.008052020082558438,0.0134691317052991
2,2020-06-03,2020-07-01,full_none_r10_k10_m1,dd_stop_t8_p5,,21,11,0.9671705033198993,-1.5301397812945279,-0.08864975674344078,-0.0014747946622249248,0.01530032729884928
3,2020-07-02,2020-07-30,full_none_r10_k10_m1,dd_stop_t8_p5,,21,14,0.9654544922274866,-2.144664195284396,-0.06327745773947258,-0.0016043734190435653,0.011875350237687375
4,2020-07-31,2020-08-28,conf_ratio_q80_pressure_nonneg_r10_k5_m5,regime_gate_lb10_m55,4.064308651789228,21,0,1.0,,0.0,0.0,0.0
5,2020-08-31,2020-09-29,daily_bot_sig_50pct_none_r20_k10_m1,dd_stop_t8_p5,4.550823003128446,21,21,1.0591788270910623,8.420056043657073,-0.008272199209841458,0.0027543649832403073,0.005192861943750195
6,2020-09-30,2020-10-28,daily_bot_sig_50pct_none_r20_k10_m1,dd_vol_t8_p5_tv7,4.913322401310776,21,21,0.995595357976824,-0.47277594409947293,-0.03200356898657952,-0.0001906338503975187,0.006400957145777356
7,2020-10-29,2020-11-26,daily_bot_sig_50pct_none_r20_k10_m1,dd_vol_t8_p5_tv7,4.114369588601324,21,21,1.049522726377184,11.518830362670267,-0.0043010353740338125,0.0023091493051410413,0.003182320396688883
8,2020-11-27,2020-12-25,daily_bot_sig_50pct_none_r10_k10_m1,dd_stop_t8_p5,4.756989683861243,21,21,1.1150355984684037,9.430053396010171,-0.015462834434125883,0.0052354398747300485,0.008813315045550515
9,2020-12-28,2021-01-26,daily_bot_sig_50pct_none_r10_k10_m1,dd_stop_t8_p5,5.2025884257135875,21,21,1.0083888876482128,0.4856202113365697,-0.07055518576043229,0.00056112084082991,0.01834255863698978
10,2021-01-27,2021-03-03,full_none_r20_k10_m1,dd_vol_t10_p10_tv10,4.642422052552085,21,11,1.0120029626133527,1.7611144517537856,-0.01558354234180137,0.0005814440216519041,0.00524107770871191
11,2021-03-04,2021-04-01,full_none_r20_k10_m1,dd_vol_t10_p10_tv10,4.439858294686917,21,21,1.0222173011714206,2.451175121206228,-0.034673145490062396,0.0010698630806619972,0.006928737870662154
12,2021-04-02,2021-05-05,full_none_r20_k10_m1,dd_vol_t10_p10_tv10,4.307134238776362,21,21,0.989992205691904,-1.2317552367867424,-0.024600580845779763,-0.00046195710030057154,0.005953570485143914
13,2021-05-06,2021-06-03,full_none_r20_k10_m1,dd_vol_t10_p10_tv10,3.974625334334224,21,21,1.1283825398242926,12.39795612277289,-0.006685329357690728,0.005794223969895836,0.007419001412722426
14,2021-06-04,2021-07-02,full_none_r20_k10_m1,dd_vol_t10_p10_tv10,4.5196341375465705,21,21,0.9947651551162798,-0.49229964815256455,-0.02465139488967849,-0.00022467914808647942,0.007244918652890753
15,2021-07-05,2021-08-02,full_none_r20_k10_m1,dd_vol_t10_p10_tv10,4.214780244588195,21,3,0.9807231162095398,-3.066161156519889,-0.003915188447449536,-0.0009156496107881692,0.0047406141449555595
16,2021-08-03,2021-08-31,full_none_r20_k10_m1,dd_vol_t10_p10_tv10,3.8954544307674923,21,17,1.0543559340371307,2.9393852806407508,-0.03391656370482676,0.002618097341594322,0.014139353257919145
17,2021-09-01,2021-10-01,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,4.068566649767387,21,21,0.9963530158326671,-0.5909518979696433,-0.022546683588022254,-0.00016463511495269826,0.004422528189484688
18,2021-10-04,2021-11-01,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,3.8724248969359882,21,21,1.0847253535783077,13.98402997096415,-0.008120304260784028,0.0038894714137455355,0.004415282624665027
19,2021-11-02,2021-11-30,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,4.2498885505801205,21,21,1.0333510097767769,3.9267254206492335,-0.016784407994431483,0.0015830115004898588,0.006399614392430161
20,2021-12-01,2021-12-29,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,4.245416209178858,21,15,0.9974817026727691,-0.5603554419409593,-0.011133096800654885,-0.00011499231779167547,0.003257658116132694
21,2021-12-30,2022-01-28,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,4.094153442140782,21,10,1.000964366995071,0.16635066930514125,-0.028414938139059043,6.330174419707259e-05,0.006040757397670559
22,2022-02-07,2022-03-07,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,3.9123736083216047,21,14,1.0798735026313386,5.3299857915072435,-0.018228454272818384,0.003723636301130528,0.011090253532767312
23,2022-03-08,2022-04-05,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,3.9750427320958126,21,21,1.009744078197743,1.719635223630712,-0.015861138078770987,0.000470874536674921,0.004346794851495112
24,2022-04-06,2022-05-09,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,3.9060543109412116,21,2,0.9854999307169967,-5.024633880111526,-0.007451883690181571,-0.0006929993271677787,0.0021894178825785414
25,2022-05-10,2022-06-07,full_none_r10_k10_m1,dd_vol_t8_p5_tv7,3.731072942218546,21,4,1.022571579863534,1.3526286250313408,-0.0314304606599195,0.0011477260819949839,0.013469762786267644
26,2022-06-08,2022-07-06,full_none_r10_k10_m1,regime_gate_lb10_m55,3.5696371050318283,21,8,0.9009916485328694,-4.981534480886216,-0.12462658785986758,-0.0048371918263552345,0.015414535419423834
27,2022-07-07,2022-08-04,full_none_r20_k10_m1,dd_vol_t8_p5_tv7,3.395689736131084,21,16,1.1014885052432974,5.338120806839072,-0.013168106931608303,0.004703758408601792,0.013988040466088831
28,2022-08-05,2022-09-06,full_none_r20_k10_m1,dd_vol_t8_p5_tv7,3.473642210273314,21,21,1.0053824527936315,0.813719660934794,-0.023154080331445392,0.00026878211121529735,0.0052435549288926435
29,2022-09-07,2022-10-05,full_none_r20_k10_m1,dd_vol_t8_p5_tv7,3.4047906099641287,21,1,0.9931935687680301,-3.4641016151377544,-0.006806431231969889,-0.0003241157729509497,0.0014852850634768477
30,2022-10-06,2022-11-03,full_none_r20_k10_m1,dd_vol_t8_p5_tv7,3.31194760801339,21,0,1.0,,0.0,0.0,0.0
