,raw_rel_score,alpha_rel_score,raw_directional_accuracy,alpha_directional_accuracy,raw_pred_actual_q90_ratio,alpha_pred_actual_q90_ratio
mean,-0.0013202112788901488,-0.0034250821986066735,0.5092545510017289,0.4990112659186187,0.11526780078808467,0.04897205904126167
std,0.0014308137523425036,0.002069936907846273,0.010495823410652132,0.001872951236876886,0.041289698193200615,0.013408713177020418
