loss,magnitude_loss,sign_prob_loss,signed_prediction_loss,val_loss,val_magnitude_loss,val_sign_prob_loss,val_signed_prediction_loss,val_rel_score,learning_rate
2.805100440979004,0.006422809790819883,0.8052353262901306,1.3595529794692993,2.7921385765075684,0.005782936699688435,0.8007563948631287,1.3539104461669922,0.004158354726502833,0.0003000000142492354
2.785616874694824,0.005708173383027315,0.805800199508667,1.3496880531311035,2.7918591499328613,0.005623465403914452,0.8013712167739868,1.3538258075714111,-0.006287020043567626,0.0003000000142492354
2.783067464828491,0.005493381060659885,0.8045874834060669,1.348340392112732,2.7940852642059326,0.005860463250428438,0.8070562481880188,1.3545933961868286,-0.006010253701191681,0.0003000000142492354
2.7757718563079834,0.0054960851557552814,0.8054640293121338,1.3445003032684326,2.7909140586853027,0.006075765937566757,0.8008954524993896,1.3534557819366455,-0.006776474069303928,0.0003000000142492354
2.7714805603027344,0.005674086511135101,0.8050382733345032,1.3421729803085327,2.7835638523101807,0.005929313600063324,0.8031036853790283,1.3495200872421265,-0.020307014507477072,0.0003000000142492354
2.7690460681915283,0.005646787583827972,0.8045511841773987,1.341490626335144,2.773989677429199,0.0051520103588700294,0.7997649908065796,1.3451062440872192,-0.005712997470208592,0.0003000000142492354
2.757472038269043,0.005359525326639414,0.8025405406951904,1.3357239961624146,2.7765424251556396,0.005465805530548096,0.7994446158409119,1.3464035987854004,-0.011044078664717905,0.0001500000071246177
2.7432525157928467,0.005807545967400074,0.8030036091804504,1.328089714050293,2.7789766788482666,0.005716909188777208,0.7985146045684814,1.347659945487976,-0.009182475538004997,0.0001500000071246177
2.7399134635925293,0.006050680298358202,0.8032539486885071,1.3263847827911377,2.773697853088379,0.0056763868778944016,0.7983283400535583,1.3450590372085571,-0.004252243224162289,0.0001500000071246177
2.7367231845855713,0.006157682742923498,0.8028050065040588,1.3241897821426392,2.7795751094818115,0.005846140906214714,0.8001598715782166,1.3478156328201294,-0.009772213721839673,0.0001500000071246177
2.729642152786255,0.0064589399844408035,0.8029385805130005,1.3206446170806885,2.7790987491607666,0.00607911916449666,0.7980496883392334,1.3477280139923096,-0.01464370056319253,0.0001500000071246177
