error,base
-0.066983812,-0.06871613
0.0104284359,0.009708754
0.00821540606,0.0076923203
-0.0044162497,0.0
0.0350899801,0.0343512
0.0299288187,0.031365205
-0.00274587173,-0.0017888354
-0.0020833695,0.0
-0.050019266800000003,-0.04659498
-0.0042055037,-0.007518809
0.0122514662,0.013257598
-0.041344767,-0.035514075
0.0062110438000000006,0.0058139632
0.0070117112,0.0057803565
0.0675489435,0.06513412
-0.009680693300000001,-0.008992744
0.02941568,0.034482658
-0.0017484455000000001,-0.0052631665
-0.015138902499999999,-0.012345624
0.0032922027000000004,-0.0017857933
-0.0077327885399999996,-0.0071555707
-0.0116123502,-0.012612633
-0.0059020732,-0.007299282
0.005735237200000001,0.009191192
-0.0102617488,-0.009107483
-0.028394066000000003,-0.025735257
-0.0044342573,0.0
-0.002541737,0.0
-0.00096980453,0.0
0.0018772737,0.0
0.00479222837,0.0056603057
0.0037711661429999997,0.0037524316
-0.005553072256,-0.005607486
-0.0026004254,-0.0037594044
-0.0064096374,-0.009433897
-0.0048300588,-0.003809611
0.0023771383999999997,0.005736147
-0.0005435546,0.0
-0.0080208699,-0.0076045753
-0.009904857500000001,-0.011494271
-0.0360525963,-0.03875967
0.019973470299999997,0.01814519
0.0149358076,0.009901006
-0.0017960315000000002,-0.003921575
-0.018148182,-0.015748058
0.0055610138,0.008000013
0.0029850220000000004,0.0019841301
0.03059708,0.031683218
0.0061865118,0.0038386956
0.012934624499999998,0.01720844
0.05278632533,0.052631583
0.0119148254,0.010714226
-0.008199499899999999,-0.007067074
-0.0005408784,-0.0035587244
0.032287055110000004,0.032142833
0.0136117938,0.017300993
-0.0110416536,-0.008503343
-0.0189739223,-0.017152613
0.01949123,0.015706757
0.0064465123,0.008591079
0.0255091507,0.02896079
-0.0156494202,-0.0132450545
-0.0164195828,-0.015100624
0.016532419399999998,0.013628642
-0.0044620028,-0.001680675
-0.0629171235,-0.06228959
0.0318571357,0.030520618
-0.0167396491,-0.017421557
0.0215901905,0.017730448
0.0112939922,0.013937305
-0.007269784739999999,-0.0068728635
0.00334872869,0.0034602133
-0.0107627617,-0.006896563
-0.0324907622,-0.034722205
-0.04636976343,-0.04676259
-0.016161497400000002,-0.015094364
-0.008123980999999999,-0.009578478
-0.0089762036,-0.005802717
0.0063855553999999995,0.0038909737
0.04252942201,0.042635728
-0.03020660428,-0.029739825
0.0192812891,0.01915712
0.009440079372,0.0093984315
0.0060545485,0.0037244805
0.00025609919999999993,0.0018552113
-0.0044967793,0.0
-0.021651991000000002,-0.024074035
-0.0006942744999999999,-0.0018975363
-0.017480994,-0.020912582
-0.023053125,-0.019417426
-0.0018924559,0.0
0.01751152744,0.017821811
0.03023249695,0.031128371
-0.0019931337,-0.003773591
0.0024470368,0.003787885
-0.0013460508,0.0
-0.013090936000000001,-0.015094364
-0.0069284944000000005,-0.0057471357
0.0033691462,0.0019267855
0.0043123968,0.00576924
-0.006397052,-0.0038240163
0.00018480822,0.0
0.04401594238,0.044145778
0.025071663,0.02205886
0.0018173803999999997,0.0071942564
0.0019470372,0.005357075
-0.006803299299999999,-0.00532853
0.008361918400000001,0.008928586
0.00171912865,0.0017698387
0.019065906,0.021201449
-0.0085380571,-0.0069204266
-0.00101007036,-0.0017420888
-0.0454677722,-0.043630086
0.0035561784139999998,0.003649641
-0.000558468,0.0
-0.0121571653,-0.009090924
0.0024779203,0.0018348654
-0.0166336557,-0.014651961
-0.015073160199999998,-0.01858739
-0.014084717699999999,-0.01515154
0.0005493428,0.0019231621
-0.0052674663,-0.007677555
-0.0106274799,-0.009671195
-0.0216827781,-0.023437537
0.0008263152000000003,-0.0020000034
0.0073243592,0.0060120337
0.007117999,0.0
0.0259834499,0.027888406
-0.00067418296,0.0
0.00867390313,0.007751951
-0.0067655839,-0.0057691582
0.027090303099999997,0.025145024
-0.00062670273,0.0
0.0034202116,0.0056603057
0.00466414477,0.0037524316
0.0231545978,0.024299024
-0.019822170400000002,-0.021897769
-0.011143465299999999,-0.009328373
0.002447564,0.003766404
-0.00077531236,0.0
-0.0202345329,-0.016885502
0.01163818049,0.011450401
0.0017797295,0.003773591
-0.0068569563,-0.0037594044
0.02717926455,0.026415056
-0.0067216155,-0.005514715
0.0166254031,0.014787455
0.0030561590999999997,0.0036430708
-0.013176883,-0.009074502
-0.0034299114,-0.0018315049
0.0012112275000000002,0.003669809
0.00807295974,0.0073126256
-0.001903666,0.0
-0.0063128288,-0.0018149622
0.0078330998,0.007272739
0.0008688170000000001,0.001805057
-0.0132418363,-0.010810828
-0.0126182702,-0.009107483
-0.028918140800000002,-0.025735257
0.00410650058,0.003773591
0.0134651952,0.015037538
