seed,variant,delta_rel_score,delta_q90_abs_error,delta_daily_q90_abs_error_q90,delta_daily_q90_abs_error_max,delta_spike_days_ge_7pct,delta_spike_days_ge_8pct
43,plain_global_instance_rel,-0.012712098376926328,0.0009285748599999824,0.0007394270799999936,-0.01177936260000001,-3,-12
43,plain_global_weighted_mild,0.012495018102544386,-0.0008678186800000209,-0.0003702496800000177,0.011466755000000009,1,-4
43,plain_global_weighted_mild_tail35_p05,0.008607452264961069,-0.0008165286800000254,-0.0009175828400000002,0.006458542500000011,-2,-3
52,plain_global_instance_rel,-0.00926241987236387,0.0005526008199999918,0.000848053939999982,-0.010809312399999993,-1,-8
52,plain_global_weighted_mild,0.011664700533257633,-0.0009936639550000154,-0.001957008560000001,0.025640487000000003,3,8
52,plain_global_weighted_mild_tail35_p05,0.012123047012386978,-0.0014540016979999945,-0.0027178096800000023,0.008920927200000012,-13,0
71,plain_global_instance_rel,-0.008547404971018135,0.0006295716500000145,-0.0005176094999999881,-0.009187889000000005,-9,-13
71,plain_global_weighted_mild,-0.013536387515813653,0.0004671174400000047,-0.0008260798999999847,-0.015419153000000005,1,-16
71,plain_global_weighted_mild_tail35_p05,-0.002624619386470184,-0.0001460457100000076,-0.0012882551000000103,-0.0044992080000000045,-12,-12
