seed,variant,split,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,actual_abs_q90,prediction_abs_q90,prediction_actual_abs_q90_ratio,directional_accuracy,spike_days_ge_5pct,spike_rate_ge_5pct,spike_days_ge_7pct,spike_rate_ge_7pct,spike_days_ge_8pct,spike_rate_ge_8pct
43,plain_global_instance_rel,train,129720,1970,0.019270640045479737,0.00968810335,0.0364317562,0.03094022240000001,0.049415114820000015,0.07519305640000001,0.03703697,0.0046003018000000005,0.12420837341715589,0.4656799259944496,190,0.09644670050761421,15,0.007614213197969543,0,0.0
43,plain_global_instance_rel,val,60468,659,0.00447697881640885,0.01246836875,0.05010445294000001,0.03669036000000004,0.06570958412000001,0.08183382739999999,0.05022141510000003,0.00585045111,0.11649315532727784,0.4955844413574122,171,0.25948406676783003,36,0.054628224582701064,2,0.0030349013657056147
43,plain_global_rel,train,129720,1970,0.024857359033679804,0.00968047868,0.03612909581000001,0.03091389035,0.04881449346000001,0.081276125,0.03703697,0.005648852940000002,0.15251930543994288,0.47605612087573235,175,0.08883248730964467,18,0.009137055837563452,2,0.0010152284263959391
43,plain_global_rel,val,60468,659,0.017189077193335178,0.012453545715,0.04917587808000003,0.03663546820000002,0.06497015704000002,0.09361319,0.05022141510000003,0.007134358780000003,0.1420580994341595,0.5046966990805054,162,0.24582701062215478,39,0.05918057663125948,14,0.021244309559939303
43,plain_global_weighted_mild,train,129720,1970,0.021809534211236214,0.00982517375,0.03601314077,0.030805825950000004,0.04765289828,0.082851484,0.03703697,0.006421976600000004,0.17339368204256458,0.47660345359235273,153,0.07766497461928934,16,0.008121827411167513,2,0.0010152284263959391
43,plain_global_weighted_mild,val,60468,659,0.029684095295879565,0.0124165262,0.048308059400000006,0.03697932079999999,0.06459990736,0.10507994500000001,0.05022141510000003,0.007509684910000004,0.1495315274379833,0.5092114837600052,158,0.23975720789074356,40,0.06069802731411229,10,0.015174506828528073
43,plain_global_weighted_mild_tail35_p05,train,129720,1970,0.03133394447368443,0.00974134555,0.03563881489,0.03113566505000002,0.04729302854000001,0.08779252300000001,0.03703697,0.006589213740000002,0.17790909299545837,0.48213845205057043,158,0.08020304568527918,13,0.006598984771573604,1,0.0005076142131979696
43,plain_global_weighted_mild_tail35_p05,val,60468,659,0.025796529458296247,0.012537400950000001,0.0483593494,0.037111661700000007,0.06405257420000002,0.10007173250000001,0.05022141510000003,0.008452205600000002,0.1682988339370787,0.5076073294965933,162,0.24582701062215478,37,0.05614567526555387,11,0.01669195751138088
52,plain_global_instance_rel,train,129720,1970,0.010133704071115468,0.009849758099999998,0.03662837993000001,0.03105165970000001,0.049221657,0.0788666302,0.03703697,0.003981962530000003,0.10751318290886112,0.4576626580326858,179,0.09086294416243655,11,0.005583756345177665,0,0.0
52,plain_global_instance_rel,val,60468,659,0.006127529535743914,0.0125113473,0.04989407954000001,0.036924536000000015,0.06670115089999999,0.0854276756,0.05022141510000003,0.0047668592800000015,0.09491686505663595,0.4925415095587749,169,0.2564491654021244,37,0.05614567526555387,1,0.0015174506828528073
