preset,expert_run,expert_model,market_model,method,weight_expert,code_count,overlap_codes,agreement_rate,val_rows,test_rows,committee_val_rel_score,committee_test_rel_score,expert_val_rel_score_overlap,expert_test_rel_score_overlap,market_val_rel_score_overlap,market_test_rel_score_overlap,summary_path
bank,mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_signmag_best_by_val,avg,0.9,6,"ACB,BID,CTG,MBB,TCB,VCB",0.5989243620551551,1500,1751,0.020002669113606153,0.004223660906501281,0.018851012706166292,0.0024695198029990317,0.010656700420836995,0.015382889107946385,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/shared_vn30_return_w20_relscore_20260408_170355__committee__bank/best_committee_summary.json
bds,mini_bat_ong_san_g01_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_signmag_best_by_val,agree_only,0.15,1,VHM,0.6137413394919169,250,292,0.04999238483210944,0.046000604364728415,0.03376999954003901,0.07718925445647162,0.024499260470805084,0.038666100325901454,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/shared_vn30_return_w20_relscore_20260408_170355__committee__bds/best_committee_summary.json
fnb,mini_tpdouong_g06_uncertainty_sidecar,lstm_ensemble,lstm_ensemble,avg,0.25,2,"SAB,VNM",0.6931988041853513,500,585,0.010094064862497198,0.004327262588399772,-0.00027785079126441126,0.014775198530114109,0.004715783275216712,0.004784128999163029,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/shared_vn30_return_w20_relscore_20260408_170355__committee__fnb/best_committee_summary.json
