candidate,split,market,rows,panels,rel_score,directional_accuracy,daily_ic,daily_ic_t,positive_ic_days,quartile_ls_mean,quartile_equity,days
compact_lstm_top2,train,JP,63502,26,0.0010790296217114692,0.4980141843971631,0.02221110794271545,4.363894187720954,0.5360527400082407,0.0005589933091080797,3.337708746866024,2427
compact_lstm_top2,train,US,224046,89,0.004096501257112917,0.5250504761734593,0.025021843646968484,6.5408032577582205,0.5526729559748428,0.0007599056141864066,6.467675142021311,2544
compact_lstm_top2,train,VN,129704,92,-0.0005263634959991048,0.432041383570105,0.11207517491663914,28.647747950459834,0.7463216641298833,0.004391466349273533,5175.422490867655,1971
compact_lstm_top2,val,JP,16660,26,-0.001350892882285848,0.4925939306358382,0.01606256065122173,1.6633837841726642,0.5132605304212169,0.0006124314418360821,1.4245412296417148,641
compact_lstm_top2,val,US,58998,89,0.0029368270876244384,0.5143658619517171,0.01358958685582928,1.3608176079376986,0.521870286576169,0.0009724924173585097,1.8206189145534237,663
compact_lstm_top2,val,VN,60468,93,0.002584331078019697,0.47652698981453834,0.033697189380609706,3.959830830362277,0.590288315629742,-9.619180173518337e-05,0.8852501762921208,659
compact_lstm_top2,train,ALL,417252,207,0.0010448044469061335,0.492035275094881,0.06332517507431352,14.966638173352536,0.623144271031595,0.0023490710967515303,403.307671499488,2627
compact_lstm_top2,val,ALL,136126,208,0.001880679947227848,0.4948935229533564,0.022487986284073433,2.426760939637504,0.5321637426900585,-1.895208220140962e-05,0.9071035715543978,684
compact_signmag_top2,train,JP,63502,26,0.00031896899118477595,0.49156816390858943,0.010772205517787079,2.006728167484348,0.5162752369180058,0.0004377613240366413,2.495283071910345,2427
compact_signmag_top2,train,US,224046,89,0.002798260281724363,0.5231922382832741,0.012329204515605577,2.864261137669298,0.5153301886792453,0.0004913549579065516,3.170439426509972,2544
compact_signmag_top2,train,VN,129704,92,-0.0011556908145640143,0.42227455219271154,0.07261922043341255,16.30093164362124,0.6585489599188229,0.003009675545853085,335.3136189799962,1971
compact_signmag_top2,val,JP,16660,26,0.001116818726205615,0.510657514450867,0.007302375536807101,0.6896746396831224,0.5351014040561622,-3.6509926475707735e-05,0.9332256764029203,641
compact_signmag_top2,val,US,58998,89,0.00163942151496288,0.5181570894253655,0.010217499051975654,0.9445267445285498,0.5233785822021116,0.0007264182050875051,1.53071230798999,663
compact_signmag_top2,val,VN,60468,93,0.004052536994618494,0.4790484721807505,0.02488273731087135,2.573203899750261,0.5477996965098634,0.00043205944255781,1.2307967753524236,659
compact_signmag_top2,train,ALL,417252,207,-0.0009254236942957128,0.487021336826297,0.039244362308372596,8.6857459860679,0.575942139322421,0.0016806618904299962,67.49158199477942,2627
compact_signmag_top2,val,ALL,136126,208,0.0033463636743467085,0.49986736423255473,0.030677740206527082,3.148933495485794,0.5745614035087719,0.0007137183576019836,1.4799682468572821,684
marketplus_signmag_ensemble,train,JP,63504,26,0.0007791621974059249,0.4971947298745508,0.022052225374995998,4.2002849529224635,0.5290482076637825,0.0005938076172617086,3.650574132080105,2427
marketplus_signmag_ensemble,train,US,224047,89,0.0032091226115388283,0.522274187136227,0.023471774200063838,5.842783306088103,0.5471698113207547,0.0004914774519609003,3.235644700639606,2544
marketplus_signmag_ensemble,train,VN,129717,92,0.0015012901938394885,0.4373866119058464,0.09064266247503643,21.452302429241147,0.6925418569254186,0.0031567585112913937,453.05842101761186,1971
marketplus_signmag_ensemble,val,JP,16660,26,0.00035386313400576075,0.5145110789980732,0.019832796888478284,1.891874216587165,0.5101404056162246,0.00039381861506336834,1.231362873586757,641
marketplus_signmag_ensemble,val,US,58998,89,0.0033137525526240053,0.5181740904454267,0.019920648699847044,1.8341495849359046,0.5143288084464555,0.0009929389799385195,1.8251170770845808,663
