stock,company_name,sector,industry,sub_industry,com_type_code,combo_rank_in_stock,combo,feature,test_rel_score,val_rel_score
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản,Bất động sản,Bất động sản,CT,9,"volume_ratio_20,upper_shadow",upper_shadow,0.0760450781799588,-0.0166597604414708
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản,Bất động sản,Bất động sản,CT,10,"true_range,obv_change",true_range,0.0741139966057176,0.0078522141896286
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản,Bất động sản,Bất động sản,CT,10,"true_range,obv_change",obv_change,0.0741139966057176,0.0078522141896286
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,1,"intraday_return,close_position",intraday_return,0.0601711526945627,-0.0781600794586043
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,1,"intraday_return,close_position",close_position,0.0601711526945627,-0.0781600794586043
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,2,"body_pct,close_position",body_pct,0.0601711526945627,-0.0781600794586043
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,2,"body_pct,close_position",close_position,0.0601711526945627,-0.0781600794586043
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,3,"close_position,ma_10_gap",close_position,0.0484451729292989,-0.057717652528447
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,3,"close_position,ma_10_gap",ma_10_gap,0.0484451729292989,-0.057717652528447
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,4,"adjust_return,close_position",adjust_return,0.0482150191839511,-0.0405370259065684
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,4,"adjust_return,close_position",close_position,0.0482150191839511,-0.0405370259065684
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,5,"close_position,ma_5_gap",close_position,0.0439228401719223,-0.0386190211329524
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,5,"close_position,ma_5_gap",ma_5_gap,0.0439228401719223,-0.0386190211329524
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,6,"return_3,ma_50_gap",return_3,0.0431881028321744,-0.0128442126563717
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,6,"return_3,ma_50_gap",ma_50_gap,0.0431881028321744,-0.0128442126563717
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,7,"close_position,upper_shadow",close_position,0.0430731876272143,-0.1204922120619071
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,7,"close_position,upper_shadow",upper_shadow,0.0430731876272143,-0.1204922120619071
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8,"close_return,close_position",close_return,0.0402055269880093,-0.0423401020939582
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8,"close_return,close_position",close_position,0.0402055269880093,-0.0423401020939582
