split,candidate,coverage,active_hit_rate
train,base,1.0,0.4365615644803857
train,probability_scaled,1.0,0.4365615644803857
train,gate,0.02267407954589635,0.539437585733882
train,daily_top_10,0.10672213366509856,0.4692167577413479
train,daily_top_20,0.2061739434703161,0.4596643409390911
train,daily_top_train_selected,0.03621943159286187,0.49248604551309577
train,move_top_10,0.10672213366509856,0.46200364298724955
train,move_top_20,0.2061739434703161,0.4592494814256081
train,move_top_train_selected,0.03621943159286187,0.46822670674109057
train,move_top_train_ic_selected,0.4061039617433226,0.455492369847014
train,probability_risk_scaled,1.0,0.4365615644803857
train,gate_risk_scaled,0.02267407954589635,0.539437585733882
train,daily_top_train_selected_risk_scaled,0.03621943159286187,0.49248604551309577
train,move_top_train_selected_risk_scaled,0.03621943159286187,0.46822670674109057
train,move_top_train_ic_selected_risk_scaled,0.4061039617433226,0.455492369847014
val,base,1.0,0.47684414164353606
val,probability_scaled,1.0,0.47684414164353606
val,gate,0.043182773992766425,0.5356447214647448
val,daily_top_10,0.10744385566490033,0.4950681070925317
val,daily_top_20,0.2054672386239381,0.4984444080563288
val,daily_top_train_selected,0.03270249810749432,0.4809670781893004
val,move_top_10,0.10744385566490033,0.49788633161108503
val,move_top_20,0.2054672386239381,0.4968888161126576
val,move_top_train_selected,0.03270249810749432,0.49948559670781895
val,move_top_train_ic_selected,0.4052653713516696,0.48839815698808686
val,probability_risk_scaled,1.0,0.47684414164353606
val,gate_risk_scaled,0.043182773992766425,0.5356447214647448
val,daily_top_train_selected_risk_scaled,0.03270249810749432,0.4809670781893004
val,move_top_train_selected_risk_scaled,0.03270249810749432,0.49948559670781895
val,move_top_train_ic_selected_risk_scaled,0.4052653713516696,0.48839815698808686
