split,candidate,n_obs,rel_score,directional_accuracy,mean_daily_ic,daily_ic_t,quartile_equity,quartile_hit_rate
train,base,128605,-0.004542435913368115,0.4270796832293784,0.03732917338757463,9.668216812813055,73.98349107098205,0.5861011752682678
train,probability_scaled,128605,0.0005809558542477777,0.4270796832293784,0.03856434764247173,9.93536596209221,80.2970342686306,0.5871231476750127
train,gate,128605,0.0017776862386099657,0.17363982526222346,0.053251330332354754,4.696626917827808,2.2021358562906914,0.5692307692307692
train,daily_top_10,128605,0.0003754082336070441,0.19832426160830394,0.02634745564022683,7.577742631072414,6.574611119089675,0.5498211548288197
train,daily_top_20,128605,-0.0002993726871438618,0.2285918969638922,0.027674299132085897,7.420014244520629,16.705352826365065,0.5682166581502299
train,daily_top_train_selected,128605,0.0007881390323727366,0.17624064600026476,0.024108595825808144,6.754898899777453,2.3978641702204992,0.515881708652793
train,move_top_10,128605,-0.0007266471562812349,0.1970238512392833,0.019985435744550174,5.542682930892135,4.316133663536835,0.540112416964742
train,move_top_20,128605,-0.0004126152745753675,0.22757181457861253,0.02887538253653642,7.898454766266489,20.2202017526446,0.5697496167603475
train,move_top_train_selected,128605,-0.00014156664334730173,0.1752984324993576,0.01717134831880375,4.783801534779339,2.0863789324732753,0.5227896760021966
train,move_top_train_ic_selected,128605,-0.002755973962167868,0.28038249196003767,0.036108527640011816,9.497312851672458,59.70675682569471,0.5917220235053654
train,probability_risk_scaled,128605,0.0005419203189265254,0.4270796832293784,0.038518197438364835,9.925613816465205,78.82197431531353,0.5866121614716403
train,gate_risk_scaled,128605,0.0007920008410160495,0.17363982526222346,0.05327813131044807,4.699017208970172,2.2021711064878753,0.5692307692307692
train,daily_top_train_selected_risk_scaled,128605,0.0006822198534262025,0.17624064600026476,0.024116615273675635,6.7573264634712515,2.3978641702204992,0.515881708652793
train,move_top_train_selected_risk_scaled,128605,-1.8153801315534679e-06,0.1752984324993576,0.017151141507504224,4.778578951709273,2.0863789324732753,0.5227896760021966
train,move_top_train_ic_selected_risk_scaled,128605,-0.0018562468138014765,0.28038249196003767,0.03610118095280854,9.496061917602395,59.49235919464115,0.5922330097087378
val,base,59445,0.00485415679082557,0.471033935773469,0.024234704440684013,2.967379816727319,2.0844010375761517,0.5817901234567902
val,probability_scaled,59445,0.001705547872980051,0.471033935773469,0.024379701137869605,2.9733628824936913,2.1272588921231814,0.5756172839506173
val,gate,59445,0.004957263680310575,0.09414603688891139,0.021801192178943104,1.3504117042178103,1.2022928095370335,0.5029585798816568
val,daily_top_10,59445,0.003457413166269574,0.12035302654449113,0.010919338901829863,1.8549012432223337,1.0089897884279455,0.5030864197530864
val,daily_top_20,59445,0.0043595640323348395,0.1618657081624732,0.01811938113006192,2.7313787354546792,1.5682253778922055,0.5123456790123457
val,daily_top_train_selected,59445,0.001020844108064578,0.08756475809581667,-0.0003486077087221576,-0.06785941498389411,0.7024007978754487,0.47678018575851394
val,move_top_10,59445,0.003740472316427934,0.12031927639683423,0.016113347565727094,2.6508941353086066,1.0628171759118608,0.5154320987654321
val,move_top_20,59445,0.0052308798218847485,0.1602457010749422,0.01998761722141009,2.9091089877950074,1.369868115479058,0.5401234567901234
val,move_top_train_selected,59445,0.0009212250083452389,0.08817226075364079,0.006461583459578651,1.225739854504022,0.7894480463786371,0.49382716049382713
val,move_top_train_ic_selected,59445,0.007668297623358522,0.24370981623044602,0.02202350295486654,2.8619005964474056,1.9580534846189193,0.5601851851851852
val,probability_risk_scaled,59445,0.002043230106682392,0.471033935773469,0.024376962801457035,2.9728543552783275,2.1257032713650155,0.5756172839506173
val,gate_risk_scaled,59445,0.0011895836136422977,0.09414603688891139,0.02182955566852613,1.3519622355030796,1.2022928095370335,0.5029585798816568
val,daily_top_train_selected_risk_scaled,59445,0.0003172412340687325,0.08756475809581667,-0.00035404165246494447,-0.06891634743536225,0.7024007978754487,0.47678018575851394
val,move_top_train_selected_risk_scaled,59445,-0.0003283244195499968,0.08817226075364079,0.00645754482025285,1.224917000611864,0.7894480463786371,0.49382716049382713
val,move_top_train_ic_selected_risk_scaled,59445,0.0028605053879755538,0.24370981623044602,0.022012630298873872,2.8603147682535988,1.9572930216263207,0.5601851851851852
