model,threshold,holding_period,uncertainty_model,uncertainty_quantile,max_uncertainty,uncertainty_side,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
arima,0.0,1,,,,,809,0.6625716625716626,0.5241038318912238,0.0011501965547589617,0.0011501965547589617,0.9305090128,2.142728154841715,2.142728154841715
arima,0.0025,1,,,,,145,0.11875511875511875,0.5241379310344828,0.003088321251724138,0.003088321251724138,0.44780658149999997,1.4907957807990262,1.4907957807990262
arima,0.005,1,,,,,21,0.0171990171990172,0.47619047619047616,0.002647136857142858,0.002647136857142858,0.05558987400000002,1.0486926320267211,1.0486926320267211
arima,0.01,1,,,,,1,0.000819000819000819,1.0,0.039236497,0.039236497,0.039236497,1.039236497,1.039236497
arima,0.015,1,,,,,0,0.0,,,,0.0,1.0,1.0
arima,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
linear_regression,0.0,1,,,,,664,0.5438165438165438,0.5180722891566265,0.0008745509501506026,0.0008745509501506026,0.5807018309000002,1.5446472417747774,1.5446472417747774
linear_regression,0.0025,1,,,,,398,0.32596232596232594,0.507537688442211,0.0016338285756281408,0.0016338285756281408,0.6502637731,1.729822622468802,1.729822622468802
linear_regression,0.005,1,,,,,220,0.18018018018018017,0.5590909090909091,0.004127480478181818,0.004127480478181818,0.9080457052,2.3333354335139807,2.3333354335139807
linear_regression,0.01,1,,,,,50,0.04095004095004095,0.64,0.007057581302,0.007057581302,0.3528790651,1.4001542493418961,1.4001542493418961
linear_regression,0.015,1,,,,,10,0.00819000819000819,0.7,0.014937265250000002,0.014937265250000002,0.1493726525,1.1576331959412176,1.1576331959412176
linear_regression,0.02,1,,,,,2,0.001638001638001638,0.5,0.00458006705,0.00458006705,0.0091601341,1.0091494818849687,1.0091494818849687
lstm,0.0,1,,,,,584,0.4782964782964783,0.5445205479452054,0.0016375847186643835,0.0016375847186643835,0.9563494757,2.176375738150219,2.176375738150219
lstm,0.0025,1,,,,,249,0.20393120393120392,0.5381526104417671,0.001982265718473896,0.001982265718473896,0.49358416390000004,1.4925739253663632,1.4925739253663632
lstm,0.005,1,,,,,120,0.09828009828009827,0.5416666666666666,0.0026964229441666663,0.0026964229441666663,0.32357075329999996,1.3101231171403922,1.3101231171403922
lstm,0.01,1,,,,,18,0.014742014742014743,0.7222222222222222,0.01639655812777778,0.01639655812777778,0.29513804630000007,1.3271417119151798,1.3271417119151798
lstm,0.015,1,,,,,1,0.000819000819000819,1.0,0.0671378,0.0671378,0.0671378,1.0671378,1.0671378
lstm,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.0,1,,,,,512,0.41932841932841936,0.5234375,0.00034297202851562463,0.00034297202851562463,0.1756016785999998,1.0337938912764524,1.0337938912764524
lstm_best_by_val,0.0025,1,,,,,242,0.1981981981981982,0.5867768595041323,0.003997426420247934,0.003997426420247934,0.9673771937,2.4304858269251826,2.4304858269251826
lstm_best_by_val,0.005,1,,,,,97,0.07944307944307945,0.6082474226804123,0.006186041236082475,0.006186041236082475,0.6000459999000001,1.7395636089865474,1.7395636089865474
lstm_best_by_val,0.01,1,,,,,28,0.02293202293202293,0.7142857142857143,0.011526153035714286,0.011526153035714286,0.322732285,1.3480592060806071,1.3480592060806071
lstm_best_by_val,0.015,1,,,,,7,0.005733005733005733,0.7142857142857143,0.01616378235714286,0.01616378235714286,0.11314647650000001,1.1152320190448008,1.1152320190448008
lstm_best_by_val,0.02,1,,,,,1,0.000819000819000819,1.0,0.06935123,0.06935123,0.06935123,1.06935123,1.06935123
lstm_ensemble,0.0,1,,,,,454,0.37182637182637185,0.5462555066079295,0.0010618878502202645,0.0010618878502202645,0.48209708400000006,1.3861100245681075,1.3861100245681075
lstm_ensemble,0.0025,1,,,,,153,0.12530712530712532,0.5947712418300654,0.004652620152941177,0.004652620152941177,0.7118508834,1.8942717081372822,1.8942717081372822
lstm_ensemble,0.005,1,,,,,61,0.049959049959049956,0.6229508196721312,0.009251560754098359,0.009251560754098359,0.5643452059999999,1.698725149644843,1.698725149644843
lstm_ensemble,0.01,1,,,,,2,0.001638001638001638,1.0,0.0388597155,0.0388597155,0.077719431,1.0782997760322373,1.0782997760322373
lstm_ensemble,0.015,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_42,0.0,1,,,,,584,0.4782964782964783,0.5445205479452054,0.0016375847186643835,0.0016375847186643835,0.9563494757,2.176375738150219,2.176375738150219
lstm_seed_42,0.0025,1,,,,,249,0.20393120393120392,0.5381526104417671,0.001982265718473896,0.001982265718473896,0.49358416390000004,1.4925739253663632,1.4925739253663632
lstm_seed_42,0.005,1,,,,,120,0.09828009828009827,0.5416666666666666,0.0026964229441666663,0.0026964229441666663,0.32357075329999996,1.3101231171403922,1.3101231171403922
lstm_seed_42,0.01,1,,,,,18,0.014742014742014743,0.7222222222222222,0.01639655812777778,0.01639655812777778,0.29513804630000007,1.3271417119151798,1.3271417119151798
lstm_seed_42,0.015,1,,,,,1,0.000819000819000819,1.0,0.0671378,0.0671378,0.0671378,1.0671378,1.0671378
lstm_seed_42,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.0,1,,,,,405,0.3316953316953317,0.5506172839506173,0.0020127218037037037,0.0020127218037037037,0.8151523305,1.9504647910587258,1.9504647910587258
lstm_seed_52,0.0025,1,,,,,124,0.10155610155610155,0.5725806451612904,0.004521732912096773,0.004521732912096773,0.5606948810999999,1.659268238902997,1.659268238902997
lstm_seed_52,0.005,1,,,,,21,0.0171990171990172,0.6190476190476191,0.0026751568714285714,0.0026751568714285714,0.0561782943,1.0520903146777116,1.0520903146777116
lstm_seed_52,0.01,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.015,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_62,0.0,1,,,,,512,0.41932841932841936,0.5234375,0.00034297202851562463,0.00034297202851562463,0.1756016785999998,1.0337938912764524,1.0337938912764524
lstm_seed_62,0.0025,1,,,,,242,0.1981981981981982,0.5867768595041323,0.003997426420247934,0.003997426420247934,0.9673771937,2.4304858269251826,2.4304858269251826
lstm_seed_62,0.005,1,,,,,97,0.07944307944307945,0.6082474226804123,0.006186041236082475,0.006186041236082475,0.6000459999000001,1.7395636089865474,1.7395636089865474
lstm_seed_62,0.01,1,,,,,28,0.02293202293202293,0.7142857142857143,0.011526153035714286,0.011526153035714286,0.322732285,1.3480592060806071,1.3480592060806071
lstm_seed_62,0.015,1,,,,,7,0.005733005733005733,0.7142857142857143,0.01616378235714286,0.01616378235714286,0.11314647650000001,1.1152320190448008,1.1152320190448008
lstm_seed_62,0.02,1,,,,,1,0.000819000819000819,1.0,0.06935123,0.06935123,0.06935123,1.06935123,1.06935123
lstm_seed_99,0.0,1,,,,,604,0.49467649467649466,0.5447019867549668,0.001450281282119205,0.001450281282119205,0.8759698943999998,1.9699889570632552,1.9699889570632552
lstm_seed_99,0.0025,1,,,,,288,0.23587223587223588,0.5625,0.0028735269583333336,0.0028735269583333336,0.8275757640000001,2.0640320514136374,2.0640320514136374
lstm_seed_99,0.005,1,,,,,110,0.09009009009009009,0.6272727272727273,0.004236732961818182,0.004236732961818182,0.4660406258000001,1.5344948232329059,1.5344948232329059
