variant,split,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,actual_abs_q90,prediction_abs_q90,prediction_actual_abs_q90_ratio,directional_accuracy,spike_days_ge_5pct,spike_rate_ge_5pct,spike_days_ge_7pct,spike_rate_ge_7pct,spike_days_ge_8pct,spike_rate_ge_8pct
plain_global_instance_rel,train,129720,1970,0.010133704071115468,0.009849758099999998,0.03662837993000001,0.03105165970000001,0.049221657,0.0788666302,0.03703697,0.003981962530000003,0.10751318290886112,0.4576626580326858,179,0.09086294416243655,11,0.005583756345177665,0,0.0
plain_global_instance_rel,val,60468,659,0.006127529535743914,0.0125113473,0.04989407954000001,0.036924536000000015,0.06670115089999999,0.0854276756,0.05022141510000003,0.0047668592800000015,0.09491686505663595,0.4925415095587749,169,0.2564491654021244,37,0.05614567526555387,1,0.0015174506828528073
plain_global_rel,train,129720,1970,0.02035249342978729,0.009728539299999998,0.03628932192,0.03082355855,0.04838465175,0.08189579379999999,0.03703697,0.005409645030000001,0.14606068017983115,0.4728106691335183,176,0.08934010152284264,17,0.008629441624365483,2,0.0010152284263959391
plain_global_rel,val,60468,659,0.015389949408107784,0.012438553315,0.04934147872000002,0.03723590090000001,0.06585309696000001,0.096236988,0.05022141510000003,0.0068332206,0.13606188886541346,0.49631209896143413,162,0.24582701062215478,38,0.057663125948406675,9,0.013657056145675266
plain_global_weighted_mild,train,129720,1970,0.023736406912979513,0.00975096995,0.03605190054600001,0.03088076375000002,0.04837834104000002,0.08958614300000001,0.03703697,0.005933890270000001,0.16021532727974241,0.47490749306197966,168,0.08527918781725888,18,0.009137055837563452,7,0.003553299492385787
plain_global_weighted_mild,val,60468,659,0.027054649941365416,0.01249575055,0.048347814765000004,0.0368457529,0.06389608840000001,0.121877475,0.05022141510000003,0.007469601110000001,0.14873338584997373,0.5040517298405768,160,0.24279210925644917,41,0.0622154779969651,17,0.025796661608497723
plain_global_weighted_mild_tail35_p05,train,129720,1970,0.027217014556832342,0.00981355035,0.035728677334300005,0.03098186075,0.04815640046999998,0.08392882200000001,0.03703697,0.007234433750000001,0.1953300647974173,0.4770582793709528,154,0.07817258883248732,16,0.008121827411167513,3,0.0015228426395939086
plain_global_weighted_mild_tail35_p05,val,60468,659,0.027512996420494762,0.01270864465,0.047887477022000025,0.03707022880000001,0.06313528728000001,0.10515791520000001,0.05022141510000003,0.009637979000000007,0.1919097456893444,0.5043990209697692,161,0.24430955993930198,25,0.03793626707132018,9,0.013657056145675266
plain_global_weighted_mild_tail50_p10,train,129720,1970,0.030667361309420715,0.009800129749999999,0.035559178105,0.030918567500000008,0.04736892,0.092960353,0.03703697,0.007018736600000001,0.18950623120627852,0.47994141227258713,151,0.0766497461928934,14,0.007106598984771574,4,0.0020304568527918783
plain_global_weighted_mild_tail50_p10,val,60468,659,0.02628165801373361,0.0125667584,0.04826406616000001,0.037091777,0.06386031432000003,0.10814067000000001,0.05022141510000003,0.009360086800000009,0.1863764049930167,0.5074419527684064,153,0.2321699544764795,35,0.05311077389984825,14,0.021244309559939303
plain_global_weighted_mild_tail50_p20,train,129720,1970,0.02370432100772235,0.009787126399999999,0.035981413480000016,0.030837296100000005,0.04782401272000002,0.08245264,0.03703697,0.005734704820000001,0.15483731039553184,0.47333487511563366,160,0.08121827411167512,15,0.007614213197969543,2,0.0010152284263959391
plain_global_weighted_mild_tail50_p20,val,60468,659,0.021951063732838505,0.01255697455,0.04861006825000001,0.0370781283,0.06380826680000003,0.10635312699999999,0.05022141510000003,0.007201394600000005,0.14339290491239068,0.4995038698154396,158,0.23975720789074356,37,0.05614567526555387,9,0.013657056145675266
