code,rows,rel_score,base_score,abs_score,error_mean,error_abs_mean,error_q25,error_q75
DPM,303,0.0352192462541675,0.031171362847089767,0.030073530942900106,-0.0005740223568864167,0.015523958019912243,-0.01046392461284995,0.00944078154861927
VHM,305,0.03303055816875855,0.04960569739341736,0.04796719352016225,-0.0024599970784038305,0.02193102426826954,-0.017363516613841057,0.01031658984720707
GEX,304,0.02988022964626169,0.051696239970624454,0.05015154444845394,-0.0009888187050819397,0.02508597820997238,-0.01908717444166541,0.01616037031635642
STB,305,0.025684878860689042,0.030158582143485553,0.029383962614519987,-0.0007690283819101751,0.01577276922762394,-0.010491281747817993,0.0098542720079422
IMP,305,0.025185879054563598,0.02108883550390602,0.020557694643503058,-6.769277388229966e-05,0.011517480947077274,-0.0068689268082380295,0.007842577062547207
VNM,305,0.023059726872173836,0.023084858246147644,0.02255252772010863,0.00024305999977514148,0.012900160625576973,-0.007450703531503677,0.008484856225550175
DGC,301,0.022908969327805728,0.03187250290066003,0.03114233670930841,0.001704854192212224,0.01657167449593544,-0.009450672194361687,0.011620149947702885
HDG,305,0.022440895061808797,0.036079612933099275,0.035269954125396914,0.0005605823243968189,0.019110996276140213,-0.012555133551359177,0.012871136888861656
PC1,304,0.022223310074512725,0.03313929326832295,0.032402828478370796,-0.00020294934802222997,0.017993995919823647,-0.010778677416965365,0.010805830359458923
ACB,305,0.020971625578255604,0.016832778416574004,0.01647976769017987,0.00037625100230798125,0.00998521689325571,-0.006317456718534231,0.005635036621242762
HHV,305,0.020351178877379694,0.0285274500027299,0.027946882764808837,0.00047026490210555494,0.01532667689025402,-0.01032170094549656,0.011796016246080399
PVD,305,0.020004942069194454,0.03785277642309668,0.03709553382359446,-0.0006860032444819808,0.018743665888905525,-0.013759779743850231,0.012020880356431007
CII,305,0.019010637530407215,0.0505282748490572,0.04956770013086498,-0.0003230861038900912,0.02414180152118206,-0.017511259764432907,0.01716632768511772
BID,305,0.01900389709014505,0.023618243448436264,0.02316940478049219,0.00029790529515594244,0.013340634293854237,-0.008084014058113098,0.008512658067047596
NLG,305,0.017115813703136973,0.038927399553358555,0.03826112543465569,0.0014217395801097155,0.019809620454907417,-0.012166816741228104,0.016058120876550674
VCI,303,0.016926394288976354,0.030347976833581924,0.029834295011823997,0.000568699324503541,0.016766609624028206,-0.011373750399798155,0.013144534546881914
KBC,302,0.0168196737342452,0.03271818850189448,0.03216787924611708,8.619344589533284e-05,0.018048791214823723,-0.012935257516801357,0.013120619347319007
VIC,305,0.016116592640396443,0.04984657354652881,0.04904321662615985,-0.0050253188237547874,0.023852430284023285,-0.023494230583310127,0.008761602453887463
VSC,302,0.014894496502022236,0.05398603621870279,0.05318194139108528,-0.0005862765247002244,0.025958988815546036,-0.019466702360659838,0.018852508161216974
SZC,303,0.014575117595688303,0.03161682840436697,0.031156009412370622,0.0012901294976472855,0.01656309887766838,-0.010852343868464231,0.013211722951382399
VRE,297,0.013844992535983258,0.04276643861085176,0.042174337587493935,-0.0001979762309929356,0.02091512829065323,-0.014895455911755562,0.014241664670407772
PTB,306,0.013748561296129225,0.022559767309576272,0.02224960296589415,0.0010892311111092567,0.012897701933979988,-0.00739276735112071,0.008433236507698894
PNJ,305,0.013533471481159687,0.03056191708892584,0.030148308255593295,0.0002097393589792773,0.0158194862306118,-0.010179724544286728,0.011661749333143234
VGC,301,0.012627328248831948,0.03791232798248528,0.037433596572373065,0.00034790023346431553,0.019856121391057968,-0.013633274473249912,0.014591563493013382
VIB,305,0.012567841863641682,0.020126255974173547,0.01987331237178296,0.00042317647603340447,0.011627713218331337,-0.006764291785657406,0.008112302981317043
DCM,305,0.012538804387166369,0.03161794673651458,0.031221495487261577,-0.0004195068613626063,0.01644977740943432,-0.011094300076365471,0.010475807823240757
CMG,305,0.011654316785465246,0.029310844652354718,0.028969246783526616,0.0018234201706945896,0.015903692692518234,-0.009502563625574112,0.012343433685600758
VCB,305,0.011590894823163334,0.019087652117013937,0.018866409148904497,0.0003659588983282447,0.011095484718680382,-0.005716084502637386,0.007890824228525162
LPB,305,0.011241826036636149,0.02716670669615269,0.026861303305486223,-0.000876918260473758,0.015003494918346405,-0.011986266821622849,0.010062014684081078
SBT,300,0.009846168408749856,0.014150250516831877,0.01401092476721715,-0.0014559628907591105,0.0076521411538124084,-0.004007475799880922,0.00351509521715343
PVT,304,0.008347691190141893,0.03161680214107038,0.0313528748403769,0.0005477516679093242,0.01647876389324665,-0.010454444214701653,0.010828066850081086
POW,305,0.007121194968754296,0.028540341742336755,0.028337100404314697,2.8936687158420682e-05,0.015527630224823952,-0.01076269056648016,0.010971814393997192
HDC,305,0.00635609395935266,0.04032134339213371,0.040065057144965985,0.0014041871763765812,0.02019498683512211,-0.012310606427490711,0.01474179420620203
BVH,305,0.00599862369009041,0.03644021172076464,0.03622162060346455,-0.0008313858998008072,0.018575308844447136,-0.01167154312133789,0.01432738546282053
DXG,305,0.005828133551210257,0.037344286590814596,0.03712663910118866,0.0007759938598610461,0.01983015611767769,-0.013304249383509159,0.015556233935058117
KDH,304,0.0057259950496468814,0.0305787247605622,0.03040363113395871,0.0014774349983781576,0.01628623530268669,-0.0075183105655014515,0.01213971502147615
FRT,305,0.005232834510495388,0.029818470776081085,0.02966243565315381,0.0005942923598922789,0.016365693882107735,-0.010602141730487347,0.0124943433329463
CTG,305,0.004594549792556024,0.02396992389112711,0.023859792882285548,-0.0004672179347835481,0.01264217309653759,-0.009295028634369373,0.008019153960049152
MWG,304,0.004142648745388722,0.026929294597357527,0.02681773598887958,0.0001673242513788864,0.01481560803949833,-0.00951667851768434,0.009487268282100558
VIX,305,0.0037030175046840474,0.05131897628307343,0.05112894121557474,-0.0005610387888737023,0.025095470249652863,-0.017881203442811966,0.01872098818421364
HAG,305,0.0036768622852973998,0.03396918326616288,0.03384428325734917,5.7181812735507265e-05,0.01726483553647995,-0.01088319718837738,0.012178108096122742
TCB,305,0.0036286605127781035,0.02647665161639452,0.026380576836163527,-0.0002639160375110805,0.014324535615742207,-0.009672451764345169,0.010041899047791958
SIP,302,0.0036051991855072796,0.030473925266414882,0.030364060695865194,0.000463951553683728,0.016851920634508133,-0.012303604977205396,0.012517997762188315
BWE,305,0.0029910250917463133,0.017446625977754593,0.017394442681688816,-1.6761949154897593e-05,0.00981975719332695,-0.006980253383517265,0.007262963801622391
GMD,303,0.002855493175854984,0.03052220679819584,0.030435050844971556,-0.00018579057359602302,0.01667015813291073,-0.00890653533861041,0.011714338324964046
PAN,306,0.0027705272880493848,0.029474984016269443,0.02939332276873755,-0.00043275230564177036,0.015258953906595707,-0.010443753097206354,0.009550427785143256
BCM,302,0.002719890040953965,0.029966325871646427,0.029884820760344155,0.0009651363943703473,0.015361209399998188,-0.010133842937648296,0.011016142088919878
SCS,305,0.0024013897570361875,0.020686283521354206,0.02063660769199488,0.0012875107349827886,0.011300753802061081,-0.005627339240163565,0.00888738315552473
HDB,305,0.0020720943194529884,0.029572949372231965,0.02951167143182829,0.00011466531577752903,0.015571675263345242,-0.009901933372020721,0.009994330815970898
KOS,276,0.0019806401494875114,0.004480730299837888,0.004471855585507003,-0.00010769312939373776,0.0031313521321862936,-0.0016693592770025134,0.0003274270857218653
HSG,305,0.001739468929433552,0.02713307142257691,0.027085874287877235,0.0011016034986823797,0.015666723251342773,-0.008799898438155651,0.011855386197566986
MBB,304,0.0009393023882959817,0.022828602511435758,0.022807159550575308,-0.0006337878294289112,0.013053402304649353,-0.009392758598551154,0.008790828986093402
FPT,305,0.0008549412708689363,0.02624999973922968,0.026227557531092315,0.0022099842317402363,0.014935136772692204,-0.008482609875500202,0.013809729367494583
TPB,305,0.0007970922553992565,0.027890984527766706,0.027868752840004164,0.0005101620918139815,0.015260765329003334,-0.00997371319681406,0.011921103112399578
TLG,305,0.0004128848736494328,0.027469157800078393,0.027457816200330852,0.0009173723519779742,0.014967621304094791,-0.009306610561907291,0.011136301793158054
EIB,305,0.0001291808937965433,0.035178758203983314,0.03517421378055587,0.00033103482564911246,0.018795670941472054,-0.01310943253338337,0.014370224438607693
BMP,306,-0.00036100507819192273,0.029004082456231116,0.02901455307728611,0.00014334004663396627,0.015551308169960976,-0.009452468249946833,0.011400888208299875
DBC,305,-0.0008293927983313854,0.027311462536454206,0.02733411446679384,0.0009240356739610434,0.015695631504058838,-0.010583123192191124,0.011567576788365841
VPI,306,-0.001132123749224112,0.025256581977009772,0.02528517555329017,0.00031549937557429075,0.01328870840370655,-0.009979755617678165,0.010774526977911592
HPG,305,-0.0018111512796152862,0.02300521712750197,0.02304688305594027,0.00018556405848357826,0.01318832766264677,-0.009261569939553738,0.009108300320804119
VCG,305,-0.0020175738900534146,0.03058337476104498,0.030645078979432586,-0.00026772706769406796,0.016383469104766846,-0.01183844543993473,0.010847517289221287
BSI,305,-0.0027623711403148565,0.03238538336008787,0.03247484380844981,0.0011109717888757586,0.017328523099422455,-0.010898171924054623,0.013252317905426025
PLX,305,-0.0037756616353881167,0.03384528812021019,0.03397307647610433,9.514950943412259e-05,0.016993531957268715,-0.008477834984660149,0.010736233554780483
CTD,305,-0.0038370985776952082,0.03493291642516852,0.03506695746909828,9.618011972634122e-05,0.018460938706994057,-0.012940390035510063,0.014144768938422203
SJS,301,-0.004065115276624898,0.036034877039492125,0.036181362968636666,-0.0002459375828038901,0.018809273838996887,-0.010655072517693043,0.01234741136431694
CTS,305,-0.004428734865269401,0.03482940681278705,0.0349836570210755,0.00047321367310360074,0.019191818311810493,-0.012629732489585876,0.013428160920739174
REE,305,-0.0052616635106386145,0.019815069437026978,0.019919329664844554,-0.0003061456372961402,0.01175085362046957,-0.008032028563320637,0.008685236796736717
NKG,305,-0.006320733379570953,0.03150642570108175,0.03170556941768155,0.0007146784337237477,0.016915256157517433,-0.01182340458035469,0.013157166540622711
PHR,303,-0.007158728113719315,0.03421734645962715,0.034462299139704555,-0.00020784926891792566,0.01789485663175583,-0.01384024927392602,0.01274240156635642
DGW,305,-0.007431725576601211,0.03622568491846323,0.03649490426760167,0.00044779523159377277,0.019546767696738243,-0.012984381057322025,0.015604618936777115
EVF,305,-0.010311354903296044,0.03924257829785348,0.03964722245000303,-0.0003571109555196017,0.020676542073488235,-0.016119472682476044,0.013235327787697315
KDC,306,-0.01048293222201191,0.01159573586191982,0.011717293175024677,0.0004910941352136433,0.006546685937792063,-0.002257609856314957,0.004584689857438207
FTS,305,-0.011063162539640459,0.03240511696785689,0.03276362004398835,0.0016575288027524948,0.017240114510059357,-0.010651896707713604,0.013367965817451477
SSI,305,-0.01290578249417651,0.03000614233314991,0.030393395079590848,0.0003856579714920372,0.017157278954982758,-0.010990690439939499,0.013087863102555275
VPB,305,-0.014043730209898353,0.030820959992706787,0.03125380123965443,-0.0005710611585527658,0.017166055738925934,-0.009963858872652054,0.01123388484120369
GAS,305,-0.014543263049588306,0.03264410290867091,0.033118854684289545,0.00018906693730968982,0.016509070992469788,-0.010387236252427101,0.008478377014398575
HCM,303,-0.014745555385944575,0.02881520241498947,0.029240098578156903,0.0012603361392393708,0.01654687337577343,-0.01049984386190772,0.012360954191535711
MSN,305,-0.014954803114407111,0.025249765999615197,0.025627371278824293,0.00030375554342754185,0.014119204133749008,-0.010635956190526485,0.009863991290330887
CTR,303,-0.015246761638030737,0.030581237748265266,0.031047502590809017,0.0012351404875516891,0.01600983552634716,-0.008148365654051304,0.013362674042582512
