window,label,date_start,date_end,raw_row_count,aligned_row_count,code_count,rel_score,directional_accuracy,error_q2,error_q8,error_mean,error_std,proxy_mean,proxy_median,proxy_positive_share,proxy_hard_left_share,package_name,model_name,roles
train,Train,2013-01-28,2020-03-31,5942,5934,4,0.002144827674024019,0.42197505898213683,-0.01101685962,0.009354081828,-0.0011956388051501008,0.0179293942933242,0.5631780524562188,0.6377952487720686,0.9132119986518369,0.0,best_committee_fnb_20260408_235445,committee_best_by_val,current_best_vn100_cluster
in_sample,In-sample,2020-04-01,2022-11-15,2634,2626,4,-0.01646673268032406,0.46153846153846156,-0.012128397800000001,0.00914524496,-0.0019194985885820637,0.02038450910984652,0.5692768584120905,0.6815436797723884,0.8933739527798934,0.0,best_committee_fnb_20260408_235445,committee_best_by_val,current_best_vn100_cluster
train,Train,2013-01-28,2020-03-31,2406,2400,3,0.010327817676032192,0.435,-0.00931292297,0.010392140584,0.0006400280449312082,0.017839235075230924,0.5683460526989982,0.653432741804792,0.9104166666666667,0.0,best_vin_cluster_lstm_attention_20260417,lstm_attention,"current_best_overall,current_best_vn30_cluster"
in_sample,In-sample,2020-04-01,2022-11-15,1977,1971,3,-0.02410376424287164,0.4520547945205479,-0.0109995415,0.014839082299999999,0.001832771937750127,0.020810253871485655,0.5375342284665794,0.6092435469963874,0.9117199391171994,0.0005073566717402334,best_vin_cluster_lstm_attention_20260417,lstm_attention,"current_best_overall,current_best_vn30_cluster"
train,Train,2012-05-10,2020-03-31,36324,36268,28,0.0018514616680398444,0.43443255762655786,-0.012001892712999998,0.011750670210000005,-0.00027680513695430367,0.01973701944313084,0.5603512470313571,0.6418487703482418,0.9223006507113709,0.0,best_vn30_broad_lstm_signmag_seed_52_20260412,lstm_signmag_seed_52,current_best_vn30_broad
in_sample,In-sample,2020-04-01,2022-11-15,18706,18648,29,0.0022708862043919753,0.4839124839124839,-0.015592720455999999,0.01344809346,-0.0006427982487501229,0.023522326182487275,0.5591524438943944,0.6442661826794307,0.9233161733161733,0.0,best_vn30_broad_lstm_signmag_seed_52_20260412,lstm_signmag_seed_52,current_best_vn30_broad
