window,label,date_start,date_end,raw_row_count,aligned_row_count,code_count,rel_score,directional_accuracy,error_q2,error_q8,error_mean,error_std,proxy_mean,proxy_median,proxy_positive_share,proxy_hard_left_share,package_name,model_name,roles
train,Train,2013-01-28,2020-03-31,2406,2400,3,0.010327817676032192,0.435,-0.00931292297,0.010392140584,0.0006400280449312082,0.017839235075230924,0.5683460526989982,0.653432741804792,0.9104166666666667,0.0,best_vin_cluster_lstm_attention_20260417,lstm_attention,"current_best_overall,current_best_vn30_cluster"
in_sample,In-sample,2020-04-01,2022-11-15,1977,1971,3,-0.02410376424287164,0.4520547945205479,-0.0109995415,0.014839082299999999,0.001832771937750127,0.020810253871485655,0.5375342284665794,0.6092435469963874,0.9117199391171994,0.0005073566717402334,best_vin_cluster_lstm_attention_20260417,lstm_attention,"current_best_overall,current_best_vn30_cluster"
