experiment,split,baseline_mae,baseline_rmse,baseline_directional_accuracy,baseline_thresholded_directional_accuracy,lstm_mae,lstm_rmse,lstm_directional_accuracy,lstm_thresholded_directional_accuracy
return_window20_units32,train,0.016500722616910934,0.02451438456773758,0.43026498677307984,0.49899325398763683,0.016630344092845917,0.024515345692634583,0.4306416177195893,0.49943828456992134
return_window20_units32,val,0.012592416256666183,0.01836469955742359,0.44390107586977784,0.49067768225968517,0.012685457244515419,0.018430130556225777,0.4435750547249779,0.49023110416434074
return_window20_units32,test,0.016901684924960136,0.02443697117269039,0.46069055574759,0.49635198861108637,0.01695290580391884,0.024447403848171234,0.4588470253869493,0.4954177417919744
return_window30_units64,train,0.016491321846842766,0.024507826194167137,0.4303827104907699,0.49902728506269517,0.016481300815939903,0.024498295038938522,0.4311661413777578,0.5003351370792395
return_window30_units64,val,0.01266894768923521,0.018459836021065712,0.43955990458108174,0.4858292512246326,0.012632717378437519,0.018480883911252022,0.4513899031205881,0.49655936552367624
return_window30_units64,test,0.0171529408544302,0.024717355147004128,0.4589954992631537,0.49431111520567506,0.017130093649029732,0.024717146530747414,0.46660293941928543,0.5052282463494403
return_window40_units64,train,0.016470348462462425,0.024481063708662987,0.4306325451010535,0.49925033379298267,0.016504187136888504,0.024471567943692207,0.43145544151557624,0.5003502090310153
return_window40_units64,val,0.01265577133744955,0.01844741217792034,0.4366427005252154,0.4827333292586028,0.012643381953239441,0.01846056617796421,0.43837642139615524,0.4831611759672392
return_window40_units64,test,0.017439311370253563,0.025041433051228523,0.45994126649294786,0.49472931075602194,0.017419567331671715,0.02503233589231968,0.46304338834429415,0.4996422609110422
return_window25_units64,train,0.01649448648095131,0.024508928880095482,0.4304450385280705,0.49915165753067087,0.01647208444774151,0.02450336515903473,0.42991934940354504,0.4986731053684852
return_window25_units64,val,0.012607617303729057,0.018387140706181526,0.4426354374940493,0.4893871961656967,0.012567926198244095,0.01839793100953102,0.4459678187184614,0.4915554034006619
return_window25_units64,test,0.01702832616865635,0.02458382397890091,0.461598623494447,0.49714828897338403,0.017024213448166847,0.024614542722702026,0.4582355701548569,0.4963335143943509
return_window30_units96,train,0.016491321846842766,0.024507826194167137,0.4303827104907699,0.49902728506269517,0.016481781378388405,0.024497967213392258,0.43224223322827554,0.5013432730086591
return_window30_units96,val,0.01266894768923521,0.018459836021065712,0.43955990458108174,0.4858292512246326,0.012630323879420757,0.018476620316505432,0.44949126137967965,0.4943433636575694
return_window30_units96,test,0.0171529408544302,0.024717355147004128,0.4589954992631537,0.49431111520567506,0.01712873764336109,0.024716462939977646,0.4670410642450313,0.5056888847943249
return_window30_units64_dropout20,train,0.016491321846842766,0.024507826194167137,0.4303827104907699,0.49902728506269517,0.016481874510645866,0.02449897862970829,0.4315398469158037,0.5006185050161575
return_window30_units64_dropout20,val,0.01266894768923521,0.018459836021065712,0.43955990458108174,0.4858292512246326,0.0126271340996027,0.018477242439985275,0.4520227837008909,0.4967343130394215
return_window30_units64_dropout20,test,0.0171529408544302,0.024717355147004128,0.4589954992631537,0.49431111520567506,0.017122235149145126,0.024711938574910164,0.46811646154458914,0.5069326085955134
return_window35_units64_lr3e4,train,0.01648472435772419,0.024502042680978775,0.4302569540009475,0.49882872011052076,0.016436293721199036,0.02448866330087185,0.4329009407358946,0.5020613433952373
return_window35_units64_lr3e4,val,0.012635895982384682,0.0184303130954504,0.4409742976688583,0.48752089801767373,0.012633985839784145,0.018470121547579765,0.43938035465232117,0.4829830427513733
return_window35_units64_lr3e4,test,0.017311250790953636,0.024886948987841606,0.458972485999513,0.4938427681790514,0.017278997227549553,0.024872997775673866,0.4658712766820875,0.5022709182001217
