variant,selection_mode,seeds,policies,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean
baseline_stressaux_w20,raw_or_baseline,3,raw,0.024767544102766836,0.04857292761966667,0.036904838485666634,0.06393347929053333,0.09442062846666666,363.3333333333333,166.66666666666666,29.0,7.666666666666667
dist_scale_global,balanced,3,"balanced:daily_scale_x25_lo50_hi125, balanced:raw",0.0263148545629064,0.04839979979442427,0.037002174028505835,0.0637170707737095,0.09636343351254857,366.0,166.0,30.0,8.666666666666666
dist_scale_global,raw_or_baseline,3,raw,0.024767563900024835,0.04857292707116959,0.036904838642415866,0.06393347864272066,0.09442062899470327,363.3333333333333,166.66666666666666,29.0,7.666666666666667
dist_scale_global,stability,3,"stability:tail_shrink_s50_m50, stability:tail_shrink_s50_m80",0.018108792289380667,0.04918847598918077,0.03691515617083007,0.06461819233657244,0.08611094220079434,363.0,169.0,27.0,4.0
