seed,variant,policy,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_7,days_ge_8,prediction_abs_q90,actual_abs_q90,selected_on,objective,params_json
43,baseline_stressaux_w20,raw,60468,659,0.021675736349096586,0.012481888899999998,0.048780993359000005,0.0368558094,0.064335336224,0.09423149110000001,370,167,30,8,0.0082482408,0.05022141510000003,none,,
52,baseline_stressaux_w20,raw,60468,659,0.032999492557967414,0.012466492999999999,0.04795821560000001,0.03698230809300001,0.0637151253148,0.0962374504,363,166,29,12,0.008587691100000003,0.05022141510000003,none,,
71,baseline_stressaux_w20,raw,60468,659,0.019627403401236698,0.012459798925,0.04897957390000002,0.036876397963999996,0.06374997633280001,0.09279294390000001,357,167,28,3,0.008171266800000002,0.05022141510000003,none,,
43,dist_scale_global,raw,43433,493,0.03000958258899522,0.0092138247564435,0.03418777470942588,0.028115291649010034,0.045601016627624634,0.08835783600807191,132,42,6,1,0.006435027066618204,0.03524082228541377,,-0.18685079498813828,{}
43,dist_scale_global,tail_shrink_s10_m50,43433,493,0.029819250807713193,0.009205075300551785,0.034215597833939036,0.02819708253231363,0.04578581594948887,0.0879342307997065,136,44,6,1,0.006104383934309377,0.03524082228541377,,-0.19307951986571548,"{""min_scale"": 0.5, ""shrink"": 0.1}"
43,dist_scale_global,tail_shrink_s10_m65,43433,493,0.029819250807713193,0.009205075300551785,0.034215597833939036,0.02819708253231363,0.04578581594948887,0.0879342307997065,136,44,6,1,0.006104383934309377,0.03524082228541377,,-0.19307951986571548,"{""min_scale"": 0.65, ""shrink"": 0.1}"
43,dist_scale_global,tail_shrink_s10_m80,43433,493,0.029819250807713193,0.009205075300551785,0.034215597833939036,0.02819708253231363,0.04578581594948887,0.0879342307997065,136,44,6,1,0.006104383934309377,0.03524082228541377,,-0.19307951986571548,"{""min_scale"": 0.8, ""shrink"": 0.1}"
43,dist_scale_global,tail_shrink_s20_m50,43433,493,0.028645451805625943,0.009218706188421445,0.03425200672064955,0.028095053907821646,0.04600027555763555,0.08751062559134108,135,44,6,1,0.005748407761941268,0.03524082228541377,,-0.19436586267980402,"{""min_scale"": 0.5, ""shrink"": 0.2}"
43,dist_scale_global,tail_shrink_s20_m65,43433,493,0.028645451805625943,0.009218706188421445,0.03425200672064955,0.028095053907821646,0.04600027555763555,0.08751062559134108,135,44,6,1,0.005748407761941268,0.03524082228541377,,-0.19436586267980402,"{""min_scale"": 0.65, ""shrink"": 0.2}"
43,dist_scale_global,tail_shrink_s20_m80,43433,493,0.028645451805625943,0.009218706188421445,0.03425200672064955,0.028095053907821646,0.04600027555763555,0.08751062559134108,135,44,6,1,0.005748407761941268,0.03524082228541377,,-0.19436586267980402,"{""min_scale"": 0.8, ""shrink"": 0.2}"
43,dist_scale_global,tail_shrink_s30_m50,43433,493,0.027210545976670053,0.009222658669805785,0.03432193570093269,0.028153629968187238,0.04603025351331084,0.08708702038297567,137,44,6,1,0.005417949084148857,0.03524082228541377,,-0.19545210818958272,"{""min_scale"": 0.5, ""shrink"": 0.3}"
43,dist_scale_global,tail_shrink_s30_m65,43433,493,0.027210545976670053,0.009222658669805785,0.03432193570093269,0.028153629968187238,0.04603025351331084,0.08708702038297567,137,44,6,1,0.005417949084148857,0.03524082228541377,,-0.19545210818958272,"{""min_scale"": 0.65, ""shrink"": 0.3}"
43,dist_scale_global,tail_shrink_s30_m80,43433,493,0.02767020309256296,0.009222962477277694,0.03429639479415898,0.028091302585909417,0.04603025351331084,0.08708702038297567,137,44,6,1,0.005552807098814518,0.03524082228541377,,-0.19499245107368982,"{""min_scale"": 0.8, ""shrink"": 0.3}"
43,dist_scale_global,tail_shrink_s40_m50,43433,493,0.027396962611648368,0.00921299495326637,0.03433115129150729,0.028191119165850022,0.04618593883189567,0.08666341517461025,137,44,6,1,0.0050934084777890356,0.03524082228541377,,-0.19523129964270106,"{""min_scale"": 0.5, ""shrink"": 0.4}"
43,dist_scale_global,tail_shrink_s40_m65,43433,493,0.027411210381718232,0.009212608530651778,0.03433115129150729,0.02815729717726491,0.04621864327333637,0.08666341517461025,136,44,6,1,0.0051171211289850575,0.03524082228541377,,-0.19529881297623294,"{""min_scale"": 0.65, ""shrink"": 0.4}"
43,dist_scale_global,tail_shrink_s40_m80,43433,493,0.028024779393140076,0.009217204664618516,0.03428867705166342,0.02814161788410693,0.04607174902885922,0.08666341517461025,135,44,6,1,0.0054673591542235,0.03524082228541377,,-0.19431800835361823,"{""min_scale"": 0.8, ""shrink"": 0.4}"
43,dist_scale_global,tail_shrink_s50_m50,43433,493,0.02717854768213357,0.009216439677332688,0.03433610937708903,0.028034867125964754,0.046466144210341266,0.08623980996624483,136,44,6,1,0.0047721437396196,0.03524082228541377,,-0.19572662280996445,"{""min_scale"": 0.5, ""shrink"": 0.5}"
43,dist_scale_global,tail_shrink_s50_m65,43433,493,0.027576106961490043,0.009211137500824407,0.034325148826204084,0.028015387216582893,0.046295009673984415,0.08623980996624483,136,44,6,1,0.00493676841461744,0.03524082228541377,,-0.19490122718971584,"{""min_scale"": 0.65, ""shrink"": 0.5}"
43,dist_scale_global,tail_shrink_s50_m80,43433,493,0.0278851250421861,0.009218898229300975,0.03429286522694898,0.028034867125964754,0.04605182908628779,0.08623980996624483,135,44,6,1,0.005413665377141864,0.03524082228541377,,-0.19398425763977822,"{""min_scale"": 0.8, ""shrink"": 0.5}"
43,dist_scale_global,daily_scale_x25_lo50_hi125,43433,493,0.02647835960844125,0.00928463642776478,0.03423769634682688,0.02850199412350776,0.0454218433238566,0.09355024453252556,134,41,7,2,0.008043783833272755,0.03524082228541377,,-0.1981264932337258,"{""max_scale"": 1.25, ""min_scale"": 0.5, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x25_lo50_hi150,43433,493,0.02073618179948078,0.009419920526852366,0.0342786024848465,0.0288098752789665,0.04620275272987784,0.0987426530569792,132,41,7,2,0.009652540599927307,0.03524082228541377,,-0.21101335308219302,"{""max_scale"": 1.5, ""min_scale"": 0.5, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x25_lo50_hi200,43433,493,-0.004646630490838355,0.009816579520702362,0.03486213050782683,0.029296308476477864,0.048068229835480446,0.10912747010588648,141,43,9,2,0.012870054133236409,0.03524082228541377,,-0.269444675185426,"{""max_scale"": 2.0, ""min_scale"": 0.5, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x25_lo75_hi125,43433,493,0.02647835960844125,0.00928463642776478,0.03423769634682688,0.02850199412350776,0.0454218433238566,0.09355024453252556,134,41,7,2,0.008043783833272755,0.03524082228541377,,-0.1981264932337258,"{""max_scale"": 1.25, ""min_scale"": 0.75, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x25_lo75_hi150,43433,493,0.02073618179948078,0.009419920526852366,0.0342786024848465,0.0288098752789665,0.04620275272987784,0.0987426530569792,132,41,7,2,0.009652540599927307,0.03524082228541377,,-0.21101335308219302,"{""max_scale"": 1.5, ""min_scale"": 0.75, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x25_lo75_hi200,43433,493,-0.004646630490838355,0.009816579520702362,0.03486213050782683,0.029296308476477864,0.048068229835480446,0.10912747010588648,141,43,9,2,0.012870054133236409,0.03524082228541377,,-0.269444675185426,"{""max_scale"": 2.0, ""min_scale"": 0.75, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x25_lo100_hi125,43433,493,0.02647835960844125,0.00928463642776478,0.03423769634682688,0.02850199412350776,0.0454218433238566,0.09355024453252556,134,41,7,2,0.008043783833272755,0.03524082228541377,,-0.1981264932337258,"{""max_scale"": 1.25, ""min_scale"": 1.0, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x25_lo100_hi150,43433,493,0.02073618179948078,0.009419920526852366,0.0342786024848465,0.0288098752789665,0.04620275272987784,0.0987426530569792,132,41,7,2,0.009652540599927307,0.03524082228541377,,-0.21101335308219302,"{""max_scale"": 1.5, ""min_scale"": 1.0, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x25_lo100_hi200,43433,493,-0.004646630490838355,0.009816579520702362,0.03486213050782683,0.029296308476477864,0.048068229835480446,0.10912747010588648,141,43,9,2,0.012870054133236409,0.03524082228541377,,-0.269444675185426,"{""max_scale"": 2.0, ""min_scale"": 1.0, ""multiplier"": 0.25}"
43,dist_scale_global,daily_scale_x35_lo50_hi125,43433,493,0.02647835960844125,0.00928463642776478,0.03423769634682688,0.02850199412350776,0.0454218433238566,0.09355024453252556,134,41,7,2,0.008043783833272755,0.03524082228541377,,-0.1981264932337258,"{""max_scale"": 1.25, ""min_scale"": 0.5, ""multiplier"": 0.35}"
43,dist_scale_global,daily_scale_x35_lo50_hi150,43433,493,0.02073618179948078,0.009419920526852366,0.0342786024848465,0.0288098752789665,0.04620275272987784,0.0987426530569792,132,41,7,2,0.009652540599927307,0.03524082228541377,,-0.21101335308219302,"{""max_scale"": 1.5, ""min_scale"": 0.5, ""multiplier"": 0.35}"
43,dist_scale_global,daily_scale_x35_lo50_hi200,43433,493,-0.004646630490838355,0.009816579520702362,0.03486213050782683,0.029296308476477864,0.048068229835480446,0.10912747010588648,141,43,9,2,0.012870054133236409,0.03524082228541377,,-0.269444675185426,"{""max_scale"": 2.0, ""min_scale"": 0.5, ""multiplier"": 0.35}"
43,dist_scale_global,daily_scale_x35_lo75_hi125,43433,493,0.02647835960844125,0.00928463642776478,0.03423769634682688,0.02850199412350776,0.0454218433238566,0.09355024453252556,134,41,7,2,0.008043783833272755,0.03524082228541377,,-0.1981264932337258,"{""max_scale"": 1.25, ""min_scale"": 0.75, ""multiplier"": 0.35}"
43,dist_scale_global,daily_scale_x35_lo75_hi150,43433,493,0.02073618179948078,0.009419920526852366,0.0342786024848465,0.0288098752789665,0.04620275272987784,0.0987426530569792,132,41,7,2,0.009652540599927307,0.03524082228541377,,-0.21101335308219302,"{""max_scale"": 1.5, ""min_scale"": 0.75, ""multiplier"": 0.35}"
43,dist_scale_global,daily_scale_x35_lo75_hi200,43433,493,-0.004646630490838355,0.009816579520702362,0.03486213050782683,0.029296308476477864,0.048068229835480446,0.10912747010588648,141,43,9,2,0.012870054133236409,0.03524082228541377,,-0.269444675185426,"{""max_scale"": 2.0, ""min_scale"": 0.75, ""multiplier"": 0.35}"
