variant,policy,seeds,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean,prediction_abs_q90_mean,actual_abs_q90_mean
baseline_stressaux_w20,raw,3,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667,0.008335732900000002,0.05022141510000003
dist_scale_global,balanced:daily_scale_x25_lo50_hi125,1,0.024269288634545805,0.04846019156393595,0.037168404192198065,0.06310075275134294,0.09862135741859676,365.0,165.0,31.0,6.0,0.010214083129540088,0.05022141486406329
dist_scale_global,balanced:raw,2,0.027337637527086733,0.04836960390966852,0.0369190589466598,0.06402522978489288,0.09523447155952454,366.5,166.5,29.5,10.0,0.008417966077104213,0.05022141486406329
dist_scale_global,raw,3,0.02476756390002488,0.04857292707116965,0.0369048386424159,0.06393347864272074,0.09442062899470331,363.3333333333333,166.66666666666666,29.0,7.666666666666667,0.008335732885946832,0.05022141486406329
dist_scale_global,stability:tail_shrink_s50_m50,2,0.017233300597484347,0.04926695526594435,0.036887630755238196,0.06461025823148084,0.08258151934034691,360.0,169.5,26.5,3.5,0.005883909297311696,0.05022141486406329
dist_scale_global,stability:tail_shrink_s50_m80,1,0.01985977567317343,0.04903151743565371,0.03697020700201393,0.0646340605467558,0.0931697879216892,369.0,168.0,28.0,5.0,0.006895789932297919,0.05022141486406329
