Date,strategy_return,equity
2025-01-02,0.0,1.0
2025-01-03,-0.03187254,0.96812746
2025-01-06,0.0,0.96812746
2025-01-07,0.012345736,0.9800797060355108
2025-01-08,0.024390267,1.0039841117469983
2025-01-09,0.021428531,1.0254980164090763
2025-01-10,0.0,1.0254980164090763
2025-01-13,0.0,1.0254980164090763
2025-01-14,0.0,1.0254980164090763
2025-01-15,0.0,1.0254980164090763
2025-01-16,0.0,1.0254980164090763
2025-01-17,0.0,1.0254980164090763
2025-01-20,0.0,1.0254980164090763
2025-01-21,0.004201681,1.02980683194016
2025-01-22,0.0,1.02980683194016
2025-01-23,0.0,1.02980683194016
2025-01-24,0.0,1.02980683194016
2025-02-03,0.0,1.02980683194016
2025-02-04,0.0,1.02980683194016
2025-02-05,0.0,1.02980683194016
2025-02-06,0.0,1.02980683194016
2025-02-07,0.0,1.02980683194016
2025-02-10,0.0,1.02980683194016
2025-02-11,0.0,1.02980683194016
2025-02-12,0.0,1.02980683194016
2025-02-13,0.0,1.02980683194016
2025-02-14,0.0,1.02980683194016
2025-02-17,0.0,1.02980683194016
2025-02-18,0.0,1.02980683194016
2025-02-19,0.0,1.02980683194016
2025-02-20,0.0,1.02980683194016
2025-02-21,0.0,1.02980683194016
2025-02-24,0.0,1.02980683194016
2025-02-25,0.0,1.02980683194016
2025-02-26,0.0,1.02980683194016
2025-02-27,0.0,1.02980683194016
2025-02-28,0.0,1.02980683194016
2025-03-03,0.0,1.02980683194016
2025-03-04,0.0,1.02980683194016
2025-03-05,0.0,1.02980683194016
2025-03-06,0.0,1.02980683194016
2025-03-07,0.0,1.02980683194016
2025-03-10,0.0,1.02980683194016
2025-03-11,0.0,1.02980683194016
2025-03-12,0.0,1.02980683194016
2025-03-13,0.0,1.02980683194016
2025-03-14,0.0,1.02980683194016
2025-03-17,0.0033112583,1.0332167883598184
2025-03-18,-0.0066006603,1.0263968753235984
2025-03-19,0.0,1.0263968753235984
2025-03-20,0.0,1.0263968753235984
2025-03-21,0.0,1.0263968753235984
2025-03-24,0.0,1.0263968753235984
2025-03-25,-0.0033444816,1.022964109859781
2025-03-26,-0.0033557047,1.0195313443883933
2025-03-27,0.0,1.0195313443883933
2025-03-28,0.0,1.0195313443883933
2025-03-31,0.016835017,1.0366951719032047
2025-04-01,0.0033112583,1.040127937395739
2025-04-02,0.0,1.040127937395739
2025-04-03,0.0,1.040127937395739
2025-04-04,0.0,1.040127937395739
2025-04-08,0.0,1.040127937395739
2025-04-09,0.0,1.040127937395739
2025-04-10,0.018537715833333333,1.0594095335294924
2025-04-11,0.00041448966666666684,1.0598486478339086
2025-04-14,0.009463723,1.0698787618589334
2025-04-15,-0.003125,1.066535390728124
2025-04-16,0.0,1.066535390728124
2025-04-17,0.0,1.066535390728124
2025-04-18,0.002967359,1.0697001841186196
2025-04-21,0.0,1.0697001841186196
2025-04-22,0.0,1.0697001841186196
2025-04-23,0.0,1.0697001841186196
2025-04-24,0.0,1.0697001841186196
2025-04-25,0.0,1.0697001841186196
2025-04-28,0.0029498525,1.0728556418809923
2025-04-29,0.0,1.0728556418809923
2025-05-05,0.0,1.0728556418809923
2025-05-06,0.0,1.0728556418809923
2025-05-07,0.0,1.0728556418809923
2025-05-08,0.0,1.0728556418809923
2025-05-09,0.0,1.0728556418809923
2025-05-12,0.0,1.0728556418809923
2025-05-13,0.0,1.0728556418809923
2025-05-14,0.0,1.0728556418809923
2025-05-15,0.0,1.0728556418809923
2025-05-16,0.0,1.0728556418809923
2025-05-19,0.0,1.0728556418809923
2025-05-20,0.0,1.0728556418809923
2025-05-21,-0.008333334,1.0639151774834135
2025-05-22,0.005602241,1.0698754867112334
2025-05-23,0.0,1.0698754867112334
2025-05-26,0.0,1.0698754867112334
2025-05-27,0.0,1.0698754867112334
2025-05-28,0.0,1.0698754867112334
2025-05-29,0.0,1.0698754867112334
2025-05-30,0.0027472528,1.0728147051377523
2025-06-02,0.0,1.0728147051377523
2025-06-03,0.0,1.0728147051377523
2025-06-04,0.0,1.0728147051377523
2025-06-05,0.0,1.0728147051377523
2025-06-06,0.0,1.0728147051377523
2025-06-09,0.0,1.0728147051377523
2025-06-10,0.0,1.0728147051377523
2025-06-11,0.0,1.0728147051377523
2025-06-12,0.0,1.0728147051377523
2025-06-13,0.0,1.0728147051377523
2025-06-16,0.0,1.0728147051377523
2025-06-17,0.0,1.0728147051377523
2025-06-18,0.0,1.0728147051377523
2025-06-19,0.0,1.0728147051377523
2025-06-20,0.0,1.0728147051377523
2025-06-23,0.0,1.0728147051377523
2025-06-24,0.0,1.0728147051377523
2025-06-25,0.0,1.0728147051377523
2025-06-26,0.0,1.0728147051377523
2025-06-27,0.0,1.0728147051377523
2025-06-30,0.0,1.0728147051377523
2025-07-01,0.0,1.0728147051377523
2025-07-02,0.0,1.0728147051377523
2025-07-03,0.0,1.0728147051377523
2025-07-04,0.0,1.0728147051377523
2025-07-07,0.0,1.0728147051377523
2025-07-08,0.0,1.0728147051377523
2025-07-09,0.0,1.0728147051377523
2025-07-10,0.0,1.0728147051377523
2025-07-11,0.0,1.0728147051377523
2025-07-14,0.0,1.0728147051377523
2025-07-15,0.0,1.0728147051377523
2025-07-16,0.0,1.0728147051377523
2025-07-17,0.0,1.0728147051377523
2025-07-18,0.0,1.0728147051377523
2025-07-21,0.0,1.0728147051377523
2025-07-22,0.0,1.0728147051377523
2025-07-23,0.0,1.0728147051377523
2025-07-24,0.0,1.0728147051377523
2025-07-25,0.0,1.0728147051377523
2025-07-28,0.0,1.0728147051377523
2025-07-29,0.0,1.0728147051377523
2025-07-30,0.0,1.0728147051377523
2025-07-31,0.0,1.0728147051377523
2025-08-01,0.0,1.0728147051377523
2025-08-04,0.0,1.0728147051377523
2025-08-05,0.0,1.0728147051377523
2025-08-06,0.008281574,1.0816992995066388
2025-08-07,0.024640657,1.108353080922922
2025-08-08,0.0,1.108353080922922
2025-08-11,0.0,1.108353080922922
2025-08-12,0.0,1.108353080922922
2025-08-13,0.0,1.108353080922922
2025-08-14,0.0,1.108353080922922
2025-08-15,0.0,1.108353080922922
2025-08-18,0.0,1.108353080922922
2025-08-19,0.0,1.108353080922922
2025-08-20,0.0,1.108353080922922
2025-08-21,0.0,1.108353080922922
2025-08-22,0.0,1.108353080922922
2025-08-25,0.0053302852500000004,1.1142609190019575
2025-08-26,0.0051929790666666665,1.1200472526291394
2025-08-27,-0.006216869,1.1130840655857341
2025-08-28,0.0,1.1130840655857341
2025-08-29,0.0,1.1130840655857341
2025-09-03,0.0,1.1130840655857341
2025-09-04,0.0,1.1130840655857341
2025-09-05,0.0,1.1130840655857341
2025-09-08,0.0,1.1130840655857341
2025-09-09,-0.0020618557,1.110789046860527
2025-09-10,-0.0020661156,1.1084940282824993
2025-09-11,0.0,1.1084940282824993
2025-09-12,0.0,1.1084940282824993
2025-09-15,0.0,1.1084940282824993
2025-09-16,0.0,1.1084940282824993
2025-09-17,-0.004149378,1.1038944675484126
2025-09-18,-0.0020833334,1.1015946873340938
2025-09-19,0.0,1.1015946873340938
2025-09-22,0.0020876827,1.103894467505253
2025-09-23,0.0020833334,1.1061942477194822
2025-09-24,0.002079002,1.1084940277728796
2025-09-25,0.0,1.1084940277728796
2025-09-26,0.0,1.1084940277728796
2025-09-29,0.0,1.1084940277728796
2025-09-30,0.0,1.1084940277728796
2025-10-01,-0.004149378,1.1038944670409074
2025-10-02,0.0,1.1038944670409074
2025-10-03,0.004166667,1.1084940276882094
2025-10-06,0.002074689,1.1107938080540198
2025-10-07,0.010351967,1.1222927088987995
2025-10-08,0.024590164,1.149890070666625
2025-10-09,0.07,1.230382375613289
2025-10-10,0.0,1.230382375613289
2025-10-13,0.0,1.230382375613289
2025-10-14,0.0,1.230382375613289
2025-10-15,0.0,1.230382375613289
2025-10-16,0.0,1.230382375613289
2025-10-17,0.0,1.230382375613289
2025-10-20,0.0,1.230382375613289
2025-10-21,0.0,1.230382375613289
2025-10-22,0.0,1.230382375613289
2025-10-23,0.0,1.230382375613289
2025-10-24,0.0,1.230382375613289
2025-10-27,0.0,1.230382375613289
2025-10-28,0.0,1.230382375613289
2025-10-29,0.0,1.230382375613289
2025-10-30,0.0,1.230382375613289
2025-10-31,0.0,1.230382375613289
2025-11-03,0.0,1.230382375613289
2025-11-04,0.0,1.230382375613289
2025-11-05,0.0,1.230382375613289
2025-11-06,0.0,1.230382375613289
2025-11-07,0.0,1.230382375613289
2025-11-10,0.0,1.230382375613289
2025-11-11,0.0,1.230382375613289
2025-11-12,0.0,1.230382375613289
2025-11-13,0.0,1.230382375613289
2025-11-14,0.0,1.230382375613289
2025-11-17,0.0,1.230382375613289
2025-11-18,0.0,1.230382375613289
2025-11-19,-0.0019723866,1.227955585902753
2025-11-20,0.0,1.227955585902753
2025-11-21,-0.0019762847,1.225528796066054
2025-11-24,-0.003960396,1.2206752167242292
2025-11-25,0.0,1.2206752167242292
2025-11-26,0.0,1.2206752167242292
2025-11-27,0.0,1.2206752167242292
2025-11-28,0.0,1.2206752167242292
2025-12-01,0.0,1.2206752167242292
2025-12-02,0.0,1.2206752167242292
2025-12-03,0.0,1.2206752167242292
2025-12-04,0.008,1.230440618458023
2025-12-05,-0.007936508,1.220675216646106
2025-12-08,-0.006,1.2133511653462292
2025-12-09,0.0,1.2133511653462292
2025-12-10,-0.008080808,1.2035463075424901
2025-12-11,0.0,1.2035463075424901
2025-12-12,0.0,1.2035463075424901
