loss,val_loss,val_rel_score
0.04138016328215599,0.006469505373388529,-4.231926460196123
0.019188620150089264,0.002524849958717823,-2.19123815033047
0.013547193259000778,0.0017970862099900842,-1.5290718306996283
0.01165055949240923,0.0020907283760607243,-1.8512574775748365
0.00938775110989809,0.001525509636849165,-1.3934984978799667
0.007043936289846897,0.0013641478726640344,-1.2843128982591767
0.005960209760814905,0.002016934799030423,-1.8750291507072285
0.005062015727162361,0.0012714829063042998,-1.182801873622576
0.004379505757242441,0.0013476924505084753,-1.244491729811541
0.003594246692955494,0.0011876726057380438,-1.0967201816802565
