ensemble_set,n_seeds,n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,variant
old5,5,60445,0.04477516686817884,0.03600317947566509,0.037690790928900236,0.046931590884923935,0.5182728099925552,0.19320456683635712,ensemble_mean_cal_each_traincal_clip
old5_plus91_101,7,60445,0.044070643167361645,0.03602973353117704,0.037690790928900236,0.04703652113676071,0.5200264703449416,0.19074949622154236,ensemble_mean_cal_each_traincal
old5,5,60445,0.04391076247931336,0.03603575956076384,0.037690790928900236,0.047042883932590485,0.5179419306807842,0.18602852523326874,ensemble_mean_raw_traincal
old5_plus91,6,60445,0.04333748603718779,0.03605736680328846,0.037690790928900236,0.04704444110393524,0.5178922987840185,0.1934659481048584,ensemble_median_cal_each_traincal_clip
all9,9,60445,0.04318264609783562,0.036063202843070026,0.037690790928900236,0.047141291201114655,0.5201588220696501,0.18498435616493225,ensemble_mean_cal_each_traincal
old5_plus91_101,7,60445,0.04292115478828151,0.03607305865734815,0.037690790928900236,0.047101423144340515,0.5183058979237323,0.19451603293418884,ensemble_median_cal_each_traincal_clip
old5_plus91_101_111,8,60445,0.042653683767039374,0.03608313985168933,0.037690790928900236,0.04711953178048134,0.519794854826702,0.18971554934978485,ensemble_median_cal_each_traincal_clip
old5_plus91,6,60445,0.04248858936342814,0.03608936239033937,0.037690790928900236,0.04718603938817978,0.518057738439904,0.16991376876831055,ensemble_mean_raw_traincal
old5_plus91,6,60445,0.04239439654956234,0.03609291259199379,0.037690790928900236,0.04718930274248123,0.5183224418893209,0.1690523326396942,ensemble_mean_cal_each_traincal
all9,9,60445,0.0422569471932106,0.036098093166947356,0.037690790928900236,0.04717500880360603,0.5193977996525767,0.1878364086151123,ensemble_median_cal_each_traincal
old5_plus91_101_111,8,60445,0.04188691670364908,0.03611203990876674,0.037690790928900236,0.04727339372038841,0.521085284142609,0.1728888303041458,ensemble_mean_cal_each_traincal
old5,5,60445,0.04170959601349511,0.0361187232658267,0.037690790928900236,0.047219168394804,0.5174786996443047,0.17234164476394653,ensemble_median_cal_each_traincal_clip
old5_plus91_101_111,8,60445,0.04145277975126105,0.036128402873873706,0.037690790928900236,0.04730011150240898,0.5208867565555464,0.17198066413402557,ensemble_mean_raw_traincal
old5_plus91_101,7,60445,0.04135000283888046,0.03613227661699056,0.037690790928900236,0.04732470586895943,0.5200595582761188,0.16744479537010193,ensemble_mean_raw_traincal
all9,9,60445,0.04085426991419294,0.03615096118301153,0.037690790928900236,0.0473298653960228,0.5203573496567128,0.17428511381149292,ensemble_mean_raw_traincal
new4,4,60445,0.03994433076210824,0.036185257509350775,0.037690790928900236,0.0473838672041893,0.5188683927537431,0.18754924833774567,ensemble_mean_cal_each_traincal_clip
old5_plus91,6,60445,0.03920316773694699,0.03621319252997636,0.037690790928900236,0.04745776578783989,0.5183224418893209,0.15368393063545227,ensemble_mean_cal_each
old5,5,60445,0.03901482658640898,0.036220291256904596,0.037690790928900236,0.04748977720737457,0.5182728099925552,0.15456366539001465,ensemble_mean_cal_each
old5_plus91,6,60445,0.03869598440566291,0.03623230867087841,0.037690790928900236,0.047529447823762894,0.518057738439904,0.1477511078119278,ensemble_mean_raw
old5_plus91,6,60445,0.03869546550506242,0.03623232822865246,0.037690790928900236,0.0474872961640358,0.5178922987840185,0.15477275848388672,ensemble_median_cal_each
old5,5,60445,0.038589931006629885,0.03623630590736866,0.037690790928900236,0.047476667910814285,0.5174786996443047,0.15667422115802765,ensemble_median_cal_each
old5_plus91_101,7,60445,0.038206848931474746,0.03625074457377195,0.037690790928900236,0.04756077751517296,0.5200264703449416,0.15259960293769836,ensemble_mean_cal_each
old5,5,60445,0.03794157706039858,0.036260742880404,0.037690790928900236,0.04759007692337036,0.5179419306807842,0.1488228142261505,ensemble_mean_raw
new4,4,60445,0.0376828581626274,0.036270494200289244,0.037690790928900236,0.0475950762629509,0.5189014806849201,0.17145758867263794,ensemble_mean_raw_traincal_clip
old5_plus91_101_111,8,60445,0.037674718836056775,0.03627080097794532,0.037690790928900236,0.047640472650527954,0.521085284142609,0.15033811330795288,ensemble_mean_cal_each
old5_plus91_101,7,60445,0.03755471442372116,0.03627532403916121,0.037690790928900236,0.04764552786946297,0.5200595582761188,0.1456041783094406,ensemble_mean_raw
new4,4,60445,0.03749699290924302,0.0362774996086955,0.037690790928900236,0.047506000846624374,0.5183886177516751,0.19056928157806396,ensemble_median_cal_each_traincal_clip
all9,9,60445,0.03742115929283296,0.036280357837676996,0.037690790928900236,0.04766583815217018,0.5201588220696501,0.1479874700307846,ensemble_mean_cal_each
old5_plus91_101,7,60445,0.03735850575168942,0.03628271929919719,0.037690790928900236,0.04761457443237305,0.5183058979237323,0.15561284124851227,ensemble_median_cal_each
old5_plus91_101_111,8,60445,0.03664548690674663,0.0363095935434103,0.037690790928900236,0.04768901318311691,0.519794854826702,0.15177243947982788,ensemble_median_cal_each
all9,9,60445,0.03640368416856932,0.03631870727986097,0.037690790928900236,0.04774155467748642,0.5193977996525767,0.15026913583278656,ensemble_median_cal_each
old5_plus91_101_111,8,60445,0.03618346769539604,0.03632700741291045,0.037690790928900236,0.04777181148529053,0.5208867565555464,0.14331720769405365,ensemble_mean_raw
all9,9,60445,0.03609490371757351,0.03633034545928239,0.037690790928900236,0.04778944328427315,0.5203573496567128,0.13942810893058777,ensemble_mean_raw
new4,4,60445,0.033843917852144245,0.03641518689692019,0.037690790928900236,0.047944433987140656,0.5188683927537431,0.15003938972949982,ensemble_mean_cal_each
new4,4,60445,0.03305251536498022,0.0364450154826045,0.037690790928900236,0.047972775995731354,0.5183886177516751,0.1524554193019867,ensemble_median_cal_each
new4,4,60445,0.03088214194340122,0.03652681857347488,0.037690790928900236,0.048197198659181595,0.5189014806849201,0.1371660679578781,ensemble_mean_raw
