model,split,n_days,spike_rate,auc,average_precision,top20_days,top20_spike_rate,rest_spike_rate,top20_median_q90_abs_error,rest_median_q90_abs_error
daily_lstm,train,1950,0.36923076923076925,0.7905967705510388,0.7021077849423041,390,0.7461538461538462,0.275,0.041095669748028696,0.029178572678938378
daily_lstm,val,639,0.5492957746478874,0.7786285216840771,0.7946453992893947,128,0.8515625,0.4735812133072407,0.056900761623546695,0.033752776030451015
