seed,candidate,split,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,spike_days_ge_7pct,spike_days_ge_8pct,prediction_actual_abs_q90_ratio,directional_accuracy
43,base,train,129720,1970,0.024857359033679804,0.00968047868,0.03612909581000001,0.03091389069,0.04881449456400001,0.08127612180000002,18,2,0.15251930543994288,0.47605612087573235
43,weighted,train,129720,1970,0.021809534211236214,0.00982517375,0.03601314077,0.030805826525000007,0.04765289694484,0.08285148390000001,16,2,0.17339368204256458,0.47660345359235273
43,instance,train,129720,1970,0.019270640045479737,0.00968810335,0.0364317562,0.030940221720000008,0.049415116074000016,0.07519305476,15,0,0.12420837341715589,0.4656799259944496
43,weighted_scale,train,129720,1970,0.02234913402355343,0.0098338456115,0.0359650913625,0.030784841449100007,0.04772542601255001,0.083271233975,16,2,0.18206336614469285,0.47660345359235273
43,base_weighted_ensemble,train,129720,1970,0.025741456935341245,0.00972332438775,0.035993095201250026,0.030881286082700007,0.04828320698916,0.08066673588500001,13,1,0.14980130819286788,0.48157570151094664
43,simplex_ensemble,train,129720,1970,0.027094418154611444,0.009653363000000002,0.0360560283274,0.0308406974958,0.048551165299800005,0.07917761969600001,12,0,0.13483592661602722,0.48099753314831944
43,bw_tail_penalty_0p25,train,129720,1970,0.02402617516525485,0.00979133239,0.035954686534,0.030864837680000007,0.04757096259604001,0.08146954463600001,15,1,0.16199650063166615,0.4786540240518039
43,simplex_tail_penalty_0p25,train,129720,1970,0.02402617516525485,0.00979133239,0.035954686534,0.030864837680000007,0.04757096259604001,0.08146954463600001,15,1,0.16199650063166615,0.4786540240518039
43,simplex_tail_penalty_0p50,train,129720,1970,0.02402617516525485,0.00979133239,0.035954686534,0.030864837680000007,0.04757096259604001,0.08146954463600001,15,1,0.16199650063166615,0.4786540240518039
43,weighted_instance_tail_switch,train,129720,1970,0.01711759066717866,0.009785437099999999,0.036359607006,0.030788901230000013,0.04884355199400002,0.0759365072,13,0,0.15032509651842474,0.47487665741597285
43,base,val,60468,659,0.017189077193335178,0.012453545715,0.04917587808000003,0.036635466278000024,0.06497015621200002,0.09361318569,39,14,0.1420580994341595,0.5046966990805054
43,weighted,val,60468,659,0.029684095295879565,0.0124165262,0.048308059400000006,0.03697931929999999,0.0645999102,0.105079948,40,10,0.1495315274379833,0.5092114837600052
