candidate,rel_score_mean,rel_score_std,q90_abs_error_mean,daily_q90_abs_error_q90_mean,daily_q90_abs_error_max_mean,spike_days_ge_7pct_mean,spike_days_ge_8pct_mean,prediction_actual_abs_q90_ratio_mean
base,0.01667372934204936,0.0011189642961843356,0.04926208665333335,0.065626960134,0.09506224306333333,40.333333333333336,13.0,0.13378830942844802
base_weighted_ensemble,0.023143391608832498,0.005482891787954481,0.04880908545233337,0.06534841535710001,0.10158879000833333,38.333333333333336,13.333333333333334,0.1280411378249541
bw_tail_penalty_0p25,0.02440810868143099,0.0064376396727523445,0.04873888299642668,0.06523282537046667,0.10272038011666666,38.333333333333336,13.0,0.12832063438477923
instance,0.006499754935279915,0.002232286635751217,0.049965669096666686,0.06598358179026668,0.08447005473333334,36.0,2.0,0.11488052826027724
simplex_ensemble,0.018515780540507842,0.00799871335554892,0.04916124765266667,0.06493210908568002,0.09821487844799999,36.333333333333336,9.0,0.12855682786206474
simplex_tail_penalty_0p25,0.023356483755316477,0.00821864871662187,0.04885997488956667,0.06515024375146666,0.1013151372,37.666666666666664,9.666666666666666,0.13079631207962514
simplex_tail_penalty_0p50,0.023356483755316477,0.00821864871662187,0.04885997488956667,0.06515024375146666,0.1013151372,37.666666666666664,9.666666666666666,0.13079631207962514
weighted,0.020214839715378814,0.01418512306356012,0.04879729825500001,0.06457585008933335,0.10229160883333333,42.0,9.0,0.1296924578296082
weighted_instance_tail_switch,0.010404035474986917,0.0027250644781911634,0.04959441370000001,0.06571188781533334,0.08440914206666666,36.666666666666664,2.0,0.11205637937775535
weighted_scale,0.020064744647113903,0.015459515534290588,0.048848138691983345,0.06517416437257334,0.10220639225,38.666666666666664,9.666666666666666,0.11595285543503797
