score,policy,seeds,obs_coverage_mean,day_coverage_mean,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean
none,full_coverage,3,1.0,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_disagreement,abstain_zero_calibrated_p90_3p5,3,0.5333399484024608,1.0,0.0017168051038821686,0.050240607000000014,0.03725441254333334,0.06821073129333334,0.07269140130333333,360.0,171.33333333333334,2.3333333333333335,0.0
risk_disagreement,abstain_zero_q100,3,1.0,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_disagreement,abstain_zero_q30,3,0.3000099226036912,1.0,0.00037495047056368414,0.05027212430296669,0.03728177660000001,0.06828416366666668,0.07012971370233333,358.6666666666667,170.33333333333334,0.3333333333333333,0.0
risk_disagreement,abstain_zero_q40,3,0.4000132301382549,1.0,0.0006765716885333747,0.050268816500000015,0.037221983366666676,0.06824890546666668,0.0705943853,357.3333333333333,170.0,0.6666666666666666,0.0
risk_disagreement,abstain_zero_q50,3,0.5,1.0,0.0011866562021842775,0.05026603918,0.03723723556666668,0.06814996279200002,0.07197369991000001,360.0,171.33333333333334,2.3333333333333335,0.0
risk_disagreement,abstain_zero_q60,3,0.6000033075345638,1.0,0.0017586928128308459,0.050237176844000024,0.03717167396666668,0.06821829173333334,0.07457789987333335,360.3333333333333,171.33333333333334,3.3333333333333335,0.0
risk_disagreement,abstain_zero_q70,3,0.7000066150691274,1.0,0.001984069520281665,0.05024641560000001,0.037181745346666684,0.06810216636306667,0.07547885370333333,360.0,171.66666666666666,4.333333333333333,0.0
risk_disagreement,abstain_zero_q80,3,0.7999933849308726,1.0,0.003095873900114824,0.05018183947000001,0.03706908672566669,0.06793410498,0.07876911252666667,359.0,172.33333333333334,6.666666666666667,0.6666666666666666
risk_disagreement,abstain_zero_q90,3,0.8999966924654362,1.0,0.007568386377234966,0.049878742443333346,0.03719344800333335,0.067175380968,0.08436993716666667,362.0,171.0,10.0,1.0
risk_disagreement,calibrated_p90_3p5,3,0.5333399484024608,0.988872028325746,0.0036501176683050307,0.03556926179300001,0.030487638325666668,0.05074453404166668,0.07771913651,189.33333333333334,58.333333333333336,5.0,0.3333333333333333
risk_disagreement,coverage_q100,3,1.0,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_disagreement,coverage_q30,3,0.3000099226036912,0.9590288315629744,0.004153833104924343,0.03267387843333334,0.027859015677833332,0.045176739676666695,0.07060515559966668,99.0,26.0,0.6666666666666666,0.0
risk_disagreement,coverage_q40,3,0.4000132301382549,0.9726858877086495,0.0015336384990228453,0.03387866231333333,0.029104967244666675,0.047228483911000006,0.07505063039333333,138.33333333333334,36.666666666666664,2.0,0.3333333333333333
risk_disagreement,coverage_q50,3,0.5,0.9838138593829034,0.003318477215045338,0.035087567100666676,0.030054611792200005,0.04936087166140001,0.07641531069333334,181.33333333333334,49.666666666666664,4.666666666666667,0.3333333333333333
risk_disagreement,coverage_q60,3,0.6000033075345638,0.9929185634800203,0.005143655612802685,0.03636118920666667,0.031046921937333345,0.05188542669106668,0.07964858671666668,209.33333333333334,66.66666666666667,6.0,0.6666666666666666
risk_disagreement,coverage_q70,3,0.7000066150691274,0.9969650986342944,0.003771911398738411,0.03806915814500001,0.03240054648466666,0.05323101182423334,0.07902693693333333,245.0,77.33333333333333,6.333333333333333,0.6666666666666666
risk_disagreement,coverage_q80,3,0.7999933849308726,0.9989883662114315,0.0055501521616383815,0.0399381380366667,0.033758769996,0.056598302803066686,0.08246518131666668,291.3333333333333,108.0,9.0,1.0
risk_disagreement,coverage_q90,3,0.8999966924654362,0.9994941831057158,0.006342676627617561,0.04275302990333333,0.035114260082,0.06087854184933334,0.08476513943333334,327.6666666666667,134.33333333333334,17.666666666666668,2.3333333333333335
risk_hgb,abstain_zero_calibrated_p90_3p5,3,0.45469228903442044,1.0,0.000999089276715585,0.05024953061333334,0.03730405386333333,0.06822304170666667,0.070977077269,358.6666666666667,171.0,1.3333333333333333,0.0
risk_hgb,abstain_zero_q100,3,0.999878723732663,1.0,0.024777513768040455,0.048572927619666674,0.03690483848566667,0.06394630697293334,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_hgb,abstain_zero_q30,3,0.11252232585830522,1.0,5.503237542533087e-05,0.05021718383333337,0.037293700733333345,0.0683981948,0.0699300148,357.3333333333333,170.0,0.0,0.0
risk_hgb,abstain_zero_q40,3,0.1674329121739322,1.0,0.00031389520963254203,0.05021837596666667,0.037340467348666674,0.0683981948,0.0699300148,357.3333333333333,170.33333333333334,0.0,0.0
risk_hgb,abstain_zero_q50,3,0.23578862649114685,1.0,0.0005137170625701959,0.05023085396666669,0.03734857178333334,0.0682626228,0.06996236120333334,358.6666666666667,170.66666666666666,0.0,0.0
risk_hgb,abstain_zero_q60,3,0.3253511499195167,1.0,0.00046765490950491834,0.050267168600000016,0.03728192185000001,0.06822245803066668,0.06998702910333333,359.0,171.33333333333334,0.3333333333333333,0.0
risk_hgb,abstain_zero_q70,3,0.45469228903442044,1.0,0.000999089276715585,0.05024953061333334,0.03730405386333333,0.06822304170666667,0.070977077269,358.6666666666667,171.0,1.3333333333333333,0.0
risk_hgb,abstain_zero_q80,3,0.6207856497100395,1.0,0.002262113336001422,0.05016933903000001,0.03728565465000001,0.06815748106666668,0.07324676775333333,361.6666666666667,171.0,4.0,0.0
risk_hgb,abstain_zero_q90,3,0.8193755374743666,1.0,0.005381765009401833,0.04996107691000001,0.037176127973333355,0.0675097744416,0.08183258016666668,363.6666666666667,171.0,9.666666666666666,0.6666666666666666
risk_hgb,calibrated_p90_3p5,3,0.45469228903442044,1.0,0.005582299097660688,0.030802477024000005,0.026514701215333336,0.04234115628260002,0.07273325310666667,118.66666666666667,29.666666666666668,2.6666666666666665,0.0
risk_hgb,coverage_q100,3,0.999878723732663,1.0,0.02476394941249871,0.04857004469433334,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_hgb,coverage_q30,3,0.11252232585830522,0.9575113808801214,-0.0033537014869611617,0.022874788155000006,0.01913348038166667,0.03254940481033334,0.056328190013333335,8.666666666666666,2.3333333333333335,0.0,0.0
risk_hgb,coverage_q40,3,0.1674329121739322,0.9828022255943348,0.005276685615270875,0.024690759015566676,0.020967521670000003,0.03433012647400002,0.06135547000033335,18.0,5.0,0.0,0.0
risk_hgb,coverage_q50,3,0.23578862649114685,0.9959534648457259,0.004696176957823169,0.026311194126,0.022212943886183337,0.03685289323700002,0.062029583948000004,35.666666666666664,7.333333333333333,0.0,0.0
risk_hgb,coverage_q60,3,0.3253511499195167,0.9994941831057158,0.004618387254946306,0.028257422606666666,0.024010948521666672,0.0388990476705,0.06977776337066667,55.666666666666664,10.333333333333334,0.3333333333333333,0.0
