split,mae,rmse,directional_accuracy,thresholded_directional_accuracy
train,0.016470348462462425,0.024481063708662987,0.4306325451010535,0.49925033379298267
val,0.01265577133744955,0.01844741217792034,0.4366427005252154,0.4827333292586028
test,0.017439311370253563,0.025041433051228523,0.45994126649294786,0.49472931075602194
