model,train_rel_score,val_rel_score,test_rel_score,train_minus_val,val_minus_test,train_minus_test,train_directional_accuracy,val_directional_accuracy,test_directional_accuracy
lstm,0.00856834888342406,0.0129332593141821,0.013111195166079836,-0.00436491043075804,-0.00017793585189773697,-0.004542846282655777,0.44234714813295034,0.40950455005055614,0.46240276577355227
linear_regression,-0.026004625939447967,-0.0586039937387095,-0.03565955051746528,0.032599367799261536,-0.022944443221244226,0.00965492457801731,0.4263438654082889,0.42972699696663297,0.4338807260155575
arima,0.0008362974159762393,-0.003959068477672467,-0.007841107276907788,0.0047953658936487065,0.003882038799235321,0.008677404692884028,0.4133155519080837,0.37917087967644086,0.41659464131374246
lstm_ensemble,0.008445517270776692,0.009257320999998764,0.018859390593335856,-0.0008118037292220714,-0.009602069593337093,-0.010413873322559164,0.4597866228970045,0.43882709807886755,0.48055315471045806
lstm_seed_42,0.012600940540877015,0.002837517687946378,0.021127989031167416,0.009763422852930637,-0.018290471343221038,-0.008527048490290401,0.45281083299138286,0.4448938321536906,0.46672428694900603
lstm_seed_52,-0.006476842168504193,0.0014616491591596947,-0.00308967349891498,-0.007938491327663888,0.004551322658074675,-0.0033871686695892134,0.43773081657775953,0.39332659251769464,0.45375972342264476
lstm_seed_62,0.0008322574694493712,0.02349403291069352,-0.003028205537825457,-0.022661775441244147,0.026522238448518975,0.003860463007274828,0.4452195322117357,0.45601617795753285,0.47450302506482284
lstm_seed_72,0.004817757854091553,0.012506282089903564,0.018178796823849597,-0.007688524235812011,-0.0056725147339460325,-0.013361038969758043,0.4477841608535084,0.4277047522750253,0.49178910976663787
lstm_seed_82,0.010875466532433098,0.01608706257573278,0.014797644615187955,-0.005211596043299682,0.0012894179605448253,-0.003922178082754857,0.4466557242511284,0.4398382204246714,0.45980985306828004
lstm_seed_92,-0.001610533727499197,0.010307734013205727,0.019135773099333897,-0.011918267740704924,-0.00882803908612817,-0.020746306826833094,0.42716454657365616,0.4236602628918099,0.42696629213483145
lstm_seed_102,0.00856834888342406,0.0129332593141821,0.013111195166079836,-0.00436491043075804,-0.00017793585189773697,-0.004542846282655777,0.44234714813295034,0.40950455005055614,0.46240276577355227
lstm_seed_112,0.009257340950198478,-0.021788150041754273,0.03276610430919169,0.03104549099195275,-0.05455425435094596,-0.023508763358993212,0.44552728764874844,0.4378159757330637,0.46499567847882456
lstm_best_by_val,0.0008322574694493712,0.02349403291069352,-0.003028205537825457,-0.022661775441244147,0.026522238448518975,0.003860463007274828,0.4452195322117357,0.45601617795753285,0.47450302506482284
lstm_top2_by_val,0.005937044425024518,0.020063971629245336,0.00894608209513581,-0.014126927204220818,0.011117889534109526,-0.003009037670111292,0.45116947066064833,0.4408493427704752,0.4693171996542783
lstm_signmag,0.008350948800897817,0.02009540359750872,0.02260527835830506,-0.011744454796610904,-0.002509874760796338,-0.014254329557407242,0.45024620434961016,0.43377148634984836,0.44684528954191877
lstm_signmag_ensemble,0.0037779764328587095,0.010493297924158207,0.014932916534846075,-0.006715321491299497,-0.004439618610687868,-0.011154940101987365,0.44993844891259743,0.4378159757330637,0.4762316335350043
lstm_signmag_seed_42,0.006651900586258863,0.011046780578249149,0.018699604174157503,-0.004394879991990286,-0.0076528235959083535,-0.01204770358789864,0.44111612638489944,0.4368048533872599,0.449438202247191
lstm_signmag_seed_52,-0.0017824526379850436,0.009997865156147534,0.01542813027568346,-0.011780317794132578,-0.005430265119535926,-0.017210582913668504,0.43137053754616334,0.41354903943377147,0.452895419187554
lstm_signmag_seed_62,0.0017056214092080468,0.01779765901026875,0.0005650183544251286,-0.016092037601060705,0.017232640655843623,0.0011406030547829182,0.43691013541239226,0.4448938321536906,0.45980985306828004
lstm_signmag_seed_72,0.0030203102680207428,0.013874447676860302,0.016922702880598495,-0.01085413740883956,-0.0030482552037381927,-0.013902392612577752,0.43485843249897416,0.43073811931243683,0.4693171996542783
lstm_signmag_seed_82,0.0012413160257060962,-0.00952278066618062,0.005296411095819686,0.010764096691886715,-0.014819191762000306,-0.00405509507011359,0.42911366434140336,0.4074823053589484,0.4373379429559205
lstm_signmag_seed_92,-0.00026944936023687305,0.006630842170692097,0.012129975757258493,-0.00690029153092897,-0.005499133586566396,-0.012399425117495366,0.43208863356585964,0.41456016177957533,0.439066551426102
lstm_signmag_seed_102,0.008350948800897817,0.02009540359750872,0.02260527835830506,-0.011744454796610904,-0.002509874760796338,-0.014254329557407242,0.45024620434961016,0.43377148634984836,0.44684528954191877
lstm_signmag_seed_112,0.0008814939856797155,-0.004014870423530326,0.027697973143865795,0.004896364409210041,-0.03171284356739612,-0.02681647915818608,0.4401928600738613,0.4418604651162791,0.47796024200518583
lstm_signmag_best_by_val,0.008350948800897817,0.02009540359750872,0.02260527835830506,-0.011744454796610904,-0.002509874760796338,-0.014254329557407242,0.45024620434961016,0.43377148634984836,0.44684528954191877
lstm_signmag_top2_by_val,0.005980452934482794,0.025770361928612595,0.01451089411765849,-0.0197899089941298,0.011259467810954105,-0.008530441183175697,0.4462453836684448,0.44287158746208294,0.45721694036300775
