retention_status,retention_reason,duplicate_of,run_name,size_mb,target_mode,stocks_count,best_model,best_test_rel_score,best_val_rel_score,val_test_gap,committee_test_rel_score,committee_val_rel_score,stable_test_rel_score_median,run_dir
review,not clearly strong enough to keep and not large enough to force-delete,,overnight_shared_vn100_w60_u64_32_relscore_20260408_173407,0.04,return,100,lstm_ensemble,0.007579212288797543,-0.0024818131177575253,0.010061025406555069,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/overnight_shared_vn100_w60_u64_32_relscore_20260408_173407
review,not clearly strong enough to keep and not large enough to force-delete,,overnight_wholemarket_shared_vn100_w60_20260409_010816,0.04,return,100,lstm_ensemble,0.005858954980018649,-0.0008322097477406754,0.0066911647277593245,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/overnight_wholemarket_shared_vn100_w60_20260409_010816
review,not clearly strong enough to keep and not large enough to force-delete,,overnight_shared_vn100_w20_u64_32_relscore_20260408_173407,0.03,return,100,lstm_signmag_seed_52,0.004762382990318392,-0.0023795828640571504,0.007141965854375543,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/overnight_shared_vn100_w20_u64_32_relscore_20260408_173407
review,not clearly strong enough to keep and not large enough to force-delete,,overnight_wholemarket_shared_vn100_w20_20260409_010816,0.03,return,100,lstm_signmag_seed_52,0.004762382990318392,-0.0023795828640571504,0.007141965854375543,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/overnight_wholemarket_shared_vn100_w20_20260409_010816
review,not clearly strong enough to keep and not large enough to force-delete,,overnight_shared_vn30_w20_u64_32_relscore_20260408_173407,0.03,return,30,lstm_signmag_ensemble,0.003349501867709659,0.0070077787671193326,0.0036582768994096737,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/overnight_shared_vn30_w20_u64_32_relscore_20260408_173407
review,not clearly strong enough to keep and not large enough to force-delete,,overnight_shared_vn30_w60_u64_32_relscore_20260408_173407,0.04,return,30,lstm_signmag_ensemble,0.0006240939310482307,0.0038809407019745334,0.0032568467709263027,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/overnight_shared_vn30_w60_u64_32_relscore_20260408_173407
delete,duplicate config+metrics; keep canonical run only,overnight_fnb_w5_mag_base_20260409_100007,biaspush_signmag_narrow_base_20260409_111710,0.05,return,4,lstm_seed_52,0.0342525473871802,0.021012648466806727,0.013239898920373472,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/biaspush_signmag_narrow_base_20260409_111710
delete,duplicate config+metrics; keep canonical run only,overnight_fnb_w5_mag_base_20260409_100007,overnight_fnb_w5_mag_base_20260409_101741,0.06,return,4,lstm_seed_52,0.0342525473871802,0.021012648466806727,0.013239898920373472,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/overnight_fnb_w5_mag_base_20260409_101741
delete,heavy run with weak standalone score,,20260409_144422_fnb10_expert,82.23,return,10,lstm_signmag_ensemble,0.01119575525488714,0.003395268716945843,0.007800486537941298,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/20260409_144422_fnb10_expert
delete,heavy run with weak standalone score,,20260409_144422_bds15_expert,102.81,return,15,lstm_signmag_seed_62,0.004408315897162618,0.0015604637275574706,0.0028478521696051473,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/20260409_144422_bds15_expert
delete,duplicate config+metrics; keep canonical run only,overnight_shared_vn30_w20_u64_32_relscore_20260408_173407,shared_vn30_return_w20_relscore_20260408_170355,0.03,return,30,lstm_signmag_ensemble,0.003349501867709659,0.0070077787671193326,0.0036582768994096737,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/shared_vn30_return_w20_relscore_20260408_170355
delete,heavy run with weak standalone score,,20260409_144422_bank12_expert,88.19,return,12,lstm_signmag_seed_62,-0.004870881899787127,0.009146404466486069,0.014017286366273196,,,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/20260409_144422_bank12_expert
