sector,feature,stocks_hit,appearances,mean_test_rel_score,max_test_rel_score
Bán lẻ,obv_change,3,6,0.022764315291361734,0.0437717075868236
Bán lẻ,close_low_gap,2,9,0.03190450822363371,0.0408766271124163
Bán lẻ,vwap_gap,2,7,0.03641393704224607,0.0496749616657941
Bán lẻ,lower_shadow,2,3,0.028720261588495704,0.0375692431852783
Bán lẻ,volume_change,2,3,0.027822509900641463,0.0359859388345158
Bán lẻ,ma_cross_5_20,2,2,0.0319443252354927,0.0355276904212792
Bán lẻ,volatility_5,1,4,0.04200643163623272,0.0454478937469013
Bán lẻ,upper_shadow,1,3,0.012813558913957766,0.0145894176632647
Bán lẻ,ma_10_gap,1,2,0.031625908736810704,0.0341760759137886
Bán lẻ,volatility_20,1,2,0.0146047498320723,0.0147651474330166
Bán lẻ,volume_ratio_20,1,1,0.0496749616657941,0.0496749616657941
Bán lẻ,volume_ratio_5,1,1,0.0432368639707776,0.0432368639707776
Bán lẻ,range_pct,1,1,0.0407666781606671,0.0407666781606671
Bán lẻ,adjust_return,1,1,0.0405066754304149,0.0405066754304149
Bán lẻ,close_return,1,1,0.035179467654295,0.035179467654295
Bán lẻ,momentum_5,1,1,0.0325064083971712,0.0325064083971712
Bán lẻ,ma_5_gap,1,1,0.032404928709961,0.032404928709961
Bán lẻ,rolling_min_20_gap,1,1,0.0318198802099986,0.0318198802099986
Bán lẻ,return_3,1,1,0.030659489493737,0.030659489493737
Bán lẻ,true_range,1,1,0.0290757415598328,0.0290757415598328
Bán lẻ,ma_20_gap,1,1,0.0285400130816855,0.0285400130816855
Bán lẻ,gap_open,1,1,0.0242957707901044,0.0242957707901044
Bán lẻ,overnight_return,1,1,0.0242957707901044,0.0242957707901044
Bán lẻ,signed_volume,1,1,0.0147651474330166,0.0147651474330166
Bán lẻ,body_pct,1,1,0.0119256295393043,0.0119256295393043
Bán lẻ,intraday_return,1,1,0.0119256295393043,0.0119256295393043
Bảo hiểm,upper_shadow,1,3,0.04494766281167956,0.0485970509506668
Bảo hiểm,rolling_min_20_gap,1,3,0.0381337696538496,0.0386771245474913
Bảo hiểm,volatility_20,1,2,0.0536476779641488,0.0592889353305196
Bảo hiểm,true_range,1,2,0.0404357678245995,0.0404357678245995
Bảo hiểm,volatility_ratio,1,2,0.03786071856474944,0.0382395168865939
Bảo hiểm,volatility_10,1,1,0.0592889353305196,0.0592889353305196
Bảo hiểm,lower_shadow,1,1,0.0485970509506668,0.0485970509506668
Bảo hiểm,gap_open,1,1,0.0404357678245995,0.0404357678245995
Bảo hiểm,overnight_return,1,1,0.0404357678245995,0.0404357678245995
Bảo hiểm,ma_10_gap,1,1,0.0386771245474913,0.0386771245474913
Bảo hiểm,momentum_5,1,1,0.0379763638598271,0.0379763638598271
Bảo hiểm,ma_50_gap,1,1,0.0377478205542304,0.0377478205542304
Bảo hiểm,range_pct,1,1,0.037481920242905,0.037481920242905
Bất động sản,price_acceleration,10,20,0.05121467216299301,0.1330227823952458
Bất động sản,upper_shadow,8,20,0.05305634779793781,0.1243028203943742
Bất động sản,vwap_gap,8,19,0.026892372028723754,0.0487991537319558
Bất động sản,ma_50_gap,8,13,0.062690384881465,0.0947744045666055
Bất động sản,volatility_20,7,15,0.03555040931375762,0.0796819986729947
Bất động sản,volume_ratio_5,7,13,0.036538647978596184,0.0843837197597576
