stock,prev_best_features_1_2,prev_best_val_rel_score_1_2,prev_best_test_rel_score_1_2,best_features_up_to_4,best_val_rel_score_up_to_4,best_test_rel_score_up_to_4,test_delta
VHM,"gap_open,upper_shadow",0.052363384047669825,0.09922041336405962,"gap_open,upper_shadow",0.052363384047669825,0.09922041336405962,0.0
IMP,"lower_shadow,atr_gap",0.0735581929295217,0.0352366278644487,"volume_ratio_20,lower_shadow,atr_gap,vwap_gap",0.10193561571701582,0.007357787634087121,-0.02787884023036158
