sector,stock,combo,test_rel_score,val_rel_score
Bán lẻ,DGW,"volume_ratio_20,vwap_gap",0.0496749616657941,0.0038677351968956
Bán lẻ,DGW,"volatility_5,vwap_gap",0.0454478937469013,0.0238844137881231
Bán lẻ,DGW,"volatility_5,obv_change",0.0437717075868236,0.0278624316076802
Bán lẻ,DGW,"volume_ratio_5,vwap_gap",0.0432368639707776,-0.018089532461234
Bán lẻ,DGW,volatility_5,0.0428201863766902,0.026113435262589
Bán lẻ,MWG,"close_low_gap,obv_change",0.0408766271124163,-0.0247411146044678
Bán lẻ,DGW,"range_pct,vwap_gap",0.0407666781606671,-0.0297587794232425
Bán lẻ,MWG,"adjust_return,close_low_gap",0.0405066754304149,-0.0496552698030412
Bán lẻ,MWG,lower_shadow,0.0375692431852783,-0.0337191803995546
Bán lẻ,DGW,"volume_change,volatility_5",0.0359859388345158,0.0265852293384087
Bán lẻ,DGW,"volume_change,ma_cross_5_20",0.0355276904212792,-0.0169747944924141
Bán lẻ,MWG,"close_return,close_low_gap",0.035179467654295,-0.0601325709304165
Bán lẻ,MWG,"close_low_gap,ma_10_gap",0.0341760759137886,-0.0455234442184415
Bán lẻ,MWG,"close_low_gap,momentum_5",0.0325064083971712,-0.0338713873073848
Bán lẻ,MWG,"close_low_gap,ma_5_gap",0.032404928709961,-0.0531499332866585
Bán lẻ,DGW,"rolling_min_20_gap,vwap_gap",0.0318198802099986,0.0265707881701604
Bán lẻ,DGW,"return_3,vwap_gap",0.030659489493737,-0.0264622940728789
Bán lẻ,MWG,"true_range,ma_10_gap",0.0290757415598328,-0.0759889545349787
Bán lẻ,MWG,"close_low_gap,ma_20_gap",0.0285400130816855,-0.0404326383440398
Bán lẻ,MWG,"close_low_gap,ma_cross_5_20",0.0283609600497062,-0.0229175804623458
Bán lẻ,FRT,"overnight_return,lower_shadow",0.0242957707901044,-0.0210054125181835
Bán lẻ,FRT,"gap_open,lower_shadow",0.0242957707901044,-0.0210054125181835
Bán lẻ,FRT,"volatility_20,signed_volume",0.0147651474330166,-0.0893074962811852
Bán lẻ,FRT,"close_low_gap,upper_shadow",0.0145894176632647,0.0161278299186599
Bán lẻ,FRT,"volatility_20,obv_change",0.014444352231128,-0.076208243467472
Bán lẻ,FRT,"vwap_gap,obv_change",0.0132917920478468,0.0244557271360001
Bán lẻ,FRT,obv_change,0.0122475123238263,0.0244557354869986
Bán lẻ,FRT,"volume_change,obv_change",0.0119539004461294,0.0239225323033032
Bán lẻ,FRT,"intraday_return,upper_shadow",0.0119256295393043,0.0182240030799862
Bán lẻ,FRT,"body_pct,upper_shadow",0.0119256295393043,0.0182240030799862
Bảo hiểm,BVH,"volatility_10,volatility_20",0.0592889353305196,-0.0402769471754587
Bảo hiểm,BVH,"upper_shadow,lower_shadow",0.0485970509506668,-0.0012528880315052
Bảo hiểm,BVH,"upper_shadow,volatility_20",0.048006420597778,0.0056905828998562
Bảo hiểm,BVH,"overnight_return,true_range",0.0404357678245995,-0.0057907210565846
Bảo hiểm,BVH,"gap_open,true_range",0.0404357678245995,-0.0057907210565846
Bảo hiểm,BVH,"ma_10_gap,rolling_min_20_gap",0.0386771245474913,0.005255739954724
Bảo hiểm,BVH,"upper_shadow,volatility_ratio",0.0382395168865939,-0.0669002023492515
Bảo hiểm,BVH,"momentum_5,rolling_min_20_gap",0.0379763638598271,-0.0097285805507494
Bảo hiểm,BVH,"ma_50_gap,rolling_min_20_gap",0.0377478205542304,0.0021349036423894
Bảo hiểm,BVH,"range_pct,volatility_ratio",0.037481920242905,-0.044327467028993
Bất động sản,VHM,"return_3,return_10",0.1455474529304341,-0.0368853921840528
Bất động sản,VHM,"adjust_return,ma_cross_5_20",0.140255922650704,-0.0160204615912431
Bất động sản,VHM,"close_return,ma_cross_5_20",0.1362464997320221,-0.0526523658826312
Bất động sản,VHM,"price_acceleration,rolling_min_20_gap",0.1330227823952458,-0.0023382355765178
Bất động sản,VHM,"range_pct,rolling_min_20_gap",0.1302814047357966,-0.0352675051610689
Bất động sản,VHM,"close_return,rolling_max_20_gap",0.1262086403552835,0.0075624533066679
Bất động sản,VHM,"momentum_5,return_10",0.1260022973336019,-0.0108522831631354
Bất động sản,VHM,"intraday_return,rolling_min_20_gap",0.1254919779909787,-0.0482998350853616
Bất động sản,VHM,"body_pct,rolling_min_20_gap",0.1254919779909787,-0.0482998350853616
Bất động sản,VHM,"upper_shadow,ma_10_gap",0.1243028203943742,-0.0211559697458894
Bất động sản,KOS,obv_change,0.1099002001767569,0.09718297422961
Bất động sản,VRE,"close_return,return_10",0.1067817770065784,-0.0552759827399136
Bất động sản,VRE,"momentum_20,rolling_max_20_gap",0.103685103202475,-0.0430883575184777
Bất động sản,VRE,"intraday_return,momentum_5",0.1029958144574814,-0.0521425065814173
Bất động sản,VRE,"body_pct,momentum_5",0.1029958144574814,-0.0521425065814173
Bất động sản,BCM,"volume_ratio_20,range_pct",0.10054633265116,0.0302079076498185
Bất động sản,VRE,"adjust_return,return_10",0.0957771279813144,-0.0607118466875959
Bất động sản,VRE,"ma_5_gap,ma_50_gap",0.0947744045666055,-0.0872770045215969
Bất động sản,VRE,"intraday_return,ma_50_gap",0.091083263949322,-0.0666628108918407
Bất động sản,VRE,"body_pct,ma_50_gap",0.091083263949322,-0.0666628108918407
Bất động sản,VRE,"ma_20_gap,ma_50_gap",0.0908862924690963,-0.0751943011515845
Bất động sản,KOS,"price_acceleration,obv_change",0.0893613068103689,-0.0312377000013008
Bất động sản,VRE,"return_3,ma_50_gap",0.0880108154213534,-0.0612319702830386
Bất động sản,BCM,"volume_ratio_20,true_range",0.0873335664163775,0.0034424717735391
Bất động sản,BCM,"volume_ratio_5,true_range",0.0843837197597576,-0.0278506528794681
Bất động sản,BCM,true_range,0.0842324058974248,-0.0229432142934944
Bất động sản,BCM,"true_range,volatility_20",0.0796819986729947,-0.0004023088285407
Bất động sản,BCM,"atr_14,volatility_10",0.0790597381661952,-0.0236873341638645
Bất động sản,BCM,"true_range,ma_cross_5_20",0.0773932578804149,-0.0038763246400992
Bất động sản,BCM,"true_range,atr_gap",0.0770430971104946,-0.0187549769945511
Bất động sản,BCM,"volume_ratio_20,upper_shadow",0.0760450781799588,-0.0166597604414708
Bất động sản,DIG,"close_return,price_acceleration",0.0755764477368977,0.0223065525341039
Bất động sản,DXG,"range_pct,price_acceleration",0.0750405906388393,0.0312068971968149
Bất động sản,BCM,"true_range,obv_change",0.0741139966057176,0.0078522141896286
Bất động sản,VIC,"ma_50_gap,rolling_min_20_gap",0.0729582037129603,-0.0035163051334334
Bất động sản,KOS,ma_cross_5_20,0.0729256641663397,0.0068759712326658
Bất động sản,VIC,"upper_shadow,momentum_20",0.0720827832288507,-0.0164902529759303
Bất động sản,VIC,"intraday_return,upper_shadow",0.0709046241306616,0.007854556826654
Bất động sản,VIC,"body_pct,upper_shadow",0.0709046241306616,0.007854556826654
Bất động sản,SZC,"upper_shadow,volatility_20",0.0701917369744979,-0.0810154883344043
Bất động sản,DXG,"upper_shadow,price_acceleration",0.0699611378891249,0.0080931540792622
Bất động sản,DIG,"lower_shadow,momentum_20",0.0696900472778183,0.0339253662238266
Bất động sản,KOS,price_acceleration,0.0694385976151577,-0.0280561443630207
Bất động sản,DIG,"close_return,momentum_20",0.0688312801142838,0.0294369175044467
Bất động sản,KOS,momentum_20,0.0682420723744564,-0.1048674875311717
Bất động sản,KOS,"volume_ratio_20,obv_change",0.068187226055959,-0.0404872116824057
Bất động sản,KOS,"ma_cross_5_20,obv_change",0.0660459345942127,0.0062611637293353
Bất động sản,DIG,"close_return,close_low_gap",0.0656753784909506,-0.0380522851615021
Bất động sản,DIG,"momentum_20,atr_gap",0.0641694165999627,-0.0273632843214073
Bất động sản,KOS,"overnight_return,gap_open",0.0641048523236649,-0.1136435916333618
Bất động sản,KOS,overnight_return,0.0641048155436766,-0.1136438142433142
Bất động sản,KOS,gap_open,0.0641048155436766,-0.1136438142433142
Bất động sản,DIG,"ma_50_gap,rolling_min_20_gap",0.0640615413279658,0.016400479814131
Bất động sản,VIC,"upper_shadow,momentum_5",0.0639060439447567,0.0059643823239439
Bất động sản,VIC,"adjust_return,return_10",0.0629760950460025,-0.0406750326713156
Bất động sản,VIC,"ma_50_gap,signed_volume",0.0627953337782534,-0.0606523730487502
Bất động sản,DIG,"adjust_return,close_low_gap",0.0620642091664872,-0.0215322619783271
Bất động sản,VIC,"upper_shadow,ma_10_gap",0.0620640941939669,-0.0151388470261779
Bất động sản,SZC,"high_close_gap,rolling_min_20_gap",0.0620124849340362,-0.0497118300829122
Bất động sản,VIC,"upper_shadow,ma_5_gap",0.0619137801111376,-0.0094345882538928
Bất động sản,VIC,"adjust_return,upper_shadow",0.0618061385600613,-0.0180197739623353
Bất động sản,DIG,"close_return,return_3",0.0587486672257271,-0.0160621131103406
Bất động sản,DIG,"range_pct,price_acceleration",0.0576524638480417,-0.0389478895855237
Bất động sản,DIG,"close_low_gap,ma_20_gap",0.0571544790489907,-0.0293516574749215
Bất động sản,SIP,"volume_ratio_5,lower_shadow",0.0519077385436579,-0.0522747548687079
Bất động sản,DXG,"upper_shadow,obv_change",0.0502191936604874,-0.0156155183868156
Bất động sản,DXG,"price_acceleration,vwap_gap",0.0487991537319558,0.016894163690873
Bất động sản,DXG,"overnight_return,price_acceleration",0.0482558264089458,0.0041321860904747
Bất động sản,DXG,"gap_open,price_acceleration",0.0482558264089458,0.0041321860904747
Bất động sản,DXG,"overnight_return,rolling_min_20_gap",0.0454969898833219,-0.0002453160563327
Bất động sản,DXG,"gap_open,rolling_min_20_gap",0.0454969898833219,-0.0002453160563327
Bất động sản,HDG,"adjust_return,true_range",0.0445402067169964,-0.0821847079347364
Bất động sản,SZC,"range_pct,rolling_max_20_gap",0.0434213805843146,-0.0833942095169515
Bất động sản,DXG,"range_pct,momentum_20",0.0431599539567231,0.0128558354848363
Bất động sản,TCH,"volatility_10,obv_change",0.0430811100193342,-0.0009479192235231
Bất động sản,HDG,"close_return,true_range",0.0428602105402518,-0.0835243484031096
Bất động sản,HDC,"volatility_5,volatility_20",0.0424589635374395,-0.0118658470240173
Bất động sản,SIP,"volume_zscore_20,lower_shadow",0.0418712191634168,-0.0695830629987444
Bất động sản,DXG,"price_acceleration,volatility_ratio",0.0417912283179185,0.0160444618070371
Bất động sản,HDG,"overnight_return,rolling_max_20_gap",0.041636623029818,-0.0432690373612549
Bất động sản,HDG,"gap_open,rolling_max_20_gap",0.041636623029818,-0.0432690373612549
Bất động sản,KBC,"close_low_gap,volatility_5",0.0414189006302059,-0.0092193648866742
Bất động sản,SZC,"volume_ratio_5,price_acceleration",0.0413342994589076,-0.1103937390349603
Bất động sản,SZC,"range_pct,close_position",0.0399122396693019,-0.1291275425179978
Bất động sản,SZC,"volume_ratio_5,return_10",0.039618839128144,-0.1301490151150679
Bất động sản,NLG,"volume_ratio_5,return_10",0.0395813577422007,0.0004159019778947
Bất động sản,NLG,"ma_50_gap,ma_cross_5_20",0.0394412498000164,0.0160819964889735
Bất động sản,KBC,"atr_14,vwap_gap",0.0387095920875104,-0.0133669594512024
Bất động sản,NLG,"return_10,vwap_gap",0.0384543274835085,-0.0042783580701974
Bất động sản,SZC,"range_pct,upper_shadow",0.0376076316683646,-0.0280670399534352
Bất động sản,KBC,"volume_ma_5,volatility_10",0.0375952646591704,-0.1038412344621693
Bất động sản,TCH,volatility_10,0.0375777933900763,-0.0081403696362953
Bất động sản,SZC,"volume_ratio_20,price_acceleration",0.0369608497669875,-0.0931220550329556
Bất động sản,HDC,"volatility_20,ma_50_gap",0.0366714627845179,-0.029768569100177
Bất động sản,NLG,"return_3,price_acceleration",0.0365778056538927,0.0179770918700959
Bất động sản,HDG,"intraday_return,true_range",0.0363329865563587,-0.07207543929529
Bất động sản,HDG,"body_pct,true_range",0.0363329865563587,-0.07207543929529
Bất động sản,SIP,"volume_zscore_20,volatility_20",0.0361809016235029,-0.0346523327535723
Bất động sản,KBC,"volatility_5,vwap_gap",0.0361671966684254,0.0046367957309234
Bất động sản,KBC,"intraday_return,volatility_10",0.0360727741187403,-0.0199804249855362
Bất động sản,KBC,"body_pct,volatility_10",0.0360727741187403,-0.0199804249855362
Bất động sản,NLG,"overnight_return,return_10",0.0359105605242632,-0.0017884376763792
Bất động sản,NLG,"gap_open,return_10",0.0359105605242632,-0.0017884376763792
Bất động sản,NLG,"close_return,intraday_return",0.0358926604813747,-0.008137623800168
Bất động sản,NLG,"close_return,body_pct",0.0358926604813747,-0.008137623800168
Bất động sản,HDG,"close_return,lower_shadow",0.0358397251387196,-0.0357022105787101
Bất động sản,HDG,"adjust_return,atr_gap",0.0355117501132521,-0.0377499181074927
Bất động sản,NLG,"volume_ratio_5,close_low_gap",0.0354528795900077,0.0307283352072776
Bất động sản,HDG,"true_range,ma_50_gap",0.0353332848311576,-0.0714914860077475
Bất động sản,HDG,"close_low_gap,volatility_5",0.035167933098648,-0.0369612346210472
