sector,feature,stocks_hit,appearances,mean_test_rel_score,max_test_rel_score
airline,volume_ma_5,1,6,0.25374786516100467,0.2710588433706439
airline,volume_ma_20,1,4,0.25351268890685497,0.2710588433706439
airline,true_range,1,2,0.26106043606382523,0.2644818941284782
airline,volume_match,1,2,0.2544052672648006,0.2641063725991647
airline,vwap_gap,1,2,0.24227365139209855,0.2467294643542358
airline,rolling_max_20_gap,1,2,0.24246192807682115,0.2447041619304366
airline,volatility_20,1,1,0.2406921796983364,0.2406921796983364
bank,volume_match,2,4,0.19670389554011378,0.2201156309406272
bank,ma_5_gap,2,3,0.17825535719888883,0.199901990138252
bank,volume_change,2,2,0.17867133808956315,0.2114267971326154
bank,true_range,2,2,0.17425119967895641,0.2025865203114019
bank,signed_volume,1,5,0.15664057243182827,0.1771527912778203
bank,gap_open,1,3,0.21732261764704744,0.2319502318622632
bank,overnight_return,1,3,0.21732261764704744,0.2319502318622632
bank,close_position,1,3,0.14812479373819684,0.1554415752552367
bank,volume_ma_20,1,2,0.223755900100864,0.2347878087877718
bank,rolling_max_20_gap,1,2,0.2319502318622632,0.2319502318622632
bank,return_10,1,2,0.14425154559190417,0.144671185503765
bank,volume_zscore_20,1,1,0.2347878087877718,0.2347878087877718
bank,volatility_20,1,1,0.2127239914139562,0.2127239914139562
bank,atr_14,1,1,0.2025865203114019,0.2025865203114019
bank,vwap_gap,1,1,0.1771527912778203,0.1771527912778203
bank,momentum_5,1,1,0.1679460877576762,0.1679460877576762
bank,momentum_20,1,1,0.1584707062997175,0.1584707062997175
bank,ma_cross_5_20,1,1,0.1554415752552367,0.1554415752552367
bank,volatility_ratio,1,1,0.1451009002793105,0.1451009002793105
bank,close_return,1,1,0.1351575231465853,0.1351575231465853
retail_real_estate,volume_match,1,6,0.07075184139692868,0.0936358403696434
retail_real_estate,gap_open,1,3,0.073054959830125,0.0869501296216341
retail_real_estate,overnight_return,1,3,0.073054959830125,0.0869501296216341
retail_real_estate,volume_ma_20,1,2,0.0869501296216341,0.0869501296216341
retail_real_estate,volume_ma_5,1,2,0.0613855678533525,0.0613855678533525
retail_real_estate,volume_change,1,1,0.0936358403696434,0.0936358403696434
retail_real_estate,rolling_max_20_gap,1,1,0.0702161703826514,0.0702161703826514
retail_real_estate,volatility_10,1,1,0.0596785889890257,0.0596785889890257
retail_real_estate,ma_5_gap,1,1,0.0593220846094748,0.0593220846094748
