seed,score,policy,label,year,n_obs,obs_coverage,n_days,day_coverage,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_8
43,none,full_coverage,full_coverage,2020,17542,1.0,193,1.0,0.031788656438,0.05405207502400003,0.07118428923999992,79,30,0
43,none,full_coverage,full_coverage,2021,22962,1.0,250,1.0,0.037007888468499915,0.06000335747300003,0.08714032220000001,143,51,1
43,none,full_coverage,full_coverage,2022,19964,1.0,216,1.0,0.04316559072300001,0.07085361394199999,0.09423149110000001,148,86,7
43,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2020,3886,0.22152548170106032,80,0.41450777202072536,0.020315864885499975,0.031676618335000024,0.05960007527800001,7,2,0
43,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2021,3455,0.15046598728333768,68,0.272,0.01924874318500001,0.034588690943640005,0.044695507459999985,7,0,0
43,risk_logistic,coverage_q40,risk_logistic_coverage_q40,2022,2172,0.1087958324984973,38,0.17592592592592593,0.020779386897499953,0.02964238020810001,0.05489023707600001,2,1,0
43,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2020,4003,0.22819518869000113,83,0.43005181347150256,0.01985349954,0.03161326625543999,0.0569767708,7,3,0
43,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2021,3411,0.1485497778939117,52,0.208,0.01812401730000001,0.033262557022,0.04660728144000001,5,0,0
43,risk_hgb,coverage_q40,risk_hgb_coverage_q40,2022,2380,0.11921458625525946,38,0.17592592592592593,0.02150377524,0.03347555903979998,0.05367654528799999,3,1,0
43,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2020,3055,0.17415346026678827,64,0.3316062176165803,0.019690676094000003,0.0340442036118,0.056072535496000005,5,1,0
43,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2021,2913,0.12686177162268095,37,0.148,0.018648046513999997,0.03386683571600001,0.0408719595,1,0,0
43,risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2022,1880,0.09416950510919656,21,0.09722222222222222,0.02143476557000001,0.03084012668000001,0.052766276447,1,1,0
43,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2020,4439,0.2530498232812678,103,0.533678756476684,0.021339610496000007,0.034219094621600006,0.06161399330000001,9,4,0
43,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2021,4516,0.1966727636965421,97,0.388,0.021428964916000017,0.039258991498400016,0.049843121449999916,13,0,0
43,risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2022,2882,0.14435984772590663,48,0.2222222222222222,0.023576898595999998,0.033103622818399986,0.0524628535,4,1,0
52,none,full_coverage,full_coverage,2020,17542,1.0,193,1.0,0.03138055532000002,0.05265530841600003,0.07017362752800001,75,30,0
52,none,full_coverage,full_coverage,2021,22962,1.0,250,1.0,0.03670664924,0.060220001486999915,0.08866851510000001,142,52,1
