score,policy,label,year,seeds,obs_coverage_mean,day_coverage_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_8_mean
none,full_coverage,full_coverage,2020,3,1.0,1.0,0.03175141096500001,0.053350244326666685,0.07168660892266665,76.0,31.0,0.0
none,full_coverage,full_coverage,2021,3,1.0,1.0,0.03678629574283329,0.059982561200333316,0.08772751116666667,140.66666666666666,50.333333333333336,1.0
none,full_coverage,full_coverage,2022,3,1.0,1.0,0.04296257734533334,0.07059633624233332,0.09442062846666667,146.66666666666666,85.33333333333333,6.666666666666667
risk_hgb,coverage_q40,risk_hgb_coverage_q40,2020,3,0.23459886747995287,0.4283246977547495,0.02021860424999999,0.032498292571913334,0.05679516722,6.666666666666667,1.6666666666666667,0.0
risk_hgb,coverage_q40,risk_hgb_coverage_q40,2021,3,0.16045350288883084,0.2826666666666667,0.019682925969999997,0.033802117476,0.05081219841333336,6.0,0.3333333333333333,0.0
risk_hgb,coverage_q40,risk_hgb_coverage_q40,2022,3,0.1255927335871235,0.1898148148148148,0.022328184769999995,0.0342202219687,0.052778817770133345,4.333333333333333,1.3333333333333333,0.0
risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2020,3,0.2659141869038118,0.5613126079447324,0.02158605432266664,0.03467918948486667,0.0630209416,10.333333333333334,3.0,0.0
risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2021,3,0.21444125076212872,0.4546666666666667,0.021892202996999996,0.03843750575986665,0.0521581830373333,16.666666666666668,1.0,0.0
risk_input_noise,calibrated_p90_3p5,risk_input_noise_calibrated_p90_3p5,2022,3,0.1551793227810058,0.271604938271605,0.02307139363733332,0.03362284213513333,0.054157982003333334,5.666666666666667,1.3333333333333333,0.0
risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2020,3,0.17517956903431764,0.3333333333333333,0.019331505056333322,0.032768525478866654,0.05526829244,5.666666666666667,1.0,0.0
risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2021,3,0.13271201695554977,0.18000000000000002,0.01967764959583333,0.03456328677466667,0.04154225108666667,3.3333333333333335,0.0,0.0
risk_input_noise,coverage_q30,risk_input_noise_coverage_q30,2022,3,0.0960228411140052,0.10030864197530864,0.021598513622333337,0.03163648223608,0.048520928107983315,1.3333333333333333,0.3333333333333333,0.0
risk_logistic,coverage_q40,risk_logistic_coverage_q40,2020,3,0.22618097518336944,0.4265975820379965,0.020307952988999994,0.03200915122633335,0.05737523379266668,6.666666666666667,1.3333333333333333,0.0
risk_logistic,coverage_q40,risk_logistic_coverage_q40,2021,3,0.16334233371076853,0.3106666666666667,0.020067379242000003,0.03371026081464667,0.04833205894599998,7.0,0.3333333333333333,0.0
risk_logistic,coverage_q40,risk_logistic_coverage_q40,2022,3,0.11447271755827156,0.20987654320987656,0.02131852881449998,0.032977237453900014,0.054715463268533306,4.0,1.6666666666666667,0.0
