Date,seed,score,policy,label,daily_q90,obs_coverage,year
2020-04-01,43,none,full_coverage,full_coverage,0.0644223143,1.0,2020
2020-04-03,43,none,full_coverage,full_coverage,0.06496406061,1.0,2020
2020-04-06,43,none,full_coverage,full_coverage,0.05023380148000001,1.0,2020
2020-04-07,43,none,full_coverage,full_coverage,0.04680664619999994,1.0,2020
2020-04-08,43,none,full_coverage,full_coverage,0.05481717185999993,1.0,2020
2020-04-09,43,none,full_coverage,full_coverage,0.032739184760000005,1.0,2020
2020-04-10,43,none,full_coverage,full_coverage,0.0431927618,1.0,2020
2020-04-13,43,none,full_coverage,full_coverage,0.05166427295000002,1.0,2020
2020-04-14,43,none,full_coverage,full_coverage,0.05900528901000001,1.0,2020
2020-04-15,43,none,full_coverage,full_coverage,0.04752095478000001,1.0,2020
2020-04-16,43,none,full_coverage,full_coverage,0.056192440100000005,1.0,2020
2020-04-17,43,none,full_coverage,full_coverage,0.06137171283500002,1.0,2020
2020-04-20,43,none,full_coverage,full_coverage,0.070571527183,1.0,2020
2020-04-21,43,none,full_coverage,full_coverage,0.04264592891999991,1.0,2020
2020-04-22,43,none,full_coverage,full_coverage,0.0418081691,1.0,2020
2020-04-23,43,none,full_coverage,full_coverage,0.032548595080000006,1.0,2020
2020-04-24,43,none,full_coverage,full_coverage,0.063376602204,1.0,2020
2020-04-27,43,none,full_coverage,full_coverage,0.03546065220000001,1.0,2020
2020-04-28,43,none,full_coverage,full_coverage,0.02893927724,1.0,2020
2020-04-29,43,none,full_coverage,full_coverage,0.04768563066,1.0,2020
2020-05-04,43,none,full_coverage,full_coverage,0.030990591093,1.0,2020
2020-05-05,43,none,full_coverage,full_coverage,0.05420959368000002,1.0,2020
2020-05-06,43,none,full_coverage,full_coverage,0.03838137773000001,1.0,2020
2020-05-07,43,none,full_coverage,full_coverage,0.03914196346000002,1.0,2020
2020-05-08,43,none,full_coverage,full_coverage,0.04627087629999991,1.0,2020
2020-05-11,43,none,full_coverage,full_coverage,0.05165052992999992,1.0,2020
2020-05-12,43,none,full_coverage,full_coverage,0.038017018619999995,1.0,2020
2020-05-13,43,none,full_coverage,full_coverage,0.032794297156,1.0,2020
2020-05-14,43,none,full_coverage,full_coverage,0.03083673778,1.0,2020
2020-05-15,43,none,full_coverage,full_coverage,0.03999037592000001,1.0,2020
2020-05-18,43,none,full_coverage,full_coverage,0.03650890747,1.0,2020
2020-05-19,43,none,full_coverage,full_coverage,0.036076354,1.0,2020
2020-05-20,43,none,full_coverage,full_coverage,0.028432718740000033,1.0,2020
2020-05-21,43,none,full_coverage,full_coverage,0.0311887995,1.0,2020
2020-05-22,43,none,full_coverage,full_coverage,0.0518593570999999,1.0,2020
2020-05-25,43,none,full_coverage,full_coverage,0.042962117179999995,1.0,2020
2020-05-26,43,none,full_coverage,full_coverage,0.04577781217400001,1.0,2020
2020-05-27,43,none,full_coverage,full_coverage,0.02544522132,1.0,2020
2020-05-28,43,none,full_coverage,full_coverage,0.03184137174300001,1.0,2020
2020-05-29,43,none,full_coverage,full_coverage,0.047612067357,1.0,2020
2020-06-01,43,none,full_coverage,full_coverage,0.03791520714,1.0,2020
2020-06-02,43,none,full_coverage,full_coverage,0.043868222866000006,1.0,2020
2020-06-03,43,none,full_coverage,full_coverage,0.04934202372,1.0,2020
2020-06-04,43,none,full_coverage,full_coverage,0.05462112796,1.0,2020
2020-06-05,43,none,full_coverage,full_coverage,0.05142432451,1.0,2020
2020-06-08,43,none,full_coverage,full_coverage,0.027072228220000025,1.0,2020
2020-06-09,43,none,full_coverage,full_coverage,0.031433333120000025,1.0,2020
2020-06-10,43,none,full_coverage,full_coverage,0.0684974507,1.0,2020
2020-06-11,43,none,full_coverage,full_coverage,0.035157738349999995,1.0,2020
2020-06-12,43,none,full_coverage,full_coverage,0.0500394496,1.0,2020
2020-06-15,43,none,full_coverage,full_coverage,0.049682265552,1.0,2020
2020-06-16,43,none,full_coverage,full_coverage,0.02784335062,1.0,2020
2020-06-17,43,none,full_coverage,full_coverage,0.0214548521,1.0,2020
2020-06-18,43,none,full_coverage,full_coverage,0.0452987215999999,1.0,2020
2020-06-19,43,none,full_coverage,full_coverage,0.03057085753000002,1.0,2020
2020-06-22,43,none,full_coverage,full_coverage,0.03654128743000003,1.0,2020
2020-06-23,43,none,full_coverage,full_coverage,0.036791334,1.0,2020
2020-06-24,43,none,full_coverage,full_coverage,0.02091642724,1.0,2020
2020-06-25,43,none,full_coverage,full_coverage,0.0244648857,1.0,2020
2020-06-26,43,none,full_coverage,full_coverage,0.0534220004,1.0,2020
2020-06-29,43,none,full_coverage,full_coverage,0.039885389271000014,1.0,2020
2020-06-30,43,none,full_coverage,full_coverage,0.040436859,1.0,2020
2020-07-01,43,none,full_coverage,full_coverage,0.025968838,1.0,2020
2020-07-02,43,none,full_coverage,full_coverage,0.0280322044999999,1.0,2020
2020-07-03,43,none,full_coverage,full_coverage,0.029304120079999912,1.0,2020
2020-07-06,43,none,full_coverage,full_coverage,0.019065757930000003,1.0,2020
2020-07-07,43,none,full_coverage,full_coverage,0.024803939554999918,1.0,2020
2020-07-08,43,none,full_coverage,full_coverage,0.03987129090000001,1.0,2020
