rule,n_seeds,rel_score_mean,rel_score_std,daily_q90_max_mean,daily_q90_max_std,daily_q90_p90_mean,daily_q90_p90_std,spike_days_ge_8pct_mean,spike_days_ge_8pct_std,spike_days_ge_5pct_mean,spike_days_ge_5pct_std,directional_accuracy_mean,directional_accuracy_std,pred_actual_q90_ratio_mean,pred_actual_q90_ratio_std,coverage_mean,coverage_std,median_abs_error_mean,median_abs_error_std,q90_abs_error_mean,q90_abs_error_std
raw,5,0.03394935845427667,0.005516738158608482,0.10769615352153779,0.008812128862866232,0.06291095823049546,0.00040267436088304963,11.8,4.024922359499621,156.2,5.890670590009256,0.5097427413350981,0.004309387069422069,0.17718489170074464,0.017045682808151826,1.0,0.0,0.012567357346415519,6.348164248835328e-05,0.04768771156668663,0.00034294913077397455
sigma_clip_k1.5,5,0.03394935845427667,0.005516738158608482,0.10769615352153779,0.008812128862866232,0.06291095823049546,0.00040267436088304963,11.8,4.024922359499621,156.2,5.890670590009256,0.5097427413350981,0.004309387069422069,0.17718489170074464,0.017045682808151826,1.0,0.0,0.012567357346415519,6.348164248835328e-05,0.04768771156668663,0.00034294913077397455
sigma_clip_k2.0,5,0.03394935845427667,0.005516738158608482,0.10769615352153779,0.008812128862866232,0.06291095823049546,0.00040267436088304963,11.8,4.024922359499621,156.2,5.890670590009256,0.5097427413350981,0.004309387069422069,0.17718489170074464,0.017045682808151826,1.0,0.0,0.012567357346415519,6.348164248835328e-05,0.04768771156668663,0.00034294913077397455
selective_strong,5,0.010845919046263175,0.021044700135996047,0.07537979242391885,0.005138301486041619,0.03241507449001074,0.0016704448475880736,0.2,0.447213595499958,14.2,3.8340579025361627,0.545491624388165,0.013338893772884835,0.25022057592868807,0.0214160617850502,0.024412275622466707,0.0046345934602746615,0.008435296081006526,0.0004029448686006521,0.02719312086701393,0.0010900270891608095
shrink_k1.5_abstain_top10,5,0.009597439647302397,0.0013891651677195957,0.07556882634758949,0.0028704406000790014,0.05274161979556084,0.00026287628126947114,0.2,0.44721359549995804,82.8,3.1144823004794873,0.49951435777673064,0.003644942489482996,0.1092462807893753,0.005408236122289904,0.7969923070560012,0.007228060269639945,0.010703343711793423,3.765224489891998e-05,0.03755994513630867,0.0002235040043957293
sigma_shrink_k1.0,5,0.009527202827812564,0.0022628787461999155,0.07773105710744858,0.0025564493917366385,0.06590636259317398,0.0004595354826374221,0.4,0.5477225575051662,164.6,2.701851217221259,0.5097427413350981,0.004309387069422069,0.09374770522117615,0.005381266890876669,1.0,0.0,0.012516330741345883,4.4409972313066474e-05,0.049630744755268096,0.00011498091933386254
abstain_sigma_top10,5,0.0094490579853314,0.002245391884986157,0.08165941074490546,0.004042750866420273,0.051755068168044115,0.0003272868740454109,1.0,1.224744871391589,76.2,2.8635642126552705,0.49951435777673064,0.003644942489482996,0.16211326718330382,0.009947677613154073,0.7969923070560012,0.007228060269639945,0.010750145837664603,5.42072037559084e-05,0.03747519925236702,0.0002787824345099336
sigma_shrink_k1.5,5,0.008376117223263303,0.001915887981412031,0.07700358510017395,0.0019762334258902584,0.06628633123636248,0.00039990018928052205,0.0,0.0,167.2,1.7888543819998317,0.5097427413350981,0.004309387069422069,0.08214060515165329,0.004354371165300501,1.0,0.0,0.012516778893768787,3.900428168514571e-05,0.04971661940217018,8.780291421410384e-05
sigma_shrink_k2.0,5,0.007689910219472051,0.0020821549357295482,0.076905757188797,0.001956140499277693,0.06641931834816932,0.0003510192122364012,0.0,0.0,168.6,2.966479394838265,0.5097427413350981,0.004309387069422069,0.07616770416498184,0.004084902740185237,1.0,0.0,0.012521258741617202,4.239797294944114e-05,0.049759387224912646,8.618426777447139e-05
sigma_shrink_k2.5,5,0.007495147550448378,0.0017781692074324339,0.076905757188797,0.001956140499277693,0.06645009338855742,0.000354874303772241,0.0,0.0,168.8,2.8635642126552705,0.5097427413350981,0.004309387069422069,0.07269079983234406,0.003789025713382352,1.0,0.0,0.012522196769714356,3.847545205587753e-05,0.049772192537784574,7.550257812593511e-05
abstain_sigma_top25,5,0.005540871897652289,0.00377454605010624,0.07728322491049766,0.0020832571344092817,0.044156573399901394,0.0002298330367718076,0.2,0.44721359549995804,40.8,3.1937438845342623,0.4922438273989133,0.003514879578293073,0.15509785413742067,0.0059524031710027825,0.5778542476631648,0.009569812528052129,0.009413319826126098,7.741619802675249e-05,0.031978242099285126,9.548439852819434e-05
