model,split,rows,pred_pos_rate,actual_pos_rate,pred_mean,actual_mean,pred_abs_mean,actual_abs_mean,pred_abs_over_actual_abs,corr
arima,test,1217,0.6754313886606409,0.41577649958915364,0.00039723956889112575,0.0003594608300739524,0.0005779961536293345,0.009443676562202137,0.061204568985636,0.050977387956307026
arima,train,10465,0.6239847109412326,0.40850453893932154,0.000425044625361553,0.0004250446249324749,0.0007136931508617151,0.012300499799592773,0.058021475752175776,0.060070286473753044
arima,val,997,0.7121364092276831,0.38214643931795383,0.00037942684894523576,-5.011276830491477e-05,0.0005492343568349047,0.008221714819859578,0.06680289560861774,-0.019613157164525302
linear_regression,test,1217,0.6129827444535744,0.41577649958915364,0.0006955843411352506,0.0003594608300739524,0.001983365301600986,0.009443676562202137,0.21002046062645882,0.07070876058916363
linear_regression,train,10465,0.5668418537983755,0.40850453893932154,0.00042504362937619683,0.0004250446249324749,0.001991322275315805,0.012300499799592773,0.16188954170640538,0.14090238711007913
linear_regression,val,997,0.6178535606820461,0.38214643931795383,0.0008114355719837513,-5.011276830491477e-05,0.001800791279062989,0.008221714819859578,0.2190286720615962,0.009115272098035497
lstm,test,1217,0.524239934264585,0.41577649958915364,5.129322651015611e-05,0.0003594608300739524,0.0005931348452479377,0.009443676562202137,0.06280761961098197,0.0518165958378839
lstm,train,10465,0.5713330148112756,0.40850453893932154,0.00013873554614214428,0.0004250446249324749,0.0005523343788345036,0.012300499799592773,0.04490340944136184,0.049256052436829005
lstm,val,997,0.6439317953861585,0.38214643931795383,0.0001961033308823671,-5.011276830491477e-05,0.00039828082147093277,0.008221714819859578,0.04844254881097119,0.03260790668614163
lstm_best_by_val,test,1217,0.13475760065735415,0.41577649958915364,-0.0011074689944370582,0.0003594608300739524,0.0012501974563903862,0.009443676562202137,0.13238461187820022,0.03693844234867014
lstm_best_by_val,train,10465,0.1221213569039656,0.40850453893932154,-0.0013348894774615127,0.0004250446249324749,0.001505626670518885,0.012300499799592773,0.12240369863415883,-0.009942832203269534
lstm_best_by_val,val,997,0.14543630892678033,0.38214643931795383,-0.0008393320613429288,-5.011276830491477e-05,0.0009695222943892677,0.008221714819859578,0.11792215074735792,0.028519012984265162
lstm_ensemble,test,1217,0.2218570254724733,0.41577649958915364,-0.00038577532910550537,0.0003594608300739524,0.0005374627660755957,0.009443676562202137,0.05691244956723366,0.08622045896360515
lstm_ensemble,train,10465,0.1601528905876732,0.40850453893932154,-0.000551237724245094,0.0004250446249324749,0.00070274949097004,0.012300499799592773,0.05713178345755557,0.0754382851852463
lstm_ensemble,val,997,0.22066198595787362,0.38214643931795383,-0.0003086017599797995,-5.011276830491477e-05,0.0004763045906532999,0.008221714819859578,0.0579325117799981,0.014404373118576182
lstm_seed_102,test,1217,0.524239934264585,0.41577649958915364,5.129322651015611e-05,0.0003594608300739524,0.0005931348452479377,0.009443676562202137,0.06280761961098197,0.0518165958378839
lstm_seed_102,train,10465,0.5713330148112756,0.40850453893932154,0.00013873554614214428,0.0004250446249324749,0.0005523343788345036,0.012300499799592773,0.04490340944136184,0.049256052436829005
lstm_seed_102,val,997,0.6439317953861585,0.38214643931795383,0.0001961033308823671,-5.011276830491477e-05,0.00039828082147093277,0.008221714819859578,0.04844254881097119,0.03260790668614163
lstm_seed_112,test,1217,0.17091207888249796,0.41577649958915364,-0.0006940614484337716,0.0003594608300739524,0.0008362784698248972,0.009443676562202137,0.0885543320248876,-0.023847445372037493
lstm_seed_112,train,10465,0.18891543239369327,0.40850453893932154,-0.0008635680592691284,0.0004250446249324749,0.0011025166798381816,0.012300499799592773,0.08963186031470706,0.032370847429808884
lstm_seed_112,val,997,0.1534603811434303,0.38214643931795383,-0.0006229414625553661,-5.011276830491477e-05,0.0007324315528071212,0.008221714819859578,0.08908501071308512,0.0006778923127435603
lstm_seed_42,test,1217,0.5012325390304027,0.41577649958915364,0.00015268099544042728,0.0003594608300739524,0.0009263949361778143,0.009443676562202137,0.09809685137731905,0.07774199441361287
lstm_seed_42,train,10465,0.3505972288580984,0.40850453893932154,-0.00026511169348094314,0.0004250446249324749,0.0010076565122083565,0.012300499799592773,0.08191996493034506,0.036907803326424925
lstm_seed_42,val,997,0.4182547642928786,0.38214643931795383,-7.770840201711134e-05,-5.011276830491477e-05,0.0006263360222793782,0.008221714819859578,0.07618070390455062,0.014189368903344131
lstm_seed_52,test,1217,0.13475760065735415,0.41577649958915364,-0.0011074689944370582,0.0003594608300739524,0.0012501974563903862,0.009443676562202137,0.13238461187820022,0.03693844234867014
lstm_seed_52,train,10465,0.1221213569039656,0.40850453893932154,-0.0013348894774615127,0.0004250446249324749,0.001505626670518885,0.012300499799592773,0.12240369863415883,-0.009942832203269534
lstm_seed_52,val,997,0.14543630892678033,0.38214643931795383,-0.0008393320613429288,-5.011276830491477e-05,0.0009695222943892677,0.008221714819859578,0.11792215074735792,0.028519012984265162
lstm_seed_62,test,1217,0.2695152013147083,0.41577649958915364,-0.0006326756695707478,0.0003594608300739524,0.0011661943282391125,0.009443676562202137,0.12348943979156904,0.05665456831361525
lstm_seed_62,train,10465,0.2529383659818442,0.40850453893932154,-0.0008440974259942618,0.0004250446249324749,0.001266871256949503,0.012300499799592773,0.1029934781179741,0.029447819607446475
lstm_seed_62,val,997,0.2868605817452357,0.38214643931795383,-0.00047404805080972917,-5.011276830491477e-05,0.000924016229758977,0.008221714819859578,0.11238728781093367,0.022229500750964238
lstm_seed_72,test,1217,0.6943303204601479,0.41577649958915364,0.0004728574423941578,0.0003594608300739524,0.0008043059862621939,0.009443676562202137,0.08516873496932223,0.037562812118659514
lstm_seed_72,train,10465,0.6130912565695175,0.40850453893932154,0.0002914871877643679,0.0004250446249324749,0.000957645329865333,0.012300499799592773,0.0778541803559102,0.0396562831868067
lstm_seed_72,val,997,0.7011033099297894,0.38214643931795383,0.0004444118692365095,-5.011276830491477e-05,0.000739990383147041,0.008221714819859578,0.09000438465216429,-0.0004081820640240376
lstm_seed_82,test,1217,0.28594905505341,0.41577649958915364,-0.00046916428024379626,0.0003594608300739524,0.0008971977166488907,0.009443676562202137,0.0950051297012735,0.04259420144994481
lstm_seed_82,train,10465,0.35126612517916866,0.40850453893932154,-0.0004094628687668944,0.0004250446249324749,0.0010788527502230741,0.012300499799592773,0.0877080417706922,0.06133079949046211
lstm_seed_82,val,997,0.3430290872617854,0.38214643931795383,-0.00028694392212296886,-5.011276830491477e-05,0.0007245726016324974,0.008221714819859578,0.08812913333873976,-0.016626979424235182
lstm_seed_92,test,1217,0.21774856203779785,0.41577649958915364,-0.0008596639157068857,0.0003594608300739524,0.0011940690504529498,0.009443676562202137,0.1264411209541159,0.031053491114482374
lstm_seed_92,train,10465,0.19751552795031055,0.40850453893932154,-0.0011229950025218778,0.0004250446249324749,0.0015380697266008188,0.012300499799592773,0.12504123829600314,0.08621251814040061
lstm_seed_92,val,997,0.19157472417251756,0.38214643931795383,-0.0008083553858960552,-5.011276830491477e-05,0.0010877425197004685,0.008221714819859578,0.13230117360347055,-0.00028868483357526837
lstm_signmag,test,1217,0.5628594905505341,0.41577649958915364,0.0001481930550068529,0.0003594608300739524,0.00036123012948047656,0.009443676562202137,0.038251006067518536,-0.005850838773880766
lstm_signmag,train,10465,0.5918776875298615,0.40850453893932154,0.00015288780527422172,0.0004250446249324749,0.0004612159911623283,0.012300499799592773,0.037495711448863045,0.031307843231833624
lstm_signmag,val,997,0.5947843530591775,0.38214643931795383,0.00011214715621271816,-5.011276830491477e-05,0.00032942030696022067,0.008221714819859578,0.04006710451261395,0.028175002736287192
lstm_signmag_best_by_val,test,1217,0.13968775677896467,0.41577649958915364,-0.0006710434270419556,0.0003594608300739524,0.0007730577860002135,0.009443676562202137,0.08185983296953861,0.06249907638663363
lstm_signmag_best_by_val,train,10465,0.09135212613473483,0.40850453893932154,-0.001004504968144728,0.0004250446249324749,0.0010893089764124875,0.012300499799592773,0.08855810691924491,0.06387814812023089
lstm_signmag_best_by_val,val,997,0.14844533600802406,0.38214643931795383,-0.0005485903940904213,-5.011276830491477e-05,0.0006393159847828987,0.008221714819859578,0.07775944541868916,0.010629584970882086
lstm_signmag_ensemble,test,1217,0.2810188989317995,0.41577649958915364,-0.0001788691958899507,0.0003594608300739524,0.0003067683982668776,0.009443676562202137,0.03248400093399041,0.09483262353372708
lstm_signmag_ensemble,train,10465,0.22656473960821788,0.40850453893932154,-0.00026136794730933116,0.0004250446249324749,0.00039490847911440133,0.012300499799592773,0.03210507585451734,0.058767648470824094
lstm_signmag_ensemble,val,997,0.38716148445336007,0.38214643931795383,-8.766533895316954e-05,-5.011276830491477e-05,0.0002528140132795286,0.008221714819859578,0.030749547852092312,0.025672337360400914
lstm_signmag_seed_102,test,1217,0.5628594905505341,0.41577649958915364,0.0001481930550068529,0.0003594608300739524,0.00036123012948047656,0.009443676562202137,0.038251006067518536,-0.005850838773880766
lstm_signmag_seed_102,train,10465,0.5918776875298615,0.40850453893932154,0.00015288780527422172,0.0004250446249324749,0.0004612159911623283,0.012300499799592773,0.037495711448863045,0.031307843231833624
lstm_signmag_seed_102,val,997,0.5947843530591775,0.38214643931795383,0.00011214715621271816,-5.011276830491477e-05,0.00032942030696022067,0.008221714819859578,0.04006710451261395,0.028175002736287192
lstm_signmag_seed_112,test,1217,0.47493837304847986,0.41577649958915364,-7.043889589663928e-05,0.0003594608300739524,0.0002712731659897206,0.009443676562202137,0.02872537662667085,-0.0548901714131161
lstm_signmag_seed_112,train,10465,0.4282847587195413,0.40850453893932154,-0.0001295150990481262,0.0004250446249324749,0.0003666825771485605,0.012300499799592773,0.0298103803197249,0.029161674473329208
lstm_signmag_seed_112,val,997,0.49949849548645936,0.38214643931795383,-3.736615885381143e-05,-5.011276830491477e-05,0.00023443426440506517,0.008221714819859578,0.02851403503303088,0.00295292398743777
lstm_signmag_seed_42,test,1217,0.49219391947411667,0.41577649958915364,7.221299411888249e-05,0.0003594608300739524,0.0004588391398772391,0.009443676562202137,0.04858691811976289,0.07227812807092658
lstm_signmag_seed_42,train,10465,0.39942666029622553,0.40850453893932154,-8.63578155713956e-05,0.0004250446249324749,0.0005008393449147707,0.012300499799592773,0.04071699142918987,0.002384507586764841
lstm_signmag_seed_42,val,997,0.48144433299899697,0.38214643931795383,-2.4479863316770313e-05,-5.011276830491477e-05,0.00032098657389025074,0.008221714819859578,0.03904131691784136,0.0115113908108375
lstm_signmag_seed_52,test,1217,0.19391947411668037,0.41577649958915364,-0.0005394181995463024,0.0003594608300739524,0.0008369759042838536,0.009443676562202137,0.08862818403097472,0.10816210016925644
lstm_signmag_seed_52,train,10465,0.18671763019589108,0.40850453893932154,-0.000543477289830839,0.0004250446249324749,0.0009944432207110148,0.012300499799592773,0.08084575723857476,0.02281026164630537
lstm_signmag_seed_52,val,997,0.31293881644934807,0.38214643931795383,-0.00017621328154958878,-5.011276830491477e-05,0.0006248439279501907,0.008221714819859578,0.07599922177316078,0.030899187593791358
lstm_signmag_seed_62,test,1217,0.12736236647493837,0.41577649958915364,-0.0004089758421251767,0.0003594608300739524,0.0004668201051938701,0.009443676562202137,0.0494320302182198,0.06204483945145863
lstm_signmag_seed_62,train,10465,0.12049689440993788,0.40850453893932154,-0.00043882399051234426,0.0004250446249324749,0.0004945169749282425,0.012300499799592773,0.04020299849479403,0.032711237125263616
lstm_signmag_seed_62,val,997,0.23269809428284854,0.38214643931795383,-0.00022758611348195587,-5.011276830491477e-05,0.0003287614525715647,0.008221714819859578,0.03998696862817966,0.017851690081151957
lstm_signmag_seed_72,test,1217,0.6918652423993427,0.41577649958915364,0.0002101128025191455,0.0003594608300739524,0.0003841409992770747,0.009443676562202137,0.04067706012026933,0.02468197021314428
lstm_signmag_seed_72,train,10465,0.6091734352603918,0.40850453893932154,6.812483398337982e-05,0.0004250446249324749,0.0003566272424911658,0.012300499799592773,0.02899290665432737,0.04275731731988624
lstm_signmag_seed_72,val,997,0.7683049147442327,0.38214643931795383,0.00021976734233239718,-5.011276830491477e-05,0.00034920122471053153,0.008221714819859578,0.042473040279508954,0.01874316722808227
lstm_signmag_seed_82,test,1217,0.3722267871815941,0.41577649958915364,-0.00017159605609281018,0.0003594608300739524,0.0006701210097900164,0.009443676562202137,0.0709597586677358,0.07551137007367362
lstm_signmag_seed_82,train,10465,0.43430482560917344,0.40850453893932154,-0.00010927705684419496,0.0004250446249324749,0.0006724121007289824,0.012300499799592773,0.054665429184531475,0.06523635570791056
lstm_signmag_seed_82,val,997,0.4684052156469408,0.38214643931795383,-1.900139555095287e-05,-5.011276830491477e-05,0.000521847662972016,0.008221714819859578,0.06347187592927589,0.005044294045931538
lstm_signmag_seed_92,test,1217,0.13968775677896467,0.41577649958915364,-0.0006710434270419556,0.0003594608300739524,0.0007730577860002135,0.009443676562202137,0.08185983296953861,0.06249907638663363
lstm_signmag_seed_92,train,10465,0.09135212613473483,0.40850453893932154,-0.001004504968144728,0.0004250446249324749,0.0010893089764124875,0.012300499799592773,0.08855810691924491,0.06387814812023089
lstm_signmag_seed_92,val,997,0.14844533600802406,0.38214643931795383,-0.0005485903940904213,-5.011276830491477e-05,0.0006393159847828987,0.008221714819859578,0.07775944541868916,0.010629584970882086
lstm_signmag_top2_by_val,test,1217,0.13475760065735415,0.41577649958915364,-0.00060523081345659,0.0003594608300739524,0.0007437139595100493,0.009443676562202137,0.07875258694126913,0.10684180000653062
