model,train_rel_score,val_rel_score,test_rel_score,train_minus_val,val_minus_test,train_minus_test,train_directional_accuracy,val_directional_accuracy,test_directional_accuracy
lstm,0.002746765096056092,0.0065467566217388695,0.006695556125696167,-0.0037999915256827776,-0.00014879950395729757,-0.003948791029640075,0.43129004494596923,0.4418604651162791,0.43837882547559964
linear_regression,-0.015229275466397185,-0.04546245680680849,-0.0477329669361668,0.030233181340411308,0.002270510129358305,0.03250369146976961,0.42507411303433107,0.4287158746208291,0.4119106699751861
arima,-0.0022911066027591076,-0.006856470716758212,-0.004490234904723556,0.004565364113999104,-0.002366235812034656,0.002199128301964448,0.41694558668834275,0.3943377148634985,0.4267990074441687
lstm_ensemble,0.0031819773805860097,0.006016075862837922,0.013155609323691086,-0.002834098482251912,-0.007139533460853165,-0.009973631943105077,0.4422874629434828,0.4398382204246714,0.4739454094292804
lstm_seed_42,0.00655735317051509,-0.00886184377959931,0.004212958118879895,0.0154191969501144,-0.013074801898479205,0.0023443950516351952,0.4358802715884097,0.43377148634984836,0.44995864350703063
lstm_seed_52,-0.006101109842138408,0.021012648466806727,0.0342525473871802,-0.027113758308945135,-0.013239898920373472,-0.04035365722931861,0.433872047432342,0.4529828109201213,0.46236559139784944
lstm_seed_62,-0.0013527630009226854,0.001422869500474766,-0.020053594865773183,-0.0027756325013974514,0.02147646436624795,0.018700831864850498,0.43922731184852254,0.435793731041456,0.44499586435070304
lstm_seed_72,-0.0005594915096966968,-0.022587486459637596,0.010759945547901828,0.0220279949499409,-0.033347432007539424,-0.011319437057598525,0.4276561155207038,0.41354903943377147,0.43672456575682383
lstm_seed_82,0.0017172450222863178,0.0064918765235040254,0.02100264842098376,-0.004774631501217708,-0.014510771897479735,-0.019285403398697443,0.4485990245768385,0.42163801820020225,0.46153846153846156
lstm_seed_92,-0.003583432260852115,0.009946224397413439,-0.0016623484416657952,-0.013529656658265554,0.011608572839079234,-0.00192108381918632,0.4448694654298556,0.4408493427704752,0.45409429280397023
lstm_seed_102,0.002746765096056092,0.0065467566217388695,0.006695556125696167,-0.0037999915256827776,-0.00014879950395729757,-0.003948791029640075,0.43129004494596923,0.4418604651162791,0.43837882547559964
lstm_seed_112,0.0016309691527589543,0.018497181502576177,0.008734827524368605,-0.016866212349817222,0.009762353978207572,-0.00710385837160965,0.4266998183035287,0.43174924165824063,0.43424317617866004
lstm_best_by_val,-0.006101109842138408,0.021012648466806727,0.0342525473871802,-0.027113758308945135,-0.013239898920373472,-0.04035365722931861,0.433872047432342,0.4529828109201213,0.46236559139784944
lstm_top2_by_val,-0.003476018900283595,0.02717523714793335,0.010921874858264347,-0.030651256048216946,0.016253362289669004,-0.014397893758547942,0.4274648560772688,0.44792719919110213,0.44830438378825477
lstm_signmag,0.00018755780533152855,-0.0055606644042554,0.015041599722632415,0.005748222209586928,-0.020602264126887815,-0.014854041917300886,0.4261260399732237,0.41759352881698686,0.44086021505376344
lstm_signmag_ensemble,0.001349333671692654,-0.002424915272865924,0.010665951993415579,0.003774248944558578,-0.013090867266281503,-0.009316618321722925,0.4368365688055848,0.43377148634984836,0.44747725392886684
lstm_signmag_seed_42,-0.0021339170925229745,-0.005113558892664516,0.005203886666948709,0.0029796418001415415,-0.010317445559613225,-0.007337803759471684,0.4273692263555513,0.4196157735085945,0.44995864350703063
lstm_signmag_seed_52,0.003985190182822729,0.01105497749053308,0.016580265744778666,-0.007069787307710351,-0.005525288254245586,-0.012595075561955937,0.4370278282490198,0.4539939332659252,0.4598842018196857
lstm_signmag_seed_62,0.0012159253151149407,0.006537726290420154,0.0002013525127598781,-0.005321800975305213,0.006336373777660276,0.0010145728023550626,0.4363584201969972,0.4398382204246714,0.4325889164598842
lstm_signmag_seed_72,0.0008191816836193855,-0.0049038371174516815,0.013610963101601481,0.005723018801071067,-0.018514800219053162,-0.012791781417982095,0.43243760160657935,0.3953488372093023,0.4392059553349876
lstm_signmag_seed_82,0.0026286305916717323,-0.003720394193048815,0.013143790437710634,0.006349024784720547,-0.01686418463075945,-0.010515159846038902,0.44429568709955053,0.42972699696663297,0.43837882547559964
lstm_signmag_seed_92,-0.0004914915941272024,0.022349024096216086,0.009511984927590755,-0.022840515690343288,0.01283703916862533,-0.010003476521717958,0.4425743521086354,0.44792719919110213,0.45161290322580644
lstm_signmag_seed_102,0.00018755780533152855,-0.0055606644042554,0.015041599722632415,0.005748222209586928,-0.020602264126887815,-0.014854041917300886,0.4261260399732237,0.41759352881698686,0.44086021505376344
lstm_signmag_seed_112,-0.0005593982478526716,-0.001007362535281553,0.0033358922143787995,0.0004479642874288814,-0.004343254749660352,-0.003895290462231471,0.4207707755570431,0.3953488372093023,0.41273779983457404
lstm_signmag_best_by_val,-0.0004914915941272024,0.022349024096216086,0.009511984927590755,-0.022840515690343288,0.01283703916862533,-0.010003476521717958,0.4425743521086354,0.44792719919110213,0.45161290322580644
lstm_signmag_top2_by_val,0.003027093725572305,0.01690998468984406,0.004508519227374164,-0.013882890964271755,0.012401465462469896,-0.0014814255018018585,0.4369321985273023,0.4499494438827098,0.45244003308519437
