split,mae,rmse,directional_accuracy,thresholded_directional_accuracy
train,0.01647208444774151,0.02450336515903473,0.42991934940354504,0.4986731053684852
val,0.012567926198244095,0.01839793100953102,0.4459678187184614,0.4915554034006619
test,0.017024213448166847,0.024614542722702026,0.4582355701548569,0.4963335143943509
