,raw_rel_score,alpha_rel_score,raw_directional_accuracy,alpha_directional_accuracy,alpha_pred_actual_q90_ratio,daily_q90_max
mean,0.00023678415985014153,-0.00029989643503806435,0.4963332090353345,0.5090229047312338,0.05178099746505419,0.09987758447726569
std,0.0013864804274689403,0.001320390877301697,0.006329522261259459,0.006471962786335275,0.00927192408145692,0.0011242838941579714
