score,policy,seeds,obs_coverage_mean,day_coverage_mean,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean
none,full_coverage,3,1.0,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_disagreement,abstain_zero_calibrated_p90_3p5,1,0.2500165376728187,1.0,0.0008437473252960181,0.050299396058000004,0.037221422800000015,0.0683377866,0.0699300148,359.0,169.0,0.0,0.0
risk_disagreement,abstain_zero_lowest_risk_available,2,0.20000661506912748,1.0,0.00017148885578954776,0.050241257150000024,0.03732359240000001,0.0683981948,0.06996970065,358.5,170.5,0.5,0.0
risk_disagreement,abstain_zero_q100,3,1.0,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_disagreement,abstain_zero_q30,3,0.3000099226036912,1.0,0.00037495047056368414,0.05027212430296669,0.03728177660000001,0.06828416366666668,0.07012971370233333,358.6666666666667,170.33333333333334,0.3333333333333333,0.0
risk_disagreement,abstain_zero_q40,3,0.4000132301382549,1.0,0.0006765716885333747,0.050268816500000015,0.037221983366666676,0.06824890546666668,0.0705943853,357.3333333333333,170.0,0.6666666666666666,0.0
risk_disagreement,abstain_zero_q50,3,0.5,1.0,0.0011866562021842775,0.05026603918,0.03723723556666668,0.06814996279200002,0.07197369991000001,360.0,171.33333333333334,2.3333333333333335,0.0
risk_disagreement,abstain_zero_q60,3,0.6000033075345638,1.0,0.0017586928128308459,0.050237176844000024,0.03717167396666668,0.06821829173333334,0.07457789987333335,360.3333333333333,171.33333333333334,3.3333333333333335,0.0
risk_disagreement,abstain_zero_q70,3,0.7000066150691274,1.0,0.001984069520281665,0.05024641560000001,0.037181745346666684,0.06810216636306667,0.07547885370333333,360.0,171.66666666666666,4.333333333333333,0.0
risk_disagreement,abstain_zero_q80,3,0.7999933849308726,1.0,0.003095873900114824,0.05018183947000001,0.03706908672566669,0.06793410498,0.07876911252666667,359.0,172.33333333333334,6.666666666666667,0.6666666666666666
risk_disagreement,abstain_zero_q90,3,0.8999966924654362,1.0,0.007568386377234966,0.049878742443333346,0.03719344800333335,0.067175380968,0.08436993716666667,362.0,171.0,10.0,1.0
risk_disagreement,calibrated_p90_3p5,1,0.2500165376728187,0.9408194233687405,0.007047994697313764,0.03137121039000001,0.026300531044000007,0.044103650761,0.07013689722000001,73.0,20.0,1.0,0.0
risk_disagreement,coverage_q100,3,1.0,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_disagreement,coverage_q30,3,0.3000099226036912,0.9590288315629744,0.004153833104924343,0.03267387843333334,0.027859015677833332,0.045176739676666695,0.07060515559966668,99.0,26.0,0.6666666666666666,0.0
risk_disagreement,coverage_q40,3,0.4000132301382549,0.9726858877086495,0.0015336384990228453,0.03387866231333333,0.029104967244666675,0.047228483911000006,0.07505063039333333,138.33333333333334,36.666666666666664,2.0,0.3333333333333333
