model,threshold,selected_rows,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return
linear_regression,0.0,302,1.0,0.5364238410596026,0.01922790429602649,0.011614759218543047,3.5076572840000004
linear_regression,0.0025,264,0.8741721854304636,0.5378787878787878,0.020303653551136364,0.012758033529924245,3.3681208519000005
linear_regression,0.005,233,0.7715231788079471,0.5364806866952789,0.02091144487811159,0.011992003213733905,2.7941367487999997
linear_regression,0.01,147,0.4867549668874172,0.6054421768707483,0.02443349516938776,0.021996678134013604,3.2335116857
linear_regression,0.015,107,0.3543046357615894,0.5887850467289719,0.027709539727102796,0.020012874755140183,2.1413775987999997
linear_regression,0.02,72,0.23841059602649006,0.6527777777777778,0.031189667497222223,0.02633882685833333,1.8963955337999998
lstm,0.0,302,1.0,0.5794701986754967,0.01922790429602649,0.017978141846357612,5.429398837599999
lstm,0.0025,272,0.9006622516556292,0.5882352941176471,0.022804396156617644,0.01971064603970588,5.3612957227999996
lstm,0.005,233,0.7715231788079471,0.5793991416309013,0.021455028489699574,0.019540870447639486,4.5530228143
lstm,0.01,189,0.6258278145695364,0.6349206349206349,0.020382294812698414,0.028825490422222214,5.448017689799999
lstm,0.015,147,0.4867549668874172,0.6666666666666666,0.01675366950068027,0.031992156930612234,4.702847068799999
lstm,0.02,129,0.4271523178807947,0.7131782945736435,0.02051946942325581,0.03800105113023255,4.902135595799999
