split,Date,n_predictions,q90_abs_error,base_abs_mean,base_abs_q90,base_prediction_std,feature_volatility_20_mean,feature_volatility_20_q90,feature_volume_ratio_20_mean,feature_volume_ratio_20_q90,feature_momentum_20_mean,feature_momentum_20_std,feature_bb_width_mean,feature_bb_width_q90,feature_abs_intraday_return_q90,feature_alpha_sector_std,feature_sector_momentum_rank_std,past_return_mean,past_return_std,past_abs_return_q90,past_breadth,leader_return_k10_w60,leader_abs_return_k10_w60,leader_return_excess_k10_w60,high_error_label,lstm_high_error_probability
train,2012-06-22,51,0.0423973142169415,0.0015545501407947,0.003199771977961,0.0019378364375551,0.0239393066663466,0.0321920201557826,0.696226138170375,1.3636144705426338,0.0181806536886469,0.066013001192436,0.1153818695213396,0.1848492976846767,0.024390243902439,0.0152988446316833,3.404956018834323,-0.006331505748181,0.0200155971854055,0.0384362522667924,0.2363636363636363,-0.004639198542099,0.004639198542099,0.0016923072060819,1,0.51498832
train,2012-06-25,50,0.0439571308277664,0.0017617658267044,0.0034754619002342,0.0020264906617858,0.0224774498629336,0.0307551723084472,0.9133877423826025,1.4125536300569894,-0.0203400588003743,0.0544368967355156,0.111780080068187,0.1823248036268593,0.0326557289582498,0.018850633833808,3.461980086951539,-0.0189736592438088,0.0196143468177518,0.0437071683826304,0.0727272727272727,-0.0174943352783972,0.0174943352783972,0.0014793239654115,1,0.644719185
train,2012-06-26,48,0.0391933366947341,0.0020118999836995,0.004264400107786,0.0025436144310424,0.0225259409502763,0.0312009795319241,0.9096096202619756,1.6018474438845909,-0.0431030939587119,0.054010244032812,0.1121797360394599,0.1869894272928303,0.0415845593197462,0.0233380168502606,3.432673110106912,-0.0154334284688938,0.0268302939283424,0.0442263304768609,0.1071428571428571,-0.0121794077856591,0.0121794077856591,0.0032540206832347,1,0.71844664
train,2012-06-27,50,0.0333915220806374,0.0030226235534518,0.0070392668712883,0.0033820878734976,0.023271283885407,0.0320570656149487,1.0677188620517852,1.5310366092259926,-0.055200416445908,0.0597981954463131,0.1230261178744401,0.1966404266637385,0.0376647244496822,0.0211061898733463,3.3745748031479192,-0.0035761328050051,0.0198555485628244,0.0373576316184751,0.2857142857142857,-0.0034563428400352,0.0034563428400352,0.0001197899649698,0,0.697834195
train,2012-06-28,50,0.0386198661173692,0.0031630006447812,0.0078693579882382,0.0035794578622848,0.0228421006119731,0.0326380156081052,0.8853525823827951,1.310544240989899,-0.0677823997062706,0.0648155475421577,0.1298842473185784,0.2178152043745994,0.0330534391472276,0.0224054119190447,3.652284719661022,0.0032783316998938,0.0189523361255549,0.0350222505796807,0.4,0.0078371161853995,0.0078371161853995,0.0045587844855056,1,0.6727953
train,2012-06-29,51,0.0453840538975783,0.0020458066627029,0.0054231616668403,0.0025954330480513,0.0228122650428962,0.0322806221601387,0.9082338717267135,1.8521173583753312,-0.0449846107373808,0.0637415589407764,0.1368099015014908,0.2298463671426135,0.0358814352574102,0.0229859052310735,3.412778753967126,0.0063629296014741,0.0238833897593148,0.0406101774381628,0.5357142857142857,0.0051808385029026,0.0051808385029026,-0.0011820910985714,1,0.660225675
train,2012-07-02,50,0.0472052383178379,0.0013979922196085,0.0032327286433427,0.0019986941004686,0.0227758755362164,0.0317473152468534,0.6886166302364731,1.327377299431484,-0.038104759100211,0.0644878140537451,0.1437319468982721,0.2378503640033706,0.0409880965502039,0.0257166221117622,3.4252364732904472,-0.013298654010815,0.0201738577008331,0.0400620275247141,0.1428571428571428,-0.0114815509765224,0.0114815509765224,0.0018171030342926,1,0.6992868
train,2012-07-03,48,0.0362397672608494,0.0018221802711953,0.0049674397800117,0.0020278154485825,0.0220270820243078,0.0315133334675771,0.7688467573036813,1.38359108552656,-0.0216817712794063,0.0683330871070758,0.1510434741848305,0.2545097544290834,0.0478964401294498,0.0207930632769413,3.306720000713784,-0.0201871889079378,0.0198493578204017,0.0470718934583103,0.0545454545454545,-0.0124986979996853,0.0124986979996853,0.0076884909082524,1,0.77920725
train,2012-07-04,50,0.047451575170271,0.0028963561769341,0.0066472978331148,0.0028122206002317,0.0221729460539055,0.030629361630996,0.9911156759719582,1.6292865743303493,-0.0576149923195499,0.0768735957414609,0.1626406071288378,0.275946792948225,0.0440399322251223,0.0217584066957537,3.569942547985663,-0.0082499808503937,0.0175900069448006,0.0379746970652645,0.125,-0.003376887297672,0.003376887297672,0.0048730935527217,1,0.7789357699999999
train,2012-07-05,50,0.0359528920147568,0.003022256322365,0.0071633890271186,0.003051456016385,0.0215203002187103,0.0299740463772237,0.6703941740637995,1.0906995372154715,-0.0830833770767727,0.0832184959173188,0.1761821278255962,0.3005806872332643,0.0397086050068421,0.020531101530827,3.598412348324109,0.0106523539565321,0.0225807698293642,0.0440097967314812,0.5892857142857143,0.0146838887047534,0.0146838887047534,0.0040315347482212,1,0.773436865
