gate_name,trade_count,coverage,directional_accuracy,avg_actual_return,subset_rel_score,calendar_final_equity,active_only_final_equity
baseline_threshold,152,0.13047210300429185,0.7105263157894737,0.004300608009868421,0.05220879118695343,1.4484494728170894,1.88613497285636
regime_gate,76,0.06523605150214593,0.7105263157894737,0.003482658356578948,0.03101182642538347,1.223683106629934,1.2949681835822078
bucket_gate_top20,117,0.10042918454935622,0.717948717948718,0.004350518725641026,0.011914709895654796,1.3395008277219391,1.638318071341431
regime_plus_bucket,64,0.054935622317596564,0.71875,0.0045298019265625,0.025598123397546746,1.278682953752687,1.3290719377720757
