code,stock_days,first_date,latest_date,hard_issue_rows,imputed_rows,close_violation_7pct_rows,close_violation_10pct_rows,close_violation_15pct_rows,adjust_jump_155pct_rows,adjust_jump_20pct_rows,coverage_pct,days_since_latest,is_recently_active,quality_score,quality_band
SBT,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
SCS,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
SJS,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
SSI,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
STB,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
TCB,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
TCH,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
TLG,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
TPB,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VCB,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VGC,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VHC,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VHM,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VIC,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VJC,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VNM,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VPB,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VPI,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
VRE,1550,2020-01-02,2026-03-23,0,0,0,0,0,0,0,1.0,0,True,100.0,high_trust
KOS,1547,2020-01-02,2026-03-23,0,0,0,0,0,0,0,0.9980645161290322,0,True,99.90322580645162,high_trust
IMP,1537,2020-01-02,2026-03-23,0,0,0,0,0,0,0,0.9916129032258064,0,True,99.58064516129032,high_trust
DXG,1550,2020-01-02,2026-03-23,0,0,1,0,0,0,0,1.0,0,True,98.5,high_trust
HDC,1550,2020-01-02,2026-03-23,0,0,1,0,0,0,0,1.0,0,True,98.5,high_trust
HSG,1550,2020-01-02,2026-03-23,0,0,1,0,0,0,0,1.0,0,True,98.5,high_trust
KBC,1550,2020-01-02,2026-03-23,0,0,1,0,0,0,0,1.0,0,True,98.5,high_trust
NLG,1550,2020-01-02,2026-03-23,0,0,1,0,0,0,0,1.0,0,True,98.5,high_trust
FTS,1549,2020-01-02,2026-03-23,0,0,1,0,0,0,0,0.9993548387096775,0,True,98.46774193548387,high_trust
DGC,1544,2020-01-02,2026-03-23,0,0,1,0,0,0,0,0.9961290322580645,0,True,98.30645161290323,high_trust
GVR,1544,2020-01-02,2026-03-23,0,0,1,1,0,0,0,0.9961290322580645,0,True,98.30645161290323,high_trust
GMD,1550,2020-01-02,2026-03-23,0,0,0,0,0,1,0,1.0,0,True,97.5,high_trust
DIG,1550,2020-01-02,2026-03-23,0,0,2,0,0,0,0,1.0,0,True,97.0,high_trust
NKG,1550,2020-01-02,2026-03-23,0,0,2,0,0,0,0,1.0,0,True,97.0,high_trust
VCI,1550,2020-01-02,2026-03-23,0,0,2,0,0,0,0,1.0,0,True,97.0,high_trust
SZC,1550,2020-01-02,2026-03-23,0,0,1,0,0,1,1,1.0,0,True,96.0,high_trust
CTD,1550,2020-01-02,2026-03-23,0,0,3,0,0,0,0,1.0,0,True,95.5,high_trust
PAN,1543,2020-01-02,2026-03-23,0,0,3,0,0,0,0,0.9954838709677419,0,True,95.2741935483871,high_trust
VSC,1550,2020-01-02,2026-03-23,0,0,1,0,0,2,2,1.0,0,True,93.5,high_trust
HCM,1550,2020-01-02,2026-03-23,0,0,0,0,0,3,0,1.0,0,True,92.5,high_trust
VCG,1545,2020-01-02,2026-03-23,0,0,5,1,0,0,0,0.9967741935483871,0,True,92.33870967741936,high_trust
MSB,1305,2020-12-23,2026-03-23,0,0,0,0,0,0,0,0.8419354838709677,0,True,92.09677419354838,high_trust
ACB,1545,2020-01-02,2026-03-23,0,0,6,0,0,0,0,0.9967741935483871,0,True,90.83870967741936,high_trust
SSB,1246,2021-03-24,2026-03-23,0,0,0,0,0,0,0,0.8038709677419354,0,True,90.19354838709677,high_trust
PVD,1550,2020-01-02,2026-03-23,1,0,0,0,0,0,0,1.0,0,True,90.0,good
OCB,1280,2021-01-28,2026-03-23,0,0,3,3,2,0,0,0.8258064516129032,0,True,86.79032258064517,good
DXS,1162,2021-07-15,2026-03-23,0,0,2,0,0,0,0,0.7496774193548387,0,True,84.48387096774194,good
