Date,long_count,short_count,long_mean_prediction,short_mean_prediction,long_return,short_return,long_short_return,equity
2013-01-07,10,10,0.008654373659999999,0.000968482295,0.034262353999999995,0.0243971343,0.009865219699999993,1.0098652197
2013-01-08,11,11,0.013785534227272729,0.004853673609090909,-0.0011669269999999995,-0.0018211708909090893,0.0006542438909090899,1.0105259178506303
2013-01-09,12,12,0.01108354225,0.0009407018266666666,0.029919507666666664,0.013665850583333333,0.01625365708333333,1.0269506595931952
2013-01-10,12,12,0.007206271366666667,-0.0003377412383333334,-0.0026859980416666664,-0.008074737675,0.005388739633333334,1.0324846293140229
2013-01-11,12,12,0.003180779225,-0.0068627235333333335,0.007327043575,-0.020489731841666664,0.027816775416666665,1.0612050223688114
2013-01-14,12,12,0.004283154308333333,-0.0042897280000000005,0.0322324842,0.017454719724999998,0.014777764475000003,1.076887260249065
2013-01-15,12,12,0.006923439699999999,-0.0012533737975308334,0.02687108516666667,0.011012561524999999,0.01585852364166667,1.0939651023251342
2013-01-16,13,13,0.009478146623076923,-0.00011199032769230759,-0.005018090769230769,-0.01443868566923077,0.0094205949,1.1042709043888763
2013-01-17,12,12,0.006058556824999999,-0.002894750182500001,-0.008207675808333334,-0.005642619208333334,-0.0025650566,1.1014383870173856
2013-01-18,12,12,0.0006146637183333333,-0.006034327850000001,-0.005891749216666666,-0.02513617475,0.019244425533333335,1.1226349360358965
2013-01-21,12,12,0.0034814483416666666,-0.004112379008333333,-0.026522588883333333,-0.02138955825,-0.005133030633333334,1.116872416519174
2013-01-22,12,12,0.007040944191666666,-0.0025708690975833333,-0.003757584108333333,-0.0011332635583333336,-0.00262432055,1.1139413852847746
2013-01-23,12,12,0.007014257425,-0.0013540770960000002,0.027866823083333336,0.013521896666666667,0.014344926416666669,1.1299207924891643
2013-01-24,12,12,0.008054168016666667,0.0017899097558333333,0.04376509079166666,0.010492347450000002,0.03327274334166666,1.1675163570140688
2013-01-25,12,12,0.014209499291666665,0.006984253141666666,0.02102119768333333,0.01461805285,0.006403144833333329,1.1749921333433155
2013-01-28,12,12,0.018628093416666665,0.010174511666666669,0.008763167300000001,0.013349023858333331,-0.00458585655833333,1.169603787962633
2013-01-29,12,12,0.015194512625000002,0.00751190445,0.009272551291666667,-0.0005035374749999995,0.009776088766666666,1.1810379384155854
2013-01-30,12,12,0.010058999083333334,-0.0004478112591666666,-0.006545443299999999,-0.01952982045,0.01298437715,1.1963729804364318
2013-01-31,12,12,0.0030192916491666665,-0.005901553791666666,0.008971220083333334,0.007088717166666668,0.0018825029166666656,1.1986251560615246
2013-02-01,12,12,-0.001240956075,-0.007344801291666667,0.002501098583333333,-0.0006618144583333344,0.0031629130416666673,1.2024163031997013
2013-02-04,11,11,0.0035192742818181823,-0.003101769490909091,0.010827024999999999,-0.010340294909090912,0.02116731990909091,1.227868233753436
2013-02-05,12,12,0.004948497625,-0.0038009969000000004,0.034183946141666664,0.019692355916666664,0.014491590225,1.2456619970472853
2013-02-06,12,12,0.007194904016666667,3.6234547499999966e-05,0.020386450166666667,-0.0028020400249999995,0.023188490191666668,1.2745470180479481
2013-02-07,12,12,0.005721956425000001,-0.0005716060087500001,0.020512463766666666,0.017864230633333335,0.0026482331333333303,1.277922315691134
2013-02-08,12,12,0.007060680424999999,-0.0022241673000000005,0.021773603533333335,0.00729601975,0.014477583783333334,1.2964235430851436
2013-02-18,12,12,0.006643884558333333,-0.0002806063285833333,-0.006134170375,-0.012152276875,0.006018106499999999,1.3042255580365374
2013-02-19,12,12,0.0067763002416666674,-0.001881190969416667,0.012385231808333334,0.006589184608333333,0.005796047200000001,1.3117849109303636
2013-02-20,13,13,0.005393494176923077,-0.002618401448461538,-0.037046103846153845,-0.03262696492307692,-0.0044191389230769235,1.3059879511717662
2013-02-21,12,12,0.005264443783333333,-0.005414778766666666,0.013477481599999999,-0.002902814458333333,0.016380296058333334,1.327380420460576
2013-02-22,11,11,0.005602515345454546,-0.003282170518181818,0.020465651054545453,-0.0016896660727272728,0.022155317127272724,1.3567889546244127
2013-02-25,12,12,0.004699049091666667,-0.003415956683333334,-0.040082625749999996,-0.04232276916666666,0.0022401434166666664,1.3598283564689204
2013-02-26,12,12,0.010104907458333335,-0.00036769529164166673,0.01634565175,0.006730635999999998,0.00961501575,1.3729031275336656
2013-02-27,12,12,0.003761333966666667,-0.003865038258333333,0.012456072975000001,0.019767997191666664,-0.007311924216666663,1.3628645639083148
2013-02-28,12,12,0.004770411608333334,-0.003319599666666666,0.008184626575000001,-0.008841916125,0.0170265427,1.3860694356000167
2013-03-01,12,12,0.004365515583333333,-0.002942445575000001,-0.04162898066666667,-0.02704398866666666,-0.014584992000000008,1.365853623970346
2013-03-04,11,11,0.0024181222590909093,-0.006180801672727274,0.0002637590363636366,-0.022051479636363634,0.02231523867272727,1.3963329735812537
2013-03-05,12,12,0.008790819841666667,0.0008062647486666666,0.021052111083333328,0.02106146175,-9.350666666671503e-06,1.3963199169370621
2013-03-06,11,11,0.004755700572727273,-0.0027251230454545454,-0.005029728681818181,-0.011072712054545455,0.006042983372727274,1.4047578549781208
2013-03-07,11,11,0.007218202963636363,-0.0015172783818181816,0.017327195927272727,-0.0022559317818181823,0.01958312770909091,1.4322674074525061
2013-03-08,11,11,0.005436493227272727,-0.003141045218181819,0.03238756427272727,0.026182078036363632,0.00620548623636364,1.4411553231362448
2013-03-11,12,12,0.008233755508333334,-0.0020553380749999996,0.012075733083333332,-0.013120758974999999,0.025196492058333332,1.4774673817904722
2013-03-12,12,12,0.008687874516666666,-0.0010792878250000001,0.008876995483333336,-0.01281539275,0.021692388233333335,1.5095171778383576
2013-03-13,12,12,0.00424168525,-0.005787069591666667,0.017720920491666663,0.002230972,0.015489948491666664,1.5328995211703598
2013-03-14,13,13,0.0057217941769230765,-0.0022062339153846155,0.012594257292307691,0.010291695546153846,0.002302561746153845,1.5364291169685043
2013-03-15,12,12,0.004604674075,-0.006536058958333333,0.010873024158333333,-0.013199483449999999,0.02407250760833333,1.5734148185763932
2013-03-18,12,12,0.004203016083333334,-0.0031045752249999996,0.002735009341666666,-0.0016334922749999998,0.004368501616666666,1.5802882837550314
2013-03-19,12,12,0.005422967558333333,-0.002247491999166667,0.018189452416666665,0.0068531102916666664,0.011336342125,1.5982029723958073
2013-03-20,12,12,0.005249939558333333,-0.0013493142766666663,0.008720497833333334,-0.005067872766666666,0.013788370599999999,1.6202395872732223
2013-03-21,12,12,0.008639798525,-0.001265004045,-0.013440831275,-0.010189257583333333,-0.0032515736916666673,1.614971258857048
2013-03-22,13,13,0.003544832503076923,-0.004254336184615385,0.006341402792307692,0.012186302692307692,-0.0058448999,1.6055319135076516
2013-03-25,12,12,0.004836363891666666,-0.003150874695,0.007553131166666667,-0.007583481949999999,0.015136613116666666,1.6298342289288783
2013-03-26,12,12,0.005929565091666668,-0.0011440211008333335,0.0019968384083333336,-0.0027187111499999994,0.004715549558333333,1.6375197930072605
2013-03-27,12,12,0.0046900775,-0.0015619688070833335,-0.011961487299999999,-0.0112460477,-0.0007154395999999993,1.6363482465015593
2013-03-28,12,12,0.005065962283333334,-0.0031268534249999994,0.0055362286333333335,0.00022278740833333305,0.005313441225000001,1.6450428867329772
2013-03-29,12,12,0.002143431332,-0.006788266766666666,0.03427695787500001,0.014031940625000001,0.020245017250000004,1.678346808351876
2013-04-01,13,13,0.005704885461538462,-0.0034802251307692314,0.014465051084615385,-0.0028552782307692303,0.017320329315384617,1.707416327777955
2013-04-02,13,13,0.010297462,0.0030313089423076927,0.00794986326153846,-0.010968018246153845,0.018917881507692306,1.7397170275511575
2013-04-03,13,13,0.0069243533,-0.0019893216007692313,0.0020489067384615385,-0.01816006484615385,0.020208971584615387,1.7748749195262106
2013-04-04,13,13,0.0038850712384615386,-0.0046341317230769235,0.012183240846153846,0.0002143055153846153,0.011968935330769231,1.796118282658224
2013-04-05,13,13,0.002885474430769231,-0.0046259864000000005,0.013681829946153847,-0.0035050800923076926,0.01718691003846154,1.826988006000707
2013-04-08,13,13,0.005286018615384616,-0.0038569409615384614,0.005731306384615383,-0.0025806720769230777,0.008311978461538461,1.842173890956074
2013-04-09,13,13,0.0070768316923076925,0.00028067738769230774,-0.017141066192307694,-0.018480902884615385,0.0013398366923076908,1.844642103128788
2013-04-10,13,13,0.006565480407692308,-0.0032495622461538457,0.020823527884615386,-0.0032167546692307694,0.024040282553846156,1.8889878204987252
2013-04-11,12,12,0.0054860744500000004,-0.004100836208333333,-0.014654185525,-0.02369468904166667,0.009040503516666671,1.9060652215328846
2013-04-12,12,12,-0.000543933322,-0.007702934408333333,-0.026087567524999997,-0.030819312583333338,0.004731745058333341,1.9150842362257339
2013-04-15,12,12,0.0022607394166666668,-0.006106142233333333,-0.016907440033333332,-0.0016665241333333324,-0.015240915899999999,1.8858965984400018
2013-04-16,12,12,0.004281924416666667,-0.003783202925,0.005231393833333334,-0.006004484333333333,0.011235878166666668,1.9070863028550047
2013-04-17,12,12,0.002568852891666667,-0.0051432050583333335,-0.004710651083333332,-0.02201835066666667,0.017307699583333336,1.9400935796643088
2013-04-18,12,12,0.004296733791666667,-0.004464938783333333,3.8302183333333656e-05,-0.036430657500000005,0.03646895968333334,2.0108467742029803
2013-04-22,11,11,0.0011952487395454547,-0.00597601910909091,0.01722491397272727,0.005124404954545454,0.012100509018181818,2.035179043728405
2013-04-23,12,12,0.004904920108333333,-0.001552073988333333,0.0046322058,0.014200622308333332,-0.009568416508333333,2.01570560296898
2013-04-24,12,12,0.005614353449999999,-0.004822542925,0.008017916483333333,0.007678975333333333,0.00033894115,2.016388808544112
2013-04-25,11,11,0.003946162581818182,-0.0036214290000000007,0.004143900727272726,-0.007975121045454546,0.012119021772727272,2.040825468417142
2013-04-26,12,12,0.0005339337375000001,-0.006734360974999999,-0.010947927491666667,0.003180721166666666,-0.014128648658333333,2.0119913624008974
2013-05-02,12,12,0.0012579877173333335,-0.006377294933333333,0.014234125533333334,0.0027204684000000003,0.011513657133333334,2.0351567411028095
2013-05-03,13,13,0.005172918107692308,-0.0036682831999999997,0.03771849378461538,0.036099319000000005,0.0016191747846153737,2.0384520155807433
2013-05-06,12,12,0.012419812458333334,0.005555614350000001,-0.0021840101999999998,-0.004448303166666668,0.0022642929666666684,2.0430676681425104
2013-05-07,12,12,0.014799054291666667,0.005700607991666666,0.001499505441666666,-0.015071803558333334,0.016571309,2.076923973779209
2013-05-08,12,12,0.010361414041666668,0.0022243805275000005,0.01731170754166667,0.0051457860833333344,0.012165921458333335,2.102191667719137
2013-05-09,12,12,0.00819311155,0.0013162343599999998,-0.0038698532500000007,-0.004653256283333333,0.0007834030333333324,2.103838531048276
