split,mae,rmse,directional_accuracy,thresholded_directional_accuracy
train,0.016436293721199036,0.02448866330087185,0.4329009407358946,0.5020613433952373
val,0.012633985839784145,0.018470121547579765,0.43938035465232117,0.4829830427513733
test,0.017278997227549553,0.024872997775673866,0.4658712766820875,0.5022709182001217
