model,threshold,selected_rows,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return
linear_regression,0.0,302,1.0,0.5165562913907285,0.004089900708278146,0.0011978028334437086,0.36173645569999996
linear_regression,0.0025,208,0.6887417218543046,0.4951923076923077,0.006742716833173077,0.0015113334004807691,0.3143573473
linear_regression,0.005,118,0.39072847682119205,0.5084745762711864,0.008904896260169489,0.0031303406161016945,0.36938019269999994
linear_regression,0.01,23,0.076158940397351,0.5652173913043478,0.026232791447826087,0.00702677666521739,0.16161586329999997
linear_regression,0.015,5,0.016556291390728478,0.6,0.05158224299999999,0.05158224299999999,0.25791121499999997
linear_regression,0.02,1,0.0033112582781456954,1.0,0.09195396,0.09195396,0.09195396
lstm,0.0,302,1.0,0.48344370860927155,0.004089900708278146,0.0010913238360927154,0.3295797985
lstm,0.0025,246,0.8145695364238411,0.4715447154471545,0.005613821023577235,0.0014169710398373983,0.34857487579999996
lstm,0.005,186,0.6158940397350994,0.45161290322580644,0.00665397372204301,-0.0009414016435483876,-0.17510070570000008
lstm,0.01,87,0.28807947019867547,0.5057471264367817,0.008289636640229886,-0.003992002624137932,-0.3473042283000001
lstm,0.015,36,0.11920529801324503,0.5833333333333334,0.011642858025000001,-0.0004871706972222224,-0.017538145100000006
lstm,0.02,17,0.056291390728476824,0.5882352941176471,0.00021419814117647003,0.00021419814117647003,0.0036413683999999905
