run_name,lstm_units,dropout,lr,val_rel_score,test_directional_accuracy,test_rel_score,test_mse,test_mae
lstm_units_32_dropout_0.2_lr_0.001,32,0.2,0.001,0.002373719466391644,0.45974683544303796,-0.0033797640077848357,0.0026783894281834364,0.03718693554401398
lstm_units_32_dropout_0.2_lr_0.0005,32,0.2,0.0005,0.00807733902487262,0.479493670886076,-0.005802032523788414,0.002652192022651434,0.037078723311424255
lstm_units_32_dropout_0.3_lr_0.001,32,0.3,0.001,-0.0019041437987370458,0.48481012658227846,0.0008029561988814882,0.0026445966213941574,0.03686317428946495
lstm_units_32_dropout_0.3_lr_0.0005,32,0.3,0.0005,0.004170961028552633,0.47240506329113924,-0.0160690615163821,0.002749171108007431,0.03776801750063896
lstm_units_64_dropout_0.2_lr_0.001,64,0.2,0.001,0.0004961070834030856,0.5022784810126583,-0.0016593888563689596,0.0026255855336785316,0.036901265382766724
lstm_units_64_dropout_0.2_lr_0.0005,64,0.2,0.0005,0.0003748662291082061,0.49645569620253166,0.004802293366571786,0.0026173386722803116,0.03672316297888756
lstm_units_64_dropout_0.3_lr_0.001,64,0.3,0.001,0.011117844723476211,0.46784810126582277,-0.017827755839166626,0.0027514707762748003,0.03777291625738144
lstm_units_64_dropout_0.3_lr_0.0005,64,0.3,0.0005,0.0018661919101095048,0.4549367088607595,-0.03742349582697502,0.0027886205352842808,0.03823545202612877
lstm_units_128_dropout_0.2_lr_0.001,128,0.2,0.001,0.010677340967162774,0.4729113924050633,-0.011453094302273259,0.0027322378009557724,0.03761693835258484
lstm_units_128_dropout_0.2_lr_0.0005,128,0.2,0.0005,-5.857037827849965e-06,0.49949367088607594,-0.0031897377771932245,0.0026473617181181908,0.036970216780900955
lstm_units_128_dropout_0.3_lr_0.001,128,0.3,0.001,0.0030084723347789666,0.49544303797468353,-0.0018773385691690514,0.002626142231747508,0.03678727149963379
lstm_units_128_dropout_0.3_lr_0.0005,128,0.3,0.0005,0.005447761485221858,0.4789873417721519,-0.002441957522792526,0.0026558763347566128,0.0370083712041378
