selection_type,pair_name,seed_a,seed_b,val_rel_score,test_rel_score,val_abs_loss,test_abs_loss,val_pred_abs_over_actual_abs,val_pos_rate_gap,val_corr,test_pred_abs_over_actual_abs,test_pos_rate_gap,test_corr,selection_score
val_max,lstm_seed_142__lstm_seed_62,lstm_seed_142,lstm_seed_62,0.030367359528621,-0.0005592006842749,0.0146878585626836,0.0169548637612024,0.1160779434027608,-0.197592778335005,0.0524808126001175,0.1105667063098772,-0.2206008583690986,0.0837367339223193,0.0238461727340414
balanced,lstm_seed_142__lstm_seed_72,lstm_seed_142,lstm_seed_72,0.0205137653507185,0.0229717216323014,0.014837119418371,0.0165561231551691,0.1334778651676414,-0.2708124373119357,0.0558990281464739,0.1258912493535557,-0.2506437768240342,0.0659249366809967,0.009526999579175
frontier,lstm_seed_122__lstm_seed_72,lstm_seed_122,lstm_seed_72,0.0189344550616016,0.0388339190333835,0.0148610425880178,0.0162873320674407,0.1122546196181857,-0.1965897693079237,0.0524405036043539,0.1122304646245779,-0.167381974248927,0.0717139407044356,0.0121876430864225
