split,Date,n_predictions,q90_abs_error,base_abs_mean,base_abs_q90,base_prediction_std,feature_volatility_20_mean,feature_volatility_20_q90,feature_volume_ratio_20_mean,feature_volume_ratio_20_q90,feature_momentum_20_mean,feature_momentum_20_std,feature_bb_width_mean,feature_bb_width_q90,feature_abs_intraday_return_q90,feature_alpha_sector_std,feature_sector_momentum_rank_std,past_return_mean,past_return_std,past_abs_return_q90,past_breadth,leader_return_k10_w60,leader_abs_return_k10_w60,leader_return_excess_k10_w60,high_error_label,lstm_high_error_probability,trading_day_in_year
train,2017-10-23,75,0.02643549244967292,0.0012571024315062625,0.002641437342390361,0.0014736192016658234,0.014827997016310055,0.021826393956303404,1.0131699104166323,1.548085745244644,0.008180869766646094,0.06335146657810323,0.10177464995133952,0.18543576979284573,0.024267469333335963,0.014607659507119097,4.208528449673556,-0.016833807751735045,0.017680100447571175,0.036879941899572624,0.07792207792207792,-0.019279139206307035,0.019279139206307035,-0.0024453314545719897,0,0.27503353,200
train,2017-10-24,74,0.02400306563376946,0.0011396976218965827,0.00257128644734615,0.0015659748708697738,0.0152977232847142,0.022176955620699622,1.2573789621553229,2.1206953404183286,-0.007788935647251591,0.06314312654253416,0.10446211174971652,0.18510748879308872,0.04082592747226532,0.02114409909102171,4.100821203461807,0.005728385599911731,0.015067752257731128,0.027440354057141913,0.5974025974025974,-0.0014879911314494777,0.0014879911314494777,-0.0072163767313612095,0,0.20269056,201
train,2017-10-25,73,0.02475161330658008,0.0010738294826395825,0.0020693481666966993,0.0014546402634395311,0.015148433594121023,0.022206406860041557,0.963290566894419,1.5942239181476285,-0.004268521195966392,0.06851705621290057,0.10638898269356854,0.18431849327383198,0.028281372805868357,0.01643339281978828,4.28183306170861,0.004352386386398004,0.017594323350575397,0.02574616464677546,0.5194805194805194,0.008926314373382767,0.008926314373382767,0.004573927986984763,0,0.19625837,202
train,2017-10-26,74,0.030258552235318356,0.0008715683674184488,0.0015391438384539703,0.0010725244671817423,0.01515003109990069,0.021655168021868,0.8921695973533117,1.6609984301078702,-0.000719289881859417,0.06964884163843785,0.10739755495062533,0.18342786372391537,0.023672810712896213,0.01665194752772078,4.385445957463719,-0.006500961078402422,0.011847369556880314,0.022032338520986405,0.23376623376623376,-0.0012257892071480085,0.0012257892071480085,0.005275171871254414,0,0.20009917,203
train,2017-10-27,75,0.03177709754672833,0.0008327329076564138,0.0017021850449964004,0.0010825757453728816,0.01507715437029403,0.0212093230747331,0.9622689483309277,1.6130524071663652,-0.005479892565542388,0.07086591249602872,0.10729589583749466,0.1843184505352867,0.025123290457064424,0.012972616211858823,4.379806240315055,0.004985217283716667,0.016248016380571165,0.031752609864654766,0.5974025974025974,0.0054864926697216695,0.0054864926697216695,0.000501275386005003,0,0.1849048,204
train,2017-10-30,73,0.025801295708515637,0.001176523168695631,0.00215356638655062,0.0011185399555960246,0.015230267995789483,0.02113767511984744,0.8472158365915673,1.4465898383600246,-0.0005217645051865451,0.07519073119992165,0.10881397300002621,0.19110418083448402,0.030524006712185116,0.017203191515549773,4.3930292783553195,-0.00583522772725404,0.01955352460865903,0.03186038222993681,0.27631578947368424,-0.016572682705923863,0.016572682705923863,-0.010737454978669823,0,0.25453675,205
train,2017-10-31,74,0.033047521457774585,0.001083242099411971,0.00228463541716336,0.0013190182968970314,0.015505887734480781,0.021128841072926167,1.0912897725144326,1.7147590619388993,-0.0016821555283980205,0.07634065346873675,0.11004368259956591,0.18661379248003968,0.0283441076733681,0.022711625379647087,4.259297385362601,-0.005949933438698957,0.015921294805874696,0.024715762839011668,0.2077922077922078,-0.0007482814124772662,0.0007482814124772662,0.005201652026221691,0,0.22571875,206
train,2017-11-01,75,0.04834298463538289,0.0011271161027737258,0.0023707988206296627,0.0013992455390583758,0.015605304706249065,0.02111367338417306,0.9513711497702909,1.513903379523276,-0.002278840616233162,0.0767987052735465,0.11133980973573038,0.1697722575467234,0.03279519933039434,0.01813867724127903,4.166576575602607,-0.0018968382395373477,0.019664455377942786,0.034069980023895156,0.47435897435897434,-0.0012896493176851936,0.0012896493176851936,0.0006071889218521541,1,0.22616392,207
train,2017-11-02,74,0.04337810220313256,0.0011174689308382614,0.0024642553413286505,0.0013711509778916789,0.016116595520660817,0.02231849785672631,0.9463101691739819,1.6331084256363877,-0.00845486664246951,0.0801690113998756,0.11485726908715739,0.1813848336106303,0.03253325065218314,0.023347347887303357,3.7057646438630307,-0.011760494236738837,0.024556061692902705,0.047935863333107065,0.24675324675324675,-0.019431088496933313,0.019431088496933313,-0.007670594260194476,1,0.4277998,208
train,2017-11-03,73,0.037191865732893355,0.0014152904778923054,0.0027602621354162597,0.0017753300344867053,0.016938068484917836,0.0232729763233407,1.1391250087370803,1.9176271199247323,-0.019436826381915677,0.08505899551983824,0.12223268020028896,0.20271446418748057,0.047031997683726956,0.027737364826261497,3.8577246627799133,0.009371150391241534,0.02306628018584121,0.042517116639983574,0.5584415584415584,0.023326800507924787,0.023326800507924787,0.013955650116683253,1,0.5567894,209
