model,split,n_days,spike_rate,auc,average_precision,top20_days,top20_spike_rate,rest_spike_rate,top20_median_q90_abs_error,rest_median_q90_abs_error
daily_lstm,train,1930,0.36528497409326427,0.7978717614705457,0.7127239110866321,386,0.7564766839378239,0.26748704663212436,0.04125156600930485,0.029103602821123738
daily_lstm,val,619,0.5476575121163166,0.7853244837758113,0.7954832853676735,124,0.8548387096774194,0.4707070707070707,0.05708195316037747,0.03374075207393612
