accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6274611353874207,0.6628322601318359,0.6545717120170593,0.7059773802757263,0.7576116919517517,0.6179001331329346
0.6963730454444885,0.7465444803237915,0.6031541228294373,0.6978998184204102,0.7627265453338623,0.5890421271324158
0.7103626728057861,0.7574751377105713,0.5884882807731628,0.6995153427124023,0.770085334777832,0.5779294967651367
0.7181347012519836,0.7704426050186157,0.5756316184997559,0.7043618559837341,0.7751263976097107,0.5701057314872742
0.7108808159828186,0.7665503025054932,0.5782305598258972,0.7189014554023743,0.779177188873291,0.5653823018074036
0.7212435007095337,0.7788166403770447,0.566832423210144,0.7156704068183899,0.7803887128829956,0.5639205574989319
0.719689130783081,0.7735573649406433,0.5721216201782227,0.7108238935470581,0.7802781462669373,0.5638798475265503
0.7217616438865662,0.778583288192749,0.5661404132843018,0.7124394178390503,0.7830488681793213,0.5610727667808533
0.7202072739601135,0.7761094570159912,0.5683358311653137,0.7189014554023743,0.7845343351364136,0.5589946508407593
0.7222797870635986,0.7830968499183655,0.5614169836044312,0.7156704068183899,0.7836124897003174,0.5614499449729919
0.7170984745025635,0.7820964455604553,0.5624369978904724,0.7140549421310425,0.7834545373916626,0.562821090221405
0.7217616438865662,0.7810502052307129,0.5628544092178345,0.7059773802757263,0.781984806060791,0.5651222467422485
0.7310881018638611,0.7933617234230042,0.5497789978981018,0.7108238935470581,0.7840445041656494,0.562811017036438
0.7227979302406311,0.787330150604248,0.5572906136512756,0.7124394178390503,0.7853560447692871,0.5617942810058594
0.7259067296981812,0.7876242399215698,0.5545271039009094,0.7140549421310425,0.7850136756896973,0.5631723999977112
0.727979302406311,0.7918697595596313,0.5528451204299927,0.7140549421310425,0.7852770686149597,0.566360592842102
0.7300518155097961,0.7900466322898865,0.5531668066978455,0.7189014554023743,0.783991813659668,0.5665375590324402
0.7388601303100586,0.7947037220001221,0.5503888726234436,0.7140549421310425,0.7836862802505493,0.5680188536643982
0.7326424717903137,0.7965274453163147,0.546914279460907,0.7140549421310425,0.7829593420028687,0.5699595808982849
