feature_a,feature_b,pearson_corr,abs_corr
bb_position,rsi_14,0.8523,0.8523
momentum_20,ma_20_gap,0.8453,0.8453
volume_ratio_20,volume_zscore_20,0.8441,0.8441
ma_20_gap,rsi_14,0.8338,0.8338
ma_20_gap,bb_position,0.8313,0.8313
ma_20_gap,rolling_max_20_gap,0.7873,0.7873
atr_gap,volatility_20,0.7782,0.7782
volatility_20,bb_width,0.7629,0.7629
momentum_5,ma_20_gap,0.7538,0.7538
