policy,base_sharpe,base_max_dd,base_final_equity,best_overlay,best_sharpe,best_max_dd,best_final_equity,sharpe_delta,dd_delta
full_none_r10_k10_m1,1.157696437088605,-0.49536733997944127,2.3361346935269722,dd_stop_t8_p5,3.250644340457057,-0.12013281365534234,5.294615571499869,2.092947903368452,0.3752345263240989
full_none_r20_k10_m1,1.1509171492745263,-0.49579474763865317,2.308626890566598,dd_vol_t8_p5_tv7,3.188111798174863,-0.057942709245955015,2.3830299252242795,2.0371946489003365,0.43785203839269815
conf_ratio_q70_none_r20_k10_m1,1.3125006940347854,-0.3631383632706263,2.4213593088298024,dd_vol_t8_p5_tv7,2.981386991938723,-0.0668727507026351,2.120505581613332,1.6688862979039374,0.2962656125679912
abs_mu_q60_pressure_nonneg_r10_k8_m1,1.3443208609322077,-0.24553235016080477,2.1282792401210036,dd_stop_t8_p5,2.5794167263598897,-0.07191613917203421,3.19731465044583,1.235095865427682,0.17361621098877056
daily_bot_sig_50pct_none_r20_k10_m1,1.1434241544566455,-0.3738706109956591,1.9464702974926398,dd_stop_t8_p5,2.570375603450992,-0.08831064142059475,2.9007953972366627,1.4269514489943467,0.28555996957506435
abs_mu_q60_pressure_nonneg_r10_k8_m5,1.3067215343181904,-0.24553235016080477,2.0759781396863612,dd_stop_t8_p5,2.5447529914996356,-0.06998842863804688,3.1345643487019768,1.2380314571814452,0.17554392152275788
abs_mu_q60_pressure_nonneg_r10_k8_m3,1.3107474727056085,-0.24553235016080466,2.082184883662859,dd_stop_t8_p5,2.539521469073296,-0.07191613917203421,3.128067082538282,1.2287739963676874,0.17361621098877045
abs_mu_q60_pressure_nonneg_r20_k8_m1,1.3049272558886786,-0.24553235016080455,2.1203275992258264,dd_stop_t8_p5,2.3882571635396097,-0.08359475813294515,2.877769497347722,1.083329907650931,0.1619375920278594
abs_mu_q60_pressure_nonneg_r20_k8_m5,1.2913878826866596,-0.24553235016080444,2.0986903823965224,dd_stop_t8_p5,2.3851638725718565,-0.08169130510169376,2.8628690736495646,1.0937759898851969,0.16384104505911068
abs_mu_q60_pressure_nonneg_r20_k8_m3,1.2953804117195253,-0.24553235016080466,2.104976815084816,dd_stop_t8_p5,2.379895866165063,-0.08359475813294515,2.8569349723537933,1.0845154544455378,0.1619375920278595
abs_mu_q60_pressure_nonneg_r10_k15_m1,1.2668765859035918,-0.25633362592548437,1.9731790732179009,dd_vol_t8_p5_tv7,2.353592526751583,-0.07176014543295717,1.7384374206861202,1.0867159408479914,0.1845734804925272
abs_mu_q60_pressure_nonneg_r20_k10_m6,1.317648844333505,-0.25465294400471594,2.090472240817725,dd_vol_t8_p5_tv7,2.3331286898685133,-0.05337638899031416,1.7946721796662959,1.0154798455350083,0.20127655501440178
abs_mu_q60_pressure_nonneg_r10_k15_m3,1.2318024093710223,-0.25633362592548425,1.9304559396978582,dd_vol_t8_p5_tv7,2.330921888386994,-0.07176014543295717,1.723003854407218,1.099119479015972,0.1845734804925271
abs_mu_q60_pressure_nonneg_r20_k5_m5,1.1842876773256306,-0.2318970344866439,2.0000838276408874,dd_vol_t8_p5_tv7,2.322578466034086,-0.05635689552274736,1.743280268338869,1.1382907887084555,0.17554013896389653
daily_bot_sig_50pct_none_r10_k10_m1,0.8540820547627167,-0.4085990681694943,1.60594252852288,dd_stop_t8_p5,2.3028318560297296,-0.07737769791591587,2.564245407428715,1.448749801267013,0.33122137025357845
full_pressure_nonneg_r20_k5_m5,1.2008767617487852,-0.23189703448664367,2.024139352886844,dd_vol_t8_p5_tv7,2.3027721717253575,-0.05635689552274736,1.7348174840668975,1.1018954099765723,0.1755401389638963
full_pressure_nonneg_r20_k5_m6,1.2008767617487852,-0.23189703448664367,2.024139352886844,dd_vol_t8_p5_tv7,2.3027721717253575,-0.05635689552274736,1.7348174840668975,1.1018954099765723,0.1755401389638963
full_pressure_nonneg_r20_k5_m3,1.2008767617487852,-0.23189703448664367,2.024139352886844,dd_vol_t8_p5_tv7,2.3027721717253575,-0.05635689552274736,1.7348174840668975,1.1018954099765723,0.1755401389638963
full_pressure_nonneg_r20_k5_m1,1.2008767617487852,-0.23189703448664367,2.024139352886844,dd_vol_t8_p5_tv7,2.3027721717253575,-0.05635689552274736,1.7348174840668975,1.1018954099765723,0.1755401389638963
conf_ratio_q70_none_r10_k10_m1,0.7280238706044417,-0.4450020668468784,1.5494535021796303,regime_gate_lb10_m55,2.300679957019153,-0.15917366236572217,2.765577075962991,1.5726560864147112,0.2858284044811562
full_pressure_nonneg_r20_k8_m5,1.2943825523275951,-0.24553235016080466,2.0996132354464585,dd_vol_t8_p5_tv7,2.2996356653085916,-0.06647437662133904,1.7035941978349258,1.0052531129809965,0.17905797353946562
full_pressure_nonneg_r20_k8_m1,1.2943825523275951,-0.24553235016080466,2.0996132354464585,dd_vol_t8_p5_tv7,2.2996356653085916,-0.06647437662133904,1.7035941978349258,1.0052531129809965,0.17905797353946562
full_pressure_nonneg_r20_k8_m3,1.2943825523275951,-0.24553235016080466,2.0996132354464585,dd_vol_t8_p5_tv7,2.2996356653085916,-0.06647437662133904,1.7035941978349258,1.0052531129809965,0.17905797353946562
full_pressure_nonneg_r20_k8_m6,1.2943825523275951,-0.24553235016080466,2.0996132354464585,dd_vol_t8_p5_tv7,2.2996356653085916,-0.06647437662133904,1.7035941978349258,1.0052531129809965,0.17905797353946562
full_pressure_nonneg_r10_k8_m6,1.3073173506272364,-0.24553235016080488,2.078423707781171,dd_vol_t8_p5_tv7,2.297382641741099,-0.059283803813103164,1.7027466495635675,0.9900652911138628,0.18624854634770172
full_pressure_nonneg_r10_k8_m5,1.3073173506272364,-0.24553235016080488,2.078423707781171,dd_vol_t8_p5_tv7,2.297382641741099,-0.059283803813103164,1.7027466495635675,0.9900652911138628,0.18624854634770172
full_pressure_nonneg_r10_k8_m3,1.3073173506272364,-0.24553235016080488,2.078423707781171,dd_vol_t8_p5_tv7,2.297382641741099,-0.059283803813103164,1.7027466495635675,0.9900652911138628,0.18624854634770172
full_pressure_nonneg_r10_k8_m1,1.3073173506272364,-0.24553235016080488,2.078423707781171,dd_vol_t8_p5_tv7,2.297382641741099,-0.059283803813103164,1.7027466495635675,0.9900652911138628,0.18624854634770172
abs_mu_q60_pressure_nonneg_r20_k5_m3,1.188167911260718,-0.23189703448664356,2.0060531547958127,dd_vol_t8_p5_tv7,2.296977506793974,-0.05635689552274792,1.7313116597777956,1.108809595533256,0.17554013896389564
full_pressure_nonneg_r10_k10_m6,1.2346333066570165,-0.25465294400471605,1.9689231384160724,dd_vol_t8_p5_tv7,2.296102993653431,-0.06414811912789631,1.720676294838352,1.0614696869964144,0.19050482487681974
full_pressure_nonneg_r10_k10_m5,1.2346333066570165,-0.25465294400471605,1.9689231384160724,dd_vol_t8_p5_tv7,2.296102993653431,-0.06414811912789631,1.720676294838352,1.0614696869964144,0.19050482487681974
full_pressure_nonneg_r10_k10_m3,1.2346333066570165,-0.25465294400471605,1.9689231384160724,dd_vol_t8_p5_tv7,2.296102993653431,-0.06414811912789631,1.720676294838352,1.0614696869964144,0.19050482487681974
full_pressure_nonneg_r10_k10_m1,1.2346333066570165,-0.25465294400471605,1.9689231384160724,dd_vol_t8_p5_tv7,2.296102993653431,-0.06414811912789631,1.720676294838352,1.0614696869964144,0.19050482487681974
abs_mu_q60_pressure_nonneg_r20_k10_m5,1.3172286610595123,-0.25465294400471594,2.1128499101727174,dd_vol_t8_p5_tv7,2.2901588261181827,-0.07017826231291224,1.7860329713815004,0.9729301650586704,0.1844746816918037
abs_mu_q60_pressure_nonneg_r20_k5_m1,1.1977613333825474,-0.2318970344866439,2.0207852527897554,dd_vol_t8_p5_tv7,2.2832347720059283,-0.05635689552274692,1.7287832602586608,1.0854734386233809,0.17554013896389697
abs_mu_q60_pressure_nonneg_r10_k10_m1,1.2932503694728694,-0.25465294400471605,2.046010121489588,dd_stop_t8_p5,2.2667914640028872,-0.13835493204510874,2.75411241528166,0.9735410945300178,0.11629801195960732
abs_mu_q60_pressure_nonneg_r20_k10_m3,1.321350315988199,-0.25465294400471616,2.119203130045604,dd_vol_t8_p5_tv7,2.2642928834787694,-0.07210412358191498,1.7720719407627488,0.9429425674905705,0.18254882042280118
full_pressure_nonneg_r20_k10_m1,1.3115823190001739,-0.2546529440047163,2.097798987834344,dd_vol_t8_p5_tv7,2.2590411902105836,-0.06937478996777147,1.764513669539779,0.9474588712104097,0.1852781540369448
full_pressure_nonneg_r20_k10_m3,1.3115823190001739,-0.2546529440047163,2.097798987834344,dd_vol_t8_p5_tv7,2.2590411902105836,-0.06937478996777147,1.764513669539779,0.9474588712104097,0.1852781540369448
full_pressure_nonneg_r20_k10_m6,1.3115823190001739,-0.2546529440047163,2.097798987834344,dd_vol_t8_p5_tv7,2.2590411902105836,-0.06937478996777147,1.764513669539779,0.9474588712104097,0.1852781540369448
full_pressure_nonneg_r20_k10_m5,1.3115823190001739,-0.2546529440047163,2.097798987834344,dd_vol_t8_p5_tv7,2.2590411902105836,-0.06937478996777147,1.764513669539779,0.9474588712104097,0.1852781540369448
abs_mu_q60_pressure_nonneg_r10_k10_m6,1.2314006307026246,-0.25465294400471605,1.9516060748503743,dd_vol_t8_p5_tv7,2.258893952741498,-0.05759176929628784,1.789630982852698,1.0274933220388736,0.1970611747084282
abs_mu_q60_pressure_nonneg_r10_k10_m5,1.2553550088251924,-0.2546529440047163,1.995788441517815,dd_vol_t8_p5_tv7,2.255066225997063,-0.06346074168603599,1.7698368042894748,0.9997112171718707,0.19119220231868028
abs_mu_q60_pressure_nonneg_r10_k10_m3,1.2595604469510309,-0.25465294400471605,2.0017782642291104,dd_vol_t8_p5_tv7,2.2486970147488754,-0.06540051638841504,1.7670322070103055,0.9891365677978445,0.189252427616301
abs_mu_q60_pressure_nonneg_r10_k15_m5,1.227453083000968,-0.25633362592548403,1.9246764245375747,dd_vol_t8_p5_tv7,2.2417072544314682,-0.06983150824905138,1.783191348532648,1.0142541714305002,0.18650211767643265
abs_mu_q60_pressure_nonneg_r10_k15_m6,1.2024453550888985,-0.25633362592548437,1.882054445781517,dd_vol_t8_p5_tv7,2.2416938225319667,-0.06195052972132564,1.6847342538466106,1.0392484674430682,0.19438309620415872
abs_mu_q60_pressure_nonneg_r20_k10_m1,1.3309907556840819,-0.25465294400471616,2.134640474863024,dd_vol_t8_p5_tv7,2.2412132199878827,-0.07210412358191498,1.7649495221442382,0.9102224643038008,0.18254882042280118
abs_mu_q60_pressure_nonneg_r10_k8_m6,1.2839040102521728,-0.24553235016080455,2.0301088948724004,dd_vol_t8_p5_tv7,2.234411854214864,-0.054452806977456136,1.7751439510139162,0.9505078439626911,0.1910795431833484
abs_mu_q60_pressure_nonneg_r10_k20_m1,1.227250805923703,-0.2430973922650661,1.8971019106784603,dd_vol_t8_p5_tv7,2.2180733755869433,-0.0703117579580671,1.76521971887009,0.9908225696632402,0.172785634306999
full_pressure_nonneg_r20_k15_m6,1.1872459970289007,-0.25633362592548437,1.898802067507329,dd_vol_t8_p5_tv7,2.21625594670348,-0.07313665565796945,1.683188477702856,1.0290099496745793,0.1831969702675149
full_pressure_nonneg_r20_k15_m5,1.1872459970289007,-0.25633362592548437,1.898802067507329,dd_vol_t8_p5_tv7,2.21625594670348,-0.07313665565796945,1.683188477702856,1.0290099496745793,0.1831969702675149
full_pressure_nonneg_r20_k15_m3,1.1872459970289007,-0.25633362592548437,1.898802067507329,dd_vol_t8_p5_tv7,2.21625594670348,-0.07313665565796945,1.683188477702856,1.0290099496745793,0.1831969702675149
full_pressure_nonneg_r20_k15_m1,1.1872459970289007,-0.25633362592548437,1.898802067507329,dd_vol_t8_p5_tv7,2.21625594670348,-0.07313665565796945,1.683188477702856,1.0290099496745793,0.1831969702675149
abs_mu_q60_pressure_nonneg_r10_k20_m3,1.191090713214018,-0.24309739226506588,1.8560039437916114,dd_vol_t8_p5_tv7,2.2155657699319384,-0.0703117579580671,1.7613312263576262,1.0244750567179204,0.17278563430699878
