label,policy,sharpe,max_dd,final_equity,cagr,positive_days,n_days,n_active_days
vol_scale_tv7,daily_bot_sig_50pct_none_r20_k10_m1,1.3922447461806673,-0.14615246631311896,1.3591673608447865,0.11895673396696527,398,651,651
vol_scale_tv10,daily_bot_sig_50pct_none_r20_k10_m1,1.3196647265170391,-0.20317100354833828,1.4881252958714832,0.1589160126597602,398,651,651
vol_scale_tv12,daily_bot_sig_50pct_none_r20_k10_m1,1.2868058226476895,-0.23941009201318153,1.577887618721336,0.18549131715542977,398,651,651
regime_gate_lb10_m50,daily_bot_sig_50pct_none_r20_k10_m1,2.012348326699572,-0.23340525282508695,2.5545316771743156,0.43770203481809866,337,651,545
regime_gate_lb10_m55,daily_bot_sig_50pct_none_r20_k10_m1,1.7836751259740753,-0.15071378494647159,2.0403404505121565,0.31790738861688017,264,651,425
regime_gate_lb15_m55,daily_bot_sig_50pct_none_r20_k10_m1,1.9206991044917159,-0.130981463398384,2.09186276677869,0.330691442054029,263,651,419
dd_vol_t10_p10_tv10,daily_bot_sig_50pct_none_r20_k10_m1,1.713425645460718,-0.12288013657652641,1.733870759208803,0.2295505052092801,347,651,552
dd_vol_t8_p5_tv7,daily_bot_sig_50pct_none_r20_k10_m1,2.358318649479677,-0.05679080083788346,1.7802665556520154,0.24218339265645672,341,651,536
baseline,conf_ratio_q70_none_r20_k10_m1,1.3125006940347854,-0.3631383632706263,2.4213593088298024,0.39971249804028264,398,651,651
dd_stop_t8_p5,conf_ratio_q70_none_r20_k10_m1,2.799392560390789,-0.15365486133898987,3.728449797781366,0.6542742468336133,317,651,496
dd_stop_t10_p10,conf_ratio_q70_none_r20_k10_m1,2.3807325457575077,-0.14382710939781196,3.247343024778669,0.5681285102790607,320,651,502
dd_stop_t12_p15,conf_ratio_q70_none_r20_k10_m1,1.877145978501543,-0.1634844859804928,2.6549188018801413,0.45050628836226636,319,651,512
dd_stop_t15_p10,conf_ratio_q70_none_r20_k10_m1,1.8045089163709571,-0.20841611523036085,2.7312321114402507,0.4665057086297628,356,651,574
vol_scale_tv7,conf_ratio_q70_none_r20_k10_m1,1.7536980365209527,-0.1130998503094417,1.4721989244984381,0.15448963038891694,398,651,651
vol_scale_tv10,conf_ratio_q70_none_r20_k10_m1,1.6900134139498704,-0.1584291825130727,1.666675100105194,0.2112911205840935,398,651,651
vol_scale_tv12,conf_ratio_q70_none_r20_k10_m1,1.6595051200780142,-0.18800545074217767,1.8071059446508269,0.24982231876517358,398,651,651
regime_gate_lb10_m50,conf_ratio_q70_none_r20_k10_m1,1.5706203723168508,-0.2957861851797752,2.3988206169805824,0.40312354407170803,328,651,527
regime_gate_lb10_m55,conf_ratio_q70_none_r20_k10_m1,2.197111197872466,-0.16776025686559193,2.84240720506245,0.49837494165902974,263,651,407
regime_gate_lb15_m55,conf_ratio_q70_none_r20_k10_m1,1.703593789509705,-0.20493523417275394,2.302059997137006,0.38093800646866516,261,651,401
dd_vol_t10_p10_tv10,conf_ratio_q70_none_r20_k10_m1,2.617696552877839,-0.07058036928792966,2.2264644719331796,0.3549762738605118,320,651,502
dd_vol_t8_p5_tv7,conf_ratio_q70_none_r20_k10_m1,2.981386991938723,-0.0668727507026351,2.120505581613332,0.32964098703815936,317,651,496
baseline,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.1866239712542062,-0.243097392265066,1.8504487818910795,0.269001370644679,253,651,408
dd_stop_t8_p5,abs_mu_q60_pressure_nonneg_r10_k20_m5,2.0945573401719453,-0.13264139541359887,2.451221610369807,0.41490975040077194,228,651,355
dd_stop_t10_p10,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.8369977476267605,-0.1340062421580791,2.2293997548020372,0.3638996938002197,223,651,349
dd_stop_t12_p15,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.6146623397405675,-0.16307233997202064,2.1389537401098444,0.3422082183966988,237,651,378
dd_stop_t15_p10,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.3528415955831294,-0.16307233997202064,1.9186272903451544,0.28689986457174355,244,651,392
vol_scale_tv7,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.7373833891202688,-0.07931175178204775,1.563818648599135,0.18896460027113338,253,651,408
vol_scale_tv10,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.6625415540349178,-0.11170885172007305,1.7203418285555399,0.2336890478326834,253,651,408
vol_scale_tv12,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.5958334133919474,-0.13279153155695922,1.8084437366079429,0.25777203981510066,253,651,408
regime_gate_lb10_m50,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.0046607957591691,-0.22443502507340463,1.5450938012870812,0.18343337489657285,190,651,309
regime_gate_lb10_m55,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.602323457407911,-0.1721550848335166,1.8002607152740888,0.2555658979310733,155,651,244
regime_gate_lb15_m55,abs_mu_q60_pressure_nonneg_r10_k20_m5,0.7479610065879789,-0.2258836611879863,1.3116867355878705,0.11073808182442146,132,651,221
dd_vol_t10_p10_tv10,abs_mu_q60_pressure_nonneg_r10_k20_m5,1.7020057562624882,-0.13021667686492144,1.762390130104975,0.24527511785672762,223,651,349
dd_vol_t8_p5_tv7,abs_mu_q60_pressure_nonneg_r10_k20_m5,2.1288204844402463,-0.06837994512205625,1.7089704793336613,0.2305260093813073,228,651,355
baseline,full_pressure_nonneg_r10_k20_m1,1.1312919528662526,-0.2430973922650661,1.7791756014410869,0.24985288165799724,254,651,408
dd_stop_t8_p5,full_pressure_nonneg_r10_k20_m1,2.0590981358470297,-0.12236791391948276,2.3794986352591727,0.3987377856490031,228,651,355
dd_stop_t10_p10,full_pressure_nonneg_r10_k20_m1,1.6841633244296512,-0.15133349088778625,2.096521562728554,0.33183785547845557,228,651,360
dd_stop_t12_p15,full_pressure_nonneg_r10_k20_m1,1.5595870521980644,-0.15240763218202458,2.0554479503570207,0.32167626370069,238,651,378
dd_stop_t15_p10,full_pressure_nonneg_r10_k20_m1,1.2966557574716708,-0.15240763218202458,1.8446391035810368,0.26745762759221825,245,651,392
vol_scale_tv7,full_pressure_nonneg_r10_k20_m1,1.6075350767808392,-0.07931175178204786,1.5072049936233247,0.17211421244159153,254,651,408
vol_scale_tv10,full_pressure_nonneg_r10_k20_m1,1.5378554523238375,-0.11170885172007294,1.6506501185874434,0.2140974836943934,254,651,408
vol_scale_tv12,full_pressure_nonneg_r10_k20_m1,1.4846209573557565,-0.13279153155695922,1.7353857811367954,0.23785402400371325,254,651,408
regime_gate_lb10_m50,full_pressure_nonneg_r10_k20_m1,1.1148166398564985,-0.16914354691240996,1.5951285929219188,0.1981234303317405,190,651,308
regime_gate_lb10_m55,full_pressure_nonneg_r10_k20_m1,1.6667166497517114,-0.12449179003086408,1.8119568498787444,0.25871729765660056,155,651,246
regime_gate_lb15_m55,full_pressure_nonneg_r10_k20_m1,1.1447450651856979,-0.16811594814759834,1.503884185044651,0.17111385665852819,136,651,225
dd_vol_t10_p10_tv10,full_pressure_nonneg_r10_k20_m1,1.8297079337331479,-0.09041778407286771,1.8029792565873697,0.2562994969397303,228,651,360
dd_vol_t8_p5_tv7,full_pressure_nonneg_r10_k20_m1,2.0613902283564167,-0.06755397403025154,1.6744585246524695,0.22084648193174017,228,651,355
baseline,full_pressure_nonneg_r10_k20_m3,1.1312919528662526,-0.2430973922650661,1.7791756014410869,0.24985288165799724,254,651,408
dd_stop_t8_p5,full_pressure_nonneg_r10_k20_m3,2.0590981358470297,-0.12236791391948276,2.3794986352591727,0.3987377856490031,228,651,355
dd_stop_t10_p10,full_pressure_nonneg_r10_k20_m3,1.6841633244296512,-0.15133349088778625,2.096521562728554,0.33183785547845557,228,651,360
dd_stop_t12_p15,full_pressure_nonneg_r10_k20_m3,1.5595870521980644,-0.15240763218202458,2.0554479503570207,0.32167626370069,238,651,378
dd_stop_t15_p10,full_pressure_nonneg_r10_k20_m3,1.2966557574716708,-0.15240763218202458,1.8446391035810368,0.26745762759221825,245,651,392
vol_scale_tv7,full_pressure_nonneg_r10_k20_m3,1.6075350767808392,-0.07931175178204786,1.5072049936233247,0.17211421244159153,254,651,408
vol_scale_tv10,full_pressure_nonneg_r10_k20_m3,1.5378554523238375,-0.11170885172007294,1.6506501185874434,0.2140974836943934,254,651,408
vol_scale_tv12,full_pressure_nonneg_r10_k20_m3,1.4846209573557565,-0.13279153155695922,1.7353857811367954,0.23785402400371325,254,651,408
regime_gate_lb10_m50,full_pressure_nonneg_r10_k20_m3,1.1148166398564985,-0.16914354691240996,1.5951285929219188,0.1981234303317405,190,651,308
regime_gate_lb10_m55,full_pressure_nonneg_r10_k20_m3,1.6667166497517114,-0.12449179003086408,1.8119568498787444,0.25871729765660056,155,651,246
regime_gate_lb15_m55,full_pressure_nonneg_r10_k20_m3,1.1447450651856979,-0.16811594814759834,1.503884185044651,0.17111385665852819,136,651,225
dd_vol_t10_p10_tv10,full_pressure_nonneg_r10_k20_m3,1.8297079337331479,-0.09041778407286771,1.8029792565873697,0.2562994969397303,228,651,360
dd_vol_t8_p5_tv7,full_pressure_nonneg_r10_k20_m3,2.0613902283564167,-0.06755397403025154,1.6744585246524695,0.22084648193174017,228,651,355
baseline,full_pressure_nonneg_r10_k20_m5,1.1312919528662526,-0.2430973922650661,1.7791756014410869,0.24985288165799724,254,651,408
dd_stop_t8_p5,full_pressure_nonneg_r10_k20_m5,2.0590981358470297,-0.12236791391948276,2.3794986352591727,0.3987377856490031,228,651,355
dd_stop_t10_p10,full_pressure_nonneg_r10_k20_m5,1.6841633244296512,-0.15133349088778625,2.096521562728554,0.33183785547845557,228,651,360
dd_stop_t12_p15,full_pressure_nonneg_r10_k20_m5,1.5595870521980644,-0.15240763218202458,2.0554479503570207,0.32167626370069,238,651,378
dd_stop_t15_p10,full_pressure_nonneg_r10_k20_m5,1.2966557574716708,-0.15240763218202458,1.8446391035810368,0.26745762759221825,245,651,392
vol_scale_tv7,full_pressure_nonneg_r10_k20_m5,1.6075350767808392,-0.07931175178204786,1.5072049936233247,0.17211421244159153,254,651,408
vol_scale_tv10,full_pressure_nonneg_r10_k20_m5,1.5378554523238375,-0.11170885172007294,1.6506501185874434,0.2140974836943934,254,651,408
vol_scale_tv12,full_pressure_nonneg_r10_k20_m5,1.4846209573557565,-0.13279153155695922,1.7353857811367954,0.23785402400371325,254,651,408
regime_gate_lb10_m50,full_pressure_nonneg_r10_k20_m5,1.1148166398564985,-0.16914354691240996,1.5951285929219188,0.1981234303317405,190,651,308
regime_gate_lb10_m55,full_pressure_nonneg_r10_k20_m5,1.6667166497517114,-0.12449179003086408,1.8119568498787444,0.25871729765660056,155,651,246
regime_gate_lb15_m55,full_pressure_nonneg_r10_k20_m5,1.1447450651856979,-0.16811594814759834,1.503884185044651,0.17111385665852819,136,651,225
dd_vol_t10_p10_tv10,full_pressure_nonneg_r10_k20_m5,1.8297079337331479,-0.09041778407286771,1.8029792565873697,0.2562994969397303,228,651,360
dd_vol_t8_p5_tv7,full_pressure_nonneg_r10_k20_m5,2.0613902283564167,-0.06755397403025154,1.6744585246524695,0.22084648193174017,228,651,355
baseline,full_pressure_nonneg_r10_k20_m6,1.1312919528662526,-0.2430973922650661,1.7791756014410869,0.24985288165799724,254,651,408
dd_stop_t8_p5,full_pressure_nonneg_r10_k20_m6,2.0590981358470297,-0.12236791391948276,2.3794986352591727,0.3987377856490031,228,651,355
dd_stop_t10_p10,full_pressure_nonneg_r10_k20_m6,1.6841633244296512,-0.15133349088778625,2.096521562728554,0.33183785547845557,228,651,360
dd_stop_t12_p15,full_pressure_nonneg_r10_k20_m6,1.5595870521980644,-0.15240763218202458,2.0554479503570207,0.32167626370069,238,651,378
dd_stop_t15_p10,full_pressure_nonneg_r10_k20_m6,1.2966557574716708,-0.15240763218202458,1.8446391035810368,0.26745762759221825,245,651,392
vol_scale_tv7,full_pressure_nonneg_r10_k20_m6,1.6075350767808392,-0.07931175178204786,1.5072049936233247,0.17211421244159153,254,651,408
vol_scale_tv10,full_pressure_nonneg_r10_k20_m6,1.5378554523238375,-0.11170885172007294,1.6506501185874434,0.2140974836943934,254,651,408
vol_scale_tv12,full_pressure_nonneg_r10_k20_m6,1.4846209573557565,-0.13279153155695922,1.7353857811367954,0.23785402400371325,254,651,408
regime_gate_lb10_m50,full_pressure_nonneg_r10_k20_m6,1.1148166398564985,-0.16914354691240996,1.5951285929219188,0.1981234303317405,190,651,308
regime_gate_lb10_m55,full_pressure_nonneg_r10_k20_m6,1.6667166497517114,-0.12449179003086408,1.8119568498787444,0.25871729765660056,155,651,246
regime_gate_lb15_m55,full_pressure_nonneg_r10_k20_m6,1.1447450651856979,-0.16811594814759834,1.503884185044651,0.17111385665852819,136,651,225
dd_vol_t10_p10_tv10,full_pressure_nonneg_r10_k20_m6,1.8297079337331479,-0.09041778407286771,1.8029792565873697,0.2562994969397303,228,651,360
dd_vol_t8_p5_tv7,full_pressure_nonneg_r10_k20_m6,2.0613902283564167,-0.06755397403025154,1.6744585246524695,0.22084648193174017,228,651,355
baseline,full_pressure_nonneg_r20_k20_m1,1.1872256163558281,-0.243097392265066,1.8623873896216794,0.2721643890270753,266,651,427
dd_stop_t8_p5,full_pressure_nonneg_r20_k20_m1,1.8913481988625935,-0.14246271104622032,2.2106146349398137,0.3594395066148701,230,651,361
dd_stop_t10_p10,full_pressure_nonneg_r20_k20_m1,1.623735895793164,-0.11680635808819617,2.0298503197883817,0.3152803386869649,233,651,371
dd_stop_t12_p15,full_pressure_nonneg_r20_k20_m1,1.5449960721638554,-0.11255192322214891,1.9813438778676498,0.3030233636567321,234,651,373
dd_stop_t15_p10,full_pressure_nonneg_r20_k20_m1,1.323038393299197,-0.1480494774235931,1.8727508311939154,0.2749000215154287,250,651,401
vol_scale_tv7,full_pressure_nonneg_r20_k20_m1,1.6380026092467825,-0.07931175178204786,1.4734402304289673,0.16187919955797714,266,651,427
vol_scale_tv10,full_pressure_nonneg_r20_k20_m1,1.590388950427631,-0.11170885172007328,1.6381432072669369,0.2105282126917054,266,651,427
vol_scale_tv12,full_pressure_nonneg_r20_k20_m1,1.5510554620164525,-0.13279153155695933,1.7397150231577205,0.23904848814129487,266,651,427
regime_gate_lb10_m50,full_pressure_nonneg_r20_k20_m1,0.7574343081097161,-0.19425902432067632,1.3749850065208342,0.13118775462783994,202,651,332
regime_gate_lb10_m55,full_pressure_nonneg_r20_k20_m1,1.0064190445177927,-0.1699975874209222,1.453623337252248,0.15580508632392398,163,651,264
regime_gate_lb15_m55,full_pressure_nonneg_r20_k20_m1,0.4302635667915965,-0.1826492534258375,1.1553077080712668,0.05747489588894328,139,651,232
dd_vol_t10_p10_tv10,full_pressure_nonneg_r20_k20_m1,1.7893969182976208,-0.08076698852474584,1.7741389883022662,0.2484820775426917,233,651,371
dd_vol_t8_p5_tv7,full_pressure_nonneg_r20_k20_m1,2.1486514883609185,-0.07075411841186985,1.6577733082686035,0.2161229228797541,230,651,361
baseline,full_pressure_nonneg_r20_k20_m3,1.1872256163558281,-0.243097392265066,1.8623873896216794,0.2721643890270753,266,651,427
dd_stop_t8_p5,full_pressure_nonneg_r20_k20_m3,1.8913481988625935,-0.14246271104622032,2.2106146349398137,0.3594395066148701,230,651,361
dd_stop_t10_p10,full_pressure_nonneg_r20_k20_m3,1.623735895793164,-0.11680635808819617,2.0298503197883817,0.3152803386869649,233,651,371
dd_stop_t12_p15,full_pressure_nonneg_r20_k20_m3,1.5449960721638554,-0.11255192322214891,1.9813438778676498,0.3030233636567321,234,651,373
dd_stop_t15_p10,full_pressure_nonneg_r20_k20_m3,1.323038393299197,-0.1480494774235931,1.8727508311939154,0.2749000215154287,250,651,401
vol_scale_tv7,full_pressure_nonneg_r20_k20_m3,1.6380026092467825,-0.07931175178204786,1.4734402304289673,0.16187919955797714,266,651,427
vol_scale_tv10,full_pressure_nonneg_r20_k20_m3,1.590388950427631,-0.11170885172007328,1.6381432072669369,0.2105282126917054,266,651,427
vol_scale_tv12,full_pressure_nonneg_r20_k20_m3,1.5510554620164525,-0.13279153155695933,1.7397150231577205,0.23904848814129487,266,651,427
regime_gate_lb10_m50,full_pressure_nonneg_r20_k20_m3,0.7574343081097161,-0.19425902432067632,1.3749850065208342,0.13118775462783994,202,651,332
regime_gate_lb10_m55,full_pressure_nonneg_r20_k20_m3,1.0064190445177927,-0.1699975874209222,1.453623337252248,0.15580508632392398,163,651,264
regime_gate_lb15_m55,full_pressure_nonneg_r20_k20_m3,0.4302635667915965,-0.1826492534258375,1.1553077080712668,0.05747489588894328,139,651,232
dd_vol_t10_p10_tv10,full_pressure_nonneg_r20_k20_m3,1.7893969182976208,-0.08076698852474584,1.7741389883022662,0.2484820775426917,233,651,371
dd_vol_t8_p5_tv7,full_pressure_nonneg_r20_k20_m3,2.1486514883609185,-0.07075411841186985,1.6577733082686035,0.2161229228797541,230,651,361
baseline,full_pressure_nonneg_r20_k20_m5,1.1872256163558281,-0.243097392265066,1.8623873896216794,0.2721643890270753,266,651,427
dd_stop_t8_p5,full_pressure_nonneg_r20_k20_m5,1.8913481988625935,-0.14246271104622032,2.2106146349398137,0.3594395066148701,230,651,361
dd_stop_t10_p10,full_pressure_nonneg_r20_k20_m5,1.623735895793164,-0.11680635808819617,2.0298503197883817,0.3152803386869649,233,651,371
dd_stop_t12_p15,full_pressure_nonneg_r20_k20_m5,1.5449960721638554,-0.11255192322214891,1.9813438778676498,0.3030233636567321,234,651,373
dd_stop_t15_p10,full_pressure_nonneg_r20_k20_m5,1.323038393299197,-0.1480494774235931,1.8727508311939154,0.2749000215154287,250,651,401
vol_scale_tv7,full_pressure_nonneg_r20_k20_m5,1.6380026092467825,-0.07931175178204786,1.4734402304289673,0.16187919955797714,266,651,427
vol_scale_tv10,full_pressure_nonneg_r20_k20_m5,1.590388950427631,-0.11170885172007328,1.6381432072669369,0.2105282126917054,266,651,427
vol_scale_tv12,full_pressure_nonneg_r20_k20_m5,1.5510554620164525,-0.13279153155695933,1.7397150231577205,0.23904848814129487,266,651,427
regime_gate_lb10_m50,full_pressure_nonneg_r20_k20_m5,0.7574343081097161,-0.19425902432067632,1.3749850065208342,0.13118775462783994,202,651,332
regime_gate_lb10_m55,full_pressure_nonneg_r20_k20_m5,1.0064190445177927,-0.1699975874209222,1.453623337252248,0.15580508632392398,163,651,264
regime_gate_lb15_m55,full_pressure_nonneg_r20_k20_m5,0.4302635667915965,-0.1826492534258375,1.1553077080712668,0.05747489588894328,139,651,232
dd_vol_t10_p10_tv10,full_pressure_nonneg_r20_k20_m5,1.7893969182976208,-0.08076698852474584,1.7741389883022662,0.2484820775426917,233,651,371
dd_vol_t8_p5_tv7,full_pressure_nonneg_r20_k20_m5,2.1486514883609185,-0.07075411841186985,1.6577733082686035,0.2161229228797541,230,651,361
baseline,full_pressure_nonneg_r20_k20_m6,1.1872256163558281,-0.243097392265066,1.8623873896216794,0.2721643890270753,266,651,427
dd_stop_t8_p5,full_pressure_nonneg_r20_k20_m6,1.8913481988625935,-0.14246271104622032,2.2106146349398137,0.3594395066148701,230,651,361
dd_stop_t10_p10,full_pressure_nonneg_r20_k20_m6,1.623735895793164,-0.11680635808819617,2.0298503197883817,0.3152803386869649,233,651,371
dd_stop_t12_p15,full_pressure_nonneg_r20_k20_m6,1.5449960721638554,-0.11255192322214891,1.9813438778676498,0.3030233636567321,234,651,373
dd_stop_t15_p10,full_pressure_nonneg_r20_k20_m6,1.323038393299197,-0.1480494774235931,1.8727508311939154,0.2749000215154287,250,651,401
vol_scale_tv7,full_pressure_nonneg_r20_k20_m6,1.6380026092467825,-0.07931175178204786,1.4734402304289673,0.16187919955797714,266,651,427
vol_scale_tv10,full_pressure_nonneg_r20_k20_m6,1.590388950427631,-0.11170885172007328,1.6381432072669369,0.2105282126917054,266,651,427
vol_scale_tv12,full_pressure_nonneg_r20_k20_m6,1.5510554620164525,-0.13279153155695933,1.7397150231577205,0.23904848814129487,266,651,427
regime_gate_lb10_m50,full_pressure_nonneg_r20_k20_m6,0.7574343081097161,-0.19425902432067632,1.3749850065208342,0.13118775462783994,202,651,332
regime_gate_lb10_m55,full_pressure_nonneg_r20_k20_m6,1.0064190445177927,-0.1699975874209222,1.453623337252248,0.15580508632392398,163,651,264
regime_gate_lb15_m55,full_pressure_nonneg_r20_k20_m6,0.4302635667915965,-0.1826492534258375,1.1553077080712668,0.05747489588894328,139,651,232
dd_vol_t10_p10_tv10,full_pressure_nonneg_r20_k20_m6,1.7893969182976208,-0.08076698852474584,1.7741389883022662,0.2484820775426917,233,651,371
dd_vol_t8_p5_tv7,full_pressure_nonneg_r20_k20_m6,2.1486514883609185,-0.07075411841186985,1.6577733082686035,0.2161229228797541,230,651,361
baseline,daily_bot_sig_50pct_none_r10_k10_m1,0.8540820547627167,-0.4085990681694943,1.60594252852288,0.19360653906974656,400,651,651
dd_stop_t8_p5,daily_bot_sig_50pct_none_r10_k10_m1,2.3028318560297296,-0.07737769791591587,2.564245407428715,0.4306411313506553,337,651,526
dd_stop_t10_p10,daily_bot_sig_50pct_none_r10_k10_m1,1.7990199043755233,-0.13692718613661492,2.263185270803543,0.3631221655806842,351,651,555
dd_stop_t12_p15,daily_bot_sig_50pct_none_r10_k10_m1,1.4723731445182662,-0.25386975320135274,1.935285835903746,0.2829858912523513,341,651,543
dd_stop_t15_p10,daily_bot_sig_50pct_none_r10_k10_m1,1.4410295337420587,-0.2530269846819908,2.0214841000642205,0.30481147962423316,366,651,585
vol_scale_tv7,daily_bot_sig_50pct_none_r10_k10_m1,1.1666365501273066,-0.1650444807620416,1.2924482965626627,0.09736587901021232,400,651,651
vol_scale_tv10,daily_bot_sig_50pct_none_r10_k10_m1,1.087769903736568,-0.2282237813614605,1.3848288432507452,0.12708778921411978,400,651,651
vol_scale_tv12,daily_bot_sig_50pct_none_r10_k10_m1,1.0530270872360128,-0.2680050886006351,1.447344991551546,0.14651752578178767,400,651,651
regime_gate_lb10_m50,daily_bot_sig_50pct_none_r10_k10_m1,1.084705033046991,-0.3223080018125256,1.6835990176792859,0.2234219184247377,328,651,530
regime_gate_lb10_m55,daily_bot_sig_50pct_none_r10_k10_m1,0.822185689483934,-0.27270227622586063,1.3894142337162458,0.1357682061957075,263,651,418
regime_gate_lb15_m55,daily_bot_sig_50pct_none_r10_k10_m1,1.1336994813209114,-0.2078443359730252,1.5936750015273877,0.19770067501290112,264,651,425
dd_vol_t10_p10_tv10,daily_bot_sig_50pct_none_r10_k10_m1,1.7147614627152734,-0.09160019318782742,1.6741064465864306,0.21296836508207595,351,651,555
dd_vol_t8_p5_tv7,daily_bot_sig_50pct_none_r10_k10_m1,2.155421784859969,-0.053926788861187624,1.6840754509743108,0.2157592827464443,337,651,526
baseline,abs_mu_q60_pressure_nonneg_r10_k15_m5,1.227453083000968,-0.25633362592548403,1.9246764245375747,0.28846895438713704,250,651,408
dd_stop_t8_p5,abs_mu_q60_pressure_nonneg_r10_k15_m5,2.1448516451753354,-0.13727991162135067,2.5837279226403176,0.4440405812919719,225,651,355
dd_stop_t10_p10,abs_mu_q60_pressure_nonneg_r10_k15_m5,1.8945448255556097,-0.1360367723899113,2.3496288449784473,0.3919146913897582,221,651,349
dd_stop_t12_p15,abs_mu_q60_pressure_nonneg_r10_k15_m5,1.6732393964036658,-0.16460311613401313,2.2529340190011213,0.3694550944255617,234,651,378
