label,policy,sharpe,max_dd,final_equity,cagr,positive_days,n_days,n_active_days
baseline,full_none_r10_k10_m1,1.157696437088605,-0.49536733997944127,2.3361346935269722,0.3745839313042414,402,651,651
dd_stop_t8_p5,full_none_r10_k10_m1,3.250644340457057,-0.12013281365534234,5.294615571499869,0.8867784026247851,318,651,484
dd_stop_t10_p10,full_none_r10_k10_m1,2.8607154130341548,-0.11838937843911757,4.449135562439486,0.7638933827276133,306,651,467
dd_stop_t12_p15,full_none_r10_k10_m1,2.353851356729997,-0.17800679315622092,3.925702687000281,0.6804687245655203,329,651,510
dd_stop_t15_p10,full_none_r10_k10_m1,2.0945167894347096,-0.20836233290104078,3.5141423529419185,0.6099479381167188,341,651,536
vol_scale_tv7,full_none_r10_k10_m1,1.8960863238510346,-0.1259275887603547,1.5419511228991893,0.170384193874205,402,651,651
vol_scale_tv10,full_none_r10_k10_m1,1.8361273136439933,-0.17640892449199796,1.757073775520316,0.23107451425735626,402,651,651
vol_scale_tv12,full_none_r10_k10_m1,1.802728637053274,-0.20891303057568866,1.913496799786683,0.27239376289367456,402,651,651
regime_gate_lb10_m50,full_none_r10_k10_m1,2.031986523952573,-0.2542672497232581,3.332175913639679,0.5934788074297599,339,651,535
regime_gate_lb10_m55,full_none_r10_k10_m1,2.662930277015292,-0.18843663758730123,3.8163459013349965,0.6793992710320158,272,651,415
regime_gate_lb15_m55,full_none_r10_k10_m1,2.530807181661914,-0.18235409050570295,3.558243014440694,0.6344872029983093,270,651,414
dd_vol_t10_p10_tv10,full_none_r10_k10_m1,2.690558402516375,-0.11118115153257435,2.466566841331163,0.403798632246674,306,651,467
dd_vol_t8_p5_tv7,full_none_r10_k10_m1,3.145263419286879,-0.05268842071510249,2.3129732613195513,0.36929238114348384,318,651,484
baseline,full_none_r20_k10_m1,1.1509171492745263,-0.49579474763865317,2.308626890566598,0.3682957781767282,404,651,651
dd_stop_t8_p5,full_none_r20_k10_m1,3.07983871844736,-0.14447034102874978,4.675391674860093,0.7980895177288596,303,651,466
dd_stop_t10_p10,full_none_r20_k10_m1,2.7281444735451332,-0.11493457565613774,4.299527951201419,0.7406925148351011,317,651,484
dd_stop_t12_p15,full_none_r20_k10_m1,2.150936347735569,-0.14644229195388203,3.350223627456901,0.5804519460275597,318,651,495
dd_stop_t15_p10,full_none_r20_k10_m1,1.9854804835704007,-0.21570455314303172,3.248273744378424,0.5616582572136799,339,651,536
vol_scale_tv7,full_none_r20_k10_m1,1.8450440516901154,-0.12671970565608526,1.5243169671629246,0.165184702593006,404,651,651
vol_scale_tv10,full_none_r20_k10_m1,1.782443947701881,-0.17739055087097655,1.728417883266878,0.22326341568947394,404,651,651
vol_scale_tv12,full_none_r20_k10_m1,1.7482155518524691,-0.20997886282357814,1.876091044224685,0.2627071210293621,404,651,651
regime_gate_lb10_m50,full_none_r20_k10_m1,1.7760676016614745,-0.3118776579921746,2.9763795098861263,0.5253279041499066,338,651,531
regime_gate_lb10_m55,full_none_r20_k10_m1,1.9645464432693969,-0.21008303061461187,2.969186562227881,0.5238999202966297,286,651,436
regime_gate_lb15_m55,full_none_r20_k10_m1,2.245355957700931,-0.1990386428221912,3.3370956136570635,0.5943890982422333,280,651,426
dd_vol_t10_p10_tv10,full_none_r20_k10_m1,3.0110527843936103,-0.056921442796764365,2.745701875483912,0.46328267612628204,317,651,484
dd_vol_t8_p5_tv7,full_none_r20_k10_m1,3.188111798174863,-0.057942709245955015,2.3830299252242795,0.38520016259960754,303,651,466
baseline,daily_bot_sig_50pct_none_r20_k10_m1,1.1434241544566455,-0.3738706109956591,1.9464702974926398,0.2858510186730645,398,651,651
dd_stop_t8_p5,daily_bot_sig_50pct_none_r20_k10_m1,2.570375603450992,-0.08831064142059475,2.9007953972366627,0.5005920692245318,341,651,536
dd_stop_t10_p10,daily_bot_sig_50pct_none_r20_k10_m1,1.9438690083632877,-0.1418939421674219,2.396335568795118,0.3936234168436963,347,651,552
dd_stop_t12_p15,daily_bot_sig_50pct_none_r20_k10_m1,1.6631884197253604,-0.2565339477793189,2.1386096365921334,0.3335724550387369,340,651,546
dd_stop_t15_p10,daily_bot_sig_50pct_none_r20_k10_m1,1.5356887125911307,-0.23003928934440965,2.0898931298774115,0.3217300634880993,353,651,574
