n,rel_score,absE_robust,base_robust,absE_q90,DA,blend_weight_rich,variant
60445,0.045751702622018664,0.03596637307073251,0.037690790928900236,0.04691155689979496,0.5195963272396393,0.25,old_anchor_plus_rich_valdiag
60445,0.04563073722140665,0.03597093235235661,0.037690790928900236,0.04691928059794008,0.519827942757879,0.2,old_anchor_plus_rich_valdiag
60445,0.045225236323765516,0.035986216001911084,0.037690790928900236,0.046936241181101644,0.5201588220696501,0.15,old_anchor_plus_rich_valdiag
60445,0.04513818226947486,0.03598949713807087,0.037690790928900236,0.04692918272106908,0.5192654479278683,0.3,old_anchor_plus_rich_valdiag
60445,0.04509337463116614,0.03599118597339838,0.037690790928900236,0.04691439141752197,0.5191827280999256,0.35,old_anchor_plus_rich_valdiag
60445,0.04492782458340805,0.0359974256856367,0.037690790928900236,0.0469112107809633,0.5192489039622797,0.4,old_anchor_plus_rich_valdiag
60445,0.044808773434718674,0.0360019128175918,0.037690790928900236,0.046901386473327866,0.5197617668955249,0.45,old_anchor_plus_rich_valdiag
60445,0.04477518130782343,0.03600317893142346,0.037690790928900236,0.046931589982705184,0.5182728099925552,0.0,old_anchor_plus_rich_traincal
60445,0.04477518130782343,0.03600317893142346,0.037690790928900236,0.046931589982705184,0.5182728099925552,0.0,old_anchor_plus_rich_valdiag
60445,0.04474379335215295,0.03600436196829832,0.037690790928900236,0.04701730078668333,0.5195301513772851,0.25,old_anchor_plus_rich_traincal
60445,0.04469258907285867,0.03600629189808387,0.037690790928900236,0.04699251400423236,0.5198941186202333,0.15,old_anchor_plus_rich_traincal
60445,0.04464803155699448,0.03600797130609862,0.037690790928900236,0.046954805743880564,0.5194805194805194,0.1,old_anchor_plus_rich_valdiag
60445,0.04464350438862408,0.03600814193865517,0.037690790928900236,0.046949108325061384,0.5185706013731491,0.05,old_anchor_plus_rich_valdiag
60445,0.04460971195219776,0.03600941560231149,0.037690790928900236,0.047013469021767375,0.5199602944825875,0.2,old_anchor_plus_rich_traincal
60445,0.04443609082256439,0.03601595952000934,0.037690790928900236,0.0469699836790096,0.5185540574075606,0.05,old_anchor_plus_rich_traincal
60445,0.04429188369704884,0.036021394800627604,0.037690790928900236,0.04705512396758422,0.5193977996525767,0.35,old_anchor_plus_rich_traincal
60445,0.044219702492244384,0.03602411536732689,0.037690790928900236,0.04704184358473867,0.5195136074116966,0.3,old_anchor_plus_rich_traincal
60445,0.044130726915052265,0.03602746892720461,0.037690790928900236,0.04694063998758793,0.5200595582761188,0.5,old_anchor_plus_rich_valdiag
60445,0.04412613432042023,0.03602764202572871,0.037690790928900236,0.04693851361633278,0.5199602944825875,0.55,old_anchor_plus_rich_valdiag
60445,0.04406594971142519,0.03602991043124348,0.037690790928900236,0.04691746764816343,0.5194474315493424,0.7,old_anchor_plus_rich_valdiag
60445,0.044048737317114894,0.03603055917999881,0.037690790928900236,0.04694453242933377,0.5200099263793532,0.65,old_anchor_plus_rich_valdiag
60445,0.04390377109677468,0.03603602307150141,0.037690790928900236,0.04708122414071113,0.519463975514931,0.4,old_anchor_plus_rich_traincal
60445,0.043840303881652276,0.03603841520103743,0.037690790928900236,0.046947790737904144,0.5203573496567128,0.6,old_anchor_plus_rich_valdiag
60445,0.043677816974796335,0.03604453946107242,0.037690790928900236,0.047039034825284036,0.519315079824634,0.1,old_anchor_plus_rich_traincal
60445,0.04361914759995633,0.03604675075621344,0.037690790928900236,0.04690660210326313,0.5193316237902225,0.75,old_anchor_plus_rich_valdiag
60445,0.04356405637100402,0.0360488271882059,0.037690790928900236,0.04708615662297234,0.5192819918934568,0.45,old_anchor_plus_rich_traincal
60445,0.043098608601149,0.03606637028278783,0.037690790928900236,0.04710822778288275,0.5197452229299363,0.5,old_anchor_plus_rich_traincal
60445,0.043000625210670385,0.03607006335427286,0.037690790928900236,0.0468945903686108,0.517247084126065,0.95,old_anchor_plus_rich_valdiag
60445,0.0429426867192958,0.036072247101838,0.037690790928900236,0.04711918388289632,0.5199106625858219,0.55,old_anchor_plus_rich_traincal
60445,0.04262992605745497,0.03608403529855422,0.037690790928900236,0.04690914541250094,0.517098188435768,0.9,old_anchor_plus_rich_valdiag
60445,0.04257016915536904,0.036086287583457305,0.037690790928900236,0.04692311085760593,0.5191000082719828,0.8,old_anchor_plus_rich_valdiag
60445,0.04235064674263622,0.036094561556819824,0.037690790928900236,0.046924233762547375,0.5181900901646125,0.85,old_anchor_plus_rich_valdiag
60445,0.04231178911822231,0.0360960261314176,0.037690790928900236,0.046909538097679615,0.5168500289519398,1.0,old_anchor_plus_rich_valdiag
60445,0.04192058167739332,0.03611077104927972,0.037690790928900236,0.04717765352223068,0.5203077177599471,0.6,old_anchor_plus_rich_traincal
60445,0.04181650725097119,0.03611469369672704,0.037690790928900236,0.04716785467811859,0.5203242617255356,0.65,old_anchor_plus_rich_traincal
60445,0.041422023848039835,0.03612956208819185,0.037690790928900236,0.047186897706706074,0.5198775746546447,0.7,old_anchor_plus_rich_traincal
60445,0.04099494355826738,0.036145659082103515,0.037690790928900236,0.04721359484829008,0.5194308875837538,0.75,old_anchor_plus_rich_traincal
60445,0.04035235836592033,0.036169878626242276,0.037690790928900236,0.04726099176332354,0.519315079824634,0.8,old_anchor_plus_rich_traincal
60445,0.0398017344870637,0.03619063207574072,0.037690790928900236,0.04728693360928446,0.5185540574075606,0.85,old_anchor_plus_rich_traincal
60445,0.03957409788586874,0.03619921187928413,0.037690790928900236,0.04727451743092388,0.5173298039540077,0.9,old_anchor_plus_rich_traincal
60445,0.03901372018531202,0.036220332958037026,0.037690790928900236,0.047279053661040946,0.5174456117131276,0.95,old_anchor_plus_rich_traincal
60445,0.03883427543114426,0.03622709637274965,0.037690790928900236,0.047296145185828205,0.5168500289519398,1.0,old_anchor_plus_rich_traincal
